Root,Frequency
ich,2151
die,1124
sch,1108
wir,955
ach,649
men,444
ste,378
ehr,363
wei,347
ebe,301
viel,289
ges,283
rei,273
halt,266
sich,262
sin,228
hem,220
eis,212
sta,210
lei,204
wasser,190
ad,175
all,174
schon,167
ganz,163
mach,157
komm,155
wirk,153
hei,150
rie,138
natür,130
nehm,127
eig,125
fahr,123
mei,118
geb,115
int,113
klima,113
kön,111
kon,111
stell,108
rech,99
land,99
bis,97
gel,97
for,96
mus,96
son,96
zei,94
erd,92
fin,91
änd,89
per,87
reg,84
res,82
bil,79
setz,78
zeit,76
leb,75
jahr,74
gut,74
durch,73
neu,72
mög,72
würd,70
spa,70
art,70
groß,70
erb,70
sonder,68
mark,65
rich,63
find,62
mun,62
kehr,61
gleich,61
sit,59
tat,57
teil,57
rat,57
hör,55
schau,55
nutz,54
ziel,53
ssio,52
arbeit,52
steh,51
wieder,49
wied,49
wich,48
jek,47
ding,47
verb,45
zwe,45
kri,45
ord,44
wahr,44
schied,44
bau,43
mensch,43
gio,43
wiss,43
stand,42
gew,42
zun,42
mobil,41
lang,40
akt,39
grund,38
lag,38
struk,37
serv,37
schw,36
tech,36
geg,36
führ,35
tot,35
gemein,35
brauch,35
folg,33
schäf,33
seit,33
erm,33
bund,33
letz,33
schu,33
wald,33
kunf,31
pla,31
ker,31
problem,31
welt,31
schaff,30
lis,30
bild,29
raum,29
kla,29
rück,28
form,28
flu,27
voll,27
roll,27
beso,27
zieh,27
prei,27
energi,27
will,26
wert,26
tag,26
selb,26
woll,26
pos,25
leu,25
zahl,25
nah,25
wand,25
system,25
ford,24
posi,24
stadt,24
wach,24
sach,24
lus,24
bürg,24
entwickl,24
nomm,23
woh,23
min,23
alisi,22
schri,22
größ,22
spar,21
zeug,21
kos,21
manag,21
gründ,20
haus,20
füg,20
duk,20
investi,20
hol,20
fäh,19
wandel,19
merk,18
flä,18
plan,18
prozess,18
ständ,18
halb,17
lauf,17
win,17
schutz,17
produkt,17
druck,17
öko,17
grupp,16
öl,16
treib,16
asch,16
stärk,16
neutr,16
kapital,16
satz,15
bah,15
gab,15
trag,15
fes,15
dich,14
wuss,14
zäh,14
funk,14
sektor,14
konzep,14
effekt,14
frei,14
ressource,14
forma,14
zähl,13
gesamt,13
amt,13
situa,13
hoch,13
luft,13
studi,12
gela,12
pot,12
maß,12
qualität,12
trieb,12
politik,12
erfolg,12
nahm,12
wohl,11
natio,11
kreis,11
klei,11
stif,11
kraft,11
effizi,10
potenzi,10
begr,10
klär,10
herr,10
verbrauch,10
staa,10
stieg,9
strategi,9
fühl,9
forsch,9
nerat,9
nera,9
steu,9
spen,9
innova,8
höh,8
basi,8
famili,8
dring,8
umwelt,8
hält,8
ökonom,8
last,7
neb,7
mes,7
stimm,7
grenz,7
norm,7
freund,7
kussio,7
konsum,7
schü,7
deba,7
konf,7
schni,7
strom,7
bank,6
prinzip,6
gei,6
dauer,6
schließ,6
sommer,6
kapaz,6
allem,6
materi,6
lok,6
leuch,6
mäß,6
häng,6
norma,6
kind,6
technik,6
unb,6
stütz,6
wusstsei,6
ssor,6
elektr,5
bünd,5
komplex,5
derb,5
mut,5
initia,5
hilf,5
linie,5
atmo,5
prüf,5
meng,5
stoff,5
gäng,5
stabil,5
ökonomi,5
streb,4
trau,4
volk,4
bäud,4
alterna,4
stolz,4
auftrag,4
wechs,4
perfek,4
gig,4
büro,4
solar,4
kul,4
zuw,4
ref,4
verw,4
träg,4
sozi,4
här,4
ökolog,4
treu,4
schäd,4
heiz,4
enkel,3
maxim,3
präg,3
konst,3
meid,3
weitergeh,3
pack,3
mag,3
natur,3
schlech,3
motiva,3
sphär,3
risiko,3
wett,3
verei,3
indikat,3
mikro,3
stör,3
meer,3
wider,3
lik,3
roh,3
organisi,2
belast,2
stern,2
züg,2
völk,2
kopf,2
ministeri,2
ministerium,2
lmäß,2
ambi,2
skand,2
krea,2
gramm,2
vielf,2
fei,2
kämpf,2
dimensio,2
perma,2
engel,2
katastroph,2
umgeb,2
faktor,2
koopera,2
hemi,2
verdi,2
pak,2
dez,2
pflicht,2
staub,1
schöpf,1
förm,1
routi,1
nacht,1
domi,1
wuch,1
zentrum,1
konsequ,1
glied,1
cyc,1
kugel,1
inklu,1
wohnhei,1
schad,1
schlüssel,1
schicht,1
rühr,1
samml,1
stir,1
duld,1
schmutz,1
schärf,1
umfeld,1
exi,1
wolk,1
irr,1
parat,1
robu,1
verträg,1
pfleg,1
neri,1
ewig,1
feu,1
konsens,1
müll,1
ersatz,1
atom,1
gieb,1
hörd,1
globalisi,1
spiegel,1
