Root,Frequency
ich,1444
sch,909
die,874
ach,494
wir,437
ste,312
wei,253
men,216
eis,213
ehr,211
all,208
lei,189
viel,179
ges,176
sin,168
rei,165
halt,161
ad,142
komm,140
ebe,139
sich,137
mach,135
brauch,133
wasser,124
schon,117
ganz,106
hei,103
pla,101
kön,96
sta,90
gut,84
mei,83
last,79
schw,74
rie,72
erd,72
gel,72
erb,71
jahr,70
geb,70
fes,70
son,69
int,69
duk,68
produkt,68
mus,68
res,67
schau,67
per,66
rich,63
eig,63
lang,62
neu,61
bis,60
wich,60
pack,60
rech,59
art,59
asch,58
rat,57
kon,57
kind,57
gew,56
welt,55
wirk,55
wieder,55
wied,55
erm,50
leu,48
fin,48
teil,48
zei,46
verb,46
gleich,46
stell,46
sonder,44
akt,43
hör,43
cyc,43
durch,42
hem,41
tag,40
natür,39
bau,38
leb,38
find,38
tat,37
haus,37
steh,36
bil,36
umwelt,35
kla,35
lus,35
stoff,34
geg,34
würd,33
lauf,33
zwe,33
verbrauch,32
problem,31
wiss,31
spa,31
abfall,31
konsum,30
arbeit,30
woll,30
klei,30
for,29
nehm,29
hol,28
mög,27
kos,27
zeit,26
änd,26
nerat,25
nera,25
klima,25
öko,25
ding,24
reg,23
setz,23
selb,23
kreis,23
natur,23
ord,22
seit,21
zieh,21
rück,21
letz,20
stimm,20
grund,20
voll,20
mikro,20
verw,19
min,19
sach,19
win,19
ker,19
nacht,19
plan,18
land,18
woh,18
allem,18
materi,18
funk,18
mensch,17
schu,17
will,17
gramm,17
öl,17
energi,17
irr,16
schlech,16
system,16
wert,15
norm,15
mega,15
meng,14
wahr,14
flu,14
spar,14
nutz,14
alterna,14
druck,13
merk,13
bild,13
lis,13
serv,13
fei,12
halb,12
unb,12
form,12
folg,12
bah,12
kugel,12
schni,11
ökolog,11
stand,11
zeug,11
fahr,11
schri,11
lag,11
kobil,11
körp,10
zahl,10
begr,10
exi,10
wald,10
mag,10
roh,10
sommer,10
frei,10
ziel,10
wuss,9
führ,9
ssio,9
faktor,9
gio,9
gela,9
beso,9
tech,9
norma,9
schaff,9
jek,9
lik,8
schutz,8
gründ,8
kri,8
hält,8
ressource,8
flä,8
freund,8
fühl,8
treib,8
nah,8
hoch,8
schü,8
sit,8
famili,8
perfek,7
trieb,7
amt,7
wohl,7
schicht,7
strom,7
schad,7
schäf,7
nomm,7
neb,7
luft,7
meer,7
entwickl,7
hüll,7
zun,6
neri,6
firma,6
stadt,6
wach,6
träg,6
trag,6
pos,6
mut,6
mes,6
fäh,6
neutr,6
tot,6
kopf,6
temperat,6
aktion,5
sozi,5
gab,5
gig,5
stör,5
schied,5
belast,5
roll,5
kul,5
verdi,5
wand,5
gesamt,5
stärk,5
zäh,5
gei,5
pest,5
hemi,5
mun,5
pot,5
parat,5
natio,5
dich,5
hilf,4
meid,4
herr,4
füg,4
ständ,4
forsch,4
alisi,4
kraft,4
gif,4
initia,4
klär,4
kussio,4
gemein,4
publikum,4
ford,4
mark,4
satz,4
studi,4
kunf,4
rezept,4
ref,3
höh,3
perma,3
häng,3
treu,3
staub,3
komplex,3
prei,3
umgeb,3
zentrum,3
nahm,3
strahl,3
schmutz,3
här,3
heiz,3
derb,3
mobil,3
stabil,3
kehr,3
pfleg,3
pioni,3
stif,3
zähl,3
innova,3
spen,3
leuch,3
qualität,2
wüs,2
schöpf,2
müll,2
himmel,2
niveau,2
wandel,2
elektr,2
technik,2
bund,2
tradi,2
hart,2
indikat,2
wechs,2
büro,2
prozess,2
lok,2
konzep,2
atmo,2
sphär,2
pflicht,2
katastroph,2
kill,2
stir,2
motiva,2
dez,2
stolz,2
stütz,2
dauer,2
basi,2
raum,2
sturz,2
organisi,2
investi,2
ersatz,2
ballast,1
stieg,1
schäd,1
gäng,1
dring,1
evolu,1
samml,1
feu,1
kräf,1
wolk,1
atla,1
institu,1
konv,1
bünd,1
züg,1
schärf,1
weitergeh,1
forma,1
lärm,1
manag,1
organisa,1
uv,1
sünd,1
posi,1
ökologie,1
dimensio,1
konf,1
verträg,1
effekt,1
linie,1
schmelz,1
müd,1
rühr,1
potenzi,1
enkel,1
spiegel,1
pak,1
wohnhei,1
wog,1
grupp,1
vielf,1
nesi,1
quell,1
inklu,1
kampf,1
ewig,1
streng,1
robu,1
krea,1
präg,1
erfolg,1
sträng,1
werfg,1
wusstsei,1
völk,1
maxim,1
wett,1
umsatz,1
trau,1
ssor,1
bär,1
grenz,1
