Morpheme,Type,Count
be,Prefix,183
re,Prefix,120
ge,Prefix,117
un,Prefix,96
ver,Prefix,81
ent,Prefix,69
er,Prefix,66
nach,Prefix,63
zu,Prefix,51
pro,Prefix,30
ab,Prefix,30
an,Prefix,21
auf,Prefix,12
ein,Prefix,9
aus,Prefix,9
weg,Prefix,6
her,Prefix,6
vor,Prefix,6
sub,Prefix,3
zer,Prefix,3
pre,Prefix,3
bei,Prefix,3
zusammen,Prefix,3
mit,Prefix,3
dis,Prefix,3
Umwelt,Root,309
Klima,Root,105
Energi,Root,90
Schutz,Root,78
Halt,Root,72
Kraft,Root,69
Wickl,Root,54
Welt,Root,51
Fäh,Root,48
Last,Root,45
Nat,Root,45
Ständ,Root,42
Kon,Root,39
Kunf,Root,33
Leb,Root,33
Stand,Root,30
Gel,Root,30
Aus,Root,30
Tanz,Root,27
Auf,Root,27
Erd,Root,27
Ressource,Root,27
Ozo,Root,27
Öko,Root,27
Wirk,Root,27
Stoff,Root,24
Ver,Root,21
Gew,Root,21
Harr,Root,21
Ein,Root,21
Komm,Root,21
Arbeit,Root,21
Mög,Root,21
Dauer,Root,18
End,Root,18
Sich,Root,18
Wärm,Root,18
Schad,Root,18
Wasser,Root,18
Güt,Root,18
Trieb,Root,18
Druck,Root,18
Stärk,Root,18
Manag,Root,18
Kräf,Root,18
Selb,Root,18
Rech,Root,15
Ökolog,Root,15
Änd,Root,15
Staub,Root,15
Tempera,Root,15
Wer,Root,15
Wei,Root,15
Schw,Root,15
System,Root,15
Über,Root,15
Wir,Root,15
Steu,Root,15
Fes,Root,15
Para,Root,15
Eig,Root,15
Kosmos,Root,12
Trag,Root,12
Wach,Root,12
Gleich,Root,12
Wich,Root,12
Maß,Root,12
Ganz,Root,12
Träg,Root,12
Luf,Root,12
Zer,Root,12
Bild,Root,12
All,Root,12
Ich,Root,12
Kugel,Root,12
Lei,Root,12
Strom,Root,12
Kapi,Root,12
Här,Root,12
Satz,Root,12
Rück,Root,12
Gewi,Root,12
Neu,Root,12
Vor,Root,12
Mach,Root,12
Bewu,Root,12
Sei,Root,12
Politik,Root,12
