Morpheme,Type,Count
be,Prefix,34
ge,Prefix,22
re,Prefix,21
un,Prefix,17
ent,Prefix,16
ver,Prefix,13
er,Prefix,11
nach,Prefix,10
pro,Prefix,8
zu,Prefix,7
ab,Prefix,5
an,Prefix,4
ein,Prefix,2
auf,Prefix,1
weg,Prefix,1
sub,Prefix,1
zer,Prefix,1
Umwelt,Root,34
Energi,Root,21
Klima,Root,20
Halt,Root,18
Wickl,Root,14
Last,Root,14
Kraft,Root,13
Welt,Root,12
Schutz,Root,11
Nat,Root,10
Fäh,Root,9
Ressource,Root,9
Ständ,Root,8
Auf,Root,8
Erd,Root,8
Ozo,Root,8
Stoff,Root,7
Aus,Root,7
Kon,Root,6
End,Root,6
Kunf,Root,6
Wärm,Root,6
Schad,Root,6
Wasser,Root,6
Wirk,Root,6
Ein,Root,6
Dauer,Root,5
Stand,Root,5
Änd,Root,5
Staub,Root,5
Tempera,Root,5
Schw,Root,5
Druck,Root,5
Wir,Root,5
Manag,Root,5
Tanz,Root,4
Kosmos,Root,4
Ökolog,Root,4
Gleich,Root,4
Wich,Root,4
Gel,Root,4
Maß,Root,4
Luf,Root,4
System,Root,4
Ich,Root,4
Öko,Root,4
Kugel,Root,4
Gew,Root,4
Trieb,Root,4
Strom,Root,4
Steu,Root,4
Schöpf,Root,3
Rech,Root,3
Stabil,Root,3
Gleichmäß,Root,3
Ganz,Root,3
Bil,Root,3
Katastroph,Root,3
Wind,Root,3
Abl,Root,3
Ver,Root,3
Fall,Root,3
Scho,Root,3
Wei,Root,3
Zer,Root,3
Krei,Root,3
Lauf,Root,3
Schmutz,Root,3
Heiz,Root,3
Bild,Root,3
Leb,Root,3
Raum,Root,3
Plan,Root,3
Son,Root,3
Hoch,Root,3
Kapi,Root,3
Duk,Root,3
Para,Root,3
Rück,Root,3
Effek,Root,3
Kontinu,Root,2
Ste,Root,2
Ewig,Root,2
Zeit,Root,2
Bis,Root,2
Zähl,Root,2
Trag,Root,2
Qualita,Root,2
Wach,Root,2
Wandel,Root,2
Mäß,Root,2
Schni,Root,2
Grund,Root,2
Nitra,Root,2
Nera,Root,2
Konzentra,Root,2
Blem,Root,2
Qualität,Root,2
Träg,Root,2
Fei,Root,2
Durch,Root,2
Wer,Root,2
Ökonomi,Root,2
Zykl,Root,2
Wiederkehr,Root,2
Meid,Root,2
Spar,Root,2
Deh,Root,2
Nutz,Root,2
Stör,Root,2
Wüs,Root,2
Wechsel,Root,2
Stieg,Root,2
Bau,Root,2
Höh,Root,2
All,Root,2
Glo,Root,2
Bus,Root,2
Setz,Root,2
Umgeb,Root,2
Halb,Root,2
Smog,Root,2
Harr,Root,2
Sequ,Root,2
Niveau,Root,2
Art,Root,2
Elektro,Root,2
Innova,Root,2
Ker,Root,2
Lei,Root,2
Meng,Root,2
Spa,Root,2
Wuch,Root,2
Strategi,Root,2
Mark,Root,2
Umsatz,Root,2
Form,Root,2
Arbeit,Root,2
Schärf,Root,2
Fes,Root,2
Här,Root,2
Stärk,Root,2
Mobil,Root,2
Satz,Root,2
Cyc,Root,2
Gewi,Root,2
Schaff,Root,2
Ad,Root,1
Infini,Root,1
Pupp,Root,1
Grenz,Root,1
Unb,Root,1
Gründ,Root,1
Erm,Root,1
Überschau,Root,1
Zahl,Root,1
Los,Root,1
Wahr,Root,1
Pfleg,Root,1
Sich,Root,1
Enkel,Root,1
Taug,Root,1
Rei,Root,1
Vorra,Root,1
Umweltbewu,Root,1
Perma,Root,1
Per,Root,1
Rühr,Root,1
Gäng,Root,1
Harmoni,Root,1
Balanc,Root,1
Allgemei,Root,1
Sam,Root,1
Komplex,Root,1
Tot,Root,1
Ebe,Root,1
Othermi,Root,1
Gleichar,Root,1
Gleichförm,Root,1
Gold,Root,1
Mus,Root,1
Mag,Root,1
Symmetri,Root,1
Klimafreund,Root,1
Klimaneutr,Root,1
Naturnah,Root,1
Kobil,Root,1
Effizi,Root,1
Umweltfreund,Root,1
Kos,Root,1
Blematik,Root,1
Umweltschäd,Root,1
Umweltscho,Root,1
Jahr,Root,1
Kri,Root,1
Treibhauseffek,Root,1
Häl,Root,1
Samtindikator,Root,1
Wechselsei,Root,1
Häng,Root,1
Sozi,Root,1
Rythmu,Root,1
Wied,Root,1
Hol,Root,1
Verw,Root,1
Wald,Root,1
Eutrophi,Root,1
Ölverschmutz,Root,1
Pcbbelast,Root,1
Quecksilb,Root,1
Neri,Root,1
Ssorcenverbrauch,Root,1
Metall,Root,1
Umweltgefärd,Root,1
Salz,Root,1
Eis,Root,1
Schmelz,Root,1
Scheh,Root,1
Schich,Root,1
Meer,Root,1
Spiegel,Root,1
Schwund,Root,1
Schadstoffemissi,Root,1
Sturz,Root,1
Wolk,Root,1
Begr,Root,1
Nahm,Root,1
Kapaz,Root,1
