Morpheme,Type,Count
be,Prefix,86
ge,Prefix,58
re,Prefix,52
un,Prefix,49
ver,Prefix,37
ent,Prefix,34
er,Prefix,31
nach,Prefix,25
zu,Prefix,21
pro,Prefix,13
ab,Prefix,13
an,Prefix,9
auf,Prefix,5
ein,Prefix,4
weg,Prefix,3
aus,Prefix,3
her,Prefix,2
vor,Prefix,2
sub,Prefix,1
zer,Prefix,1
pre,Prefix,1
bei,Prefix,1
zusammen,Prefix,1
mit,Prefix,1
dis,Prefix,1
Umwelt,Root,123
Klima,Root,55
Energi,Root,36
Halt,Root,35
Schutz,Root,33
Wickl,Root,27
Last,Root,27
Welt,Root,25
Nat,Root,24
Kraft,Root,23
Fäh,Root,20
Ständ,Root,18
Kon,Root,17
Erd,Root,17
Ozo,Root,17
Kunf,Root,15
Ressource,Root,15
Auf,Root,14
Stand,Root,14
Gel,Root,14
Leb,Root,14
Tanz,Root,13
End,Root,12
Stoff,Root,12
Aus,Root,12
Wärm,Root,10
Änd,Root,10
Staub,Root,10
Tempera,Root,10
Ver,Root,10
Öko,Root,10
Dauer,Root,9
Ökolog,Root,9
Schad,Root,9
System,Root,9
Wirk,Root,9
Kosmos,Root,8
Rech,Root,8
Maß,Root,8
Luf,Root,8
Wasser,Root,8
Ich,Root,8
Kugel,Root,8
Gew,Root,8
Sich,Root,7
Gleich,Root,7
Ganz,Root,7
Wei,Root,7
Schw,Root,7
Zer,Root,7
Bild,Root,7
Harr,Root,7
Ein,Root,7
Komm,Root,7
Arbeit,Root,7
Mög,Root,7
Wach,Root,6
Wich,Root,6
Bil,Root,6
Träg,Root,6
Katastroph,Root,6
Wer,Root,6
Schmutz,Root,6
All,Root,6
Über,Root,6
Raum,Root,6
Güt,Root,6
Trieb,Root,6
Druck,Root,6
Stärk,Root,6
Manag,Root,6
Kräf,Root,6
Selb,Root,6
Ste,Root,5
Schöpf,Root,5
Trag,Root,5
Stabil,Root,5
Gleichmäß,Root,5
Grund,Root,5
Nera,Root,5
Qualität,Root,5
Fei,Root,5
Abl,Root,5
Fall,Root,5
Scho,Root,5
Stör,Root,5
Stieg,Root,5
Umgeb,Root,5
Son,Root,5
Wir,Root,5
Steu,Root,5
Fes,Root,5
Para,Root,5
Eig,Root,5
Kontinu,Root,4
Ewig,Root,4
Zeit,Root,4
Bis,Root,4
Zähl,Root,4
Pfleg,Root,4
Qualita,Root,4
Rühr,Root,4
Wandel,Root,4
Mäß,Root,4
Schni,Root,4
Nitra,Root,4
Konzentra,Root,4
Blem,Root,4
Durch,Root,4
Wind,Root,4
Zykl,Root,4
Wiederkehr,Root,4
Krei,Root,4
Lauf,Root,4
Wüs,Root,4
Heiz,Root,4
Wechsel,Root,4
Glo,Root,4
Bus,Root,4
Mit,Root,4
Setz,Root,4
Plan,Root,4
Halb,Root,4
Smog,Root,4
Lei,Root,4
Strom,Root,4
Kapi,Root,4
Här,Root,4
Satz,Root,4
Rück,Root,4
Gewi,Root,4
Neu,Root,4
Vor,Root,4
Mach,Root,4
Bewu,Root,4
Sei,Root,4
Politik,Root,4
Ges,Root,4
Initia,Root,4
Konf,Root,4
Ehr,Root,4
Enkel,Root,3
Rei,Root,3
Gäng,Root,3
Balanc,Root,3
Jahr,Root,3
Häng,Root,3
Ökonomi,Root,3
Sozi,Root,3
Meid,Root,3
Spar,Root,3
Deh,Root,3
Nutz,Root,3
Schich,Root,3
Bau,Root,3
Höh,Root,3
Ding,Root,3
Heima,Root,3
Mut,Root,3
Groß,Root,3
Rohstoff,Root,3
Sequ,Root,3
Niveau,Root,3
Art,Root,3
Hoch,Root,3
Spa,Root,3
Wuch,Root,3
Duk,Root,3
Strategi,Root,3
Form,Root,3
Pot,Root,3
Schärf,Root,3
Effek,Root,3
Wohl,Root,3
Sin,Root,3
Will,Root,3
Duld,Root,3
Nach,Root,3
Qualifika,Root,3
Mensch,Root,3
Gei,Root,3
Res,Root,3
Denk,Root,3
Mal,Root,3
Ziel,Root,3
Ach,Root,3
Forsch,Root,3
Sch,Root,3
Hilf,Root,3
Tradi,Root,3
Völk,Root,3
Amt,Root,3
Zentrum,Root,3
Weg,Root,3
Gipfel,Root,3
Grupp,Root,3
Kodex,Root,3
Hartnäck,Root,3
Ad,Root,2
Infini,Root,2
Pupp,Root,2
Grenz,Root,2
Unb,Root,2
Gründ,Root,2
Erm,Root,2
Überschau,Root,2
Zahl,Root,2
Los,Root,2
Wahr,Root,2
Taug,Root,2
Vorra,Root,2
Umweltbewu,Root,2
Perma,Root,2
Per,Root,2
Harmoni,Root,2
Allgemei,Root,2
Sam,Root,2
Komplex,Root,2
Tot,Root,2
Ebe,Root,2
Othermi,Root,2
Gleichar,Root,2
Gleichförm,Root,2
Gold,Root,2
Mus,Root,2
Mag,Root,2
Symmetri,Root,2
Klimafreund,Root,2
Klimaneutr,Root,2
Naturnah,Root,2
Kobil,Root,2
Effizi,Root,2
Umweltfreund,Root,2
Kos,Root,2
Blematik,Root,2
Umweltschäd,Root,2
Umweltscho,Root,2
Kri,Root,2
Treibhauseffek,Root,2
Häl,Root,2
Samtindikator,Root,2
Wechselsei,Root,2
Rythmu,Root,2
Wied,Root,2
Hol,Root,2
Verw,Root,2
Wald,Root,2
Eutrophi,Root,2
Ölverschmutz,Root,2
Pcbbelast,Root,2
Quecksilb,Root,2
Neri,Root,2
Ssorcenverbrauch,Root,2
Metall,Root,2
Umweltgefärd,Root,2
Salz,Root,2
Eis,Root,2
Schmelz,Root,2
Scheh,Root,2
Meer,Root,2
Spiegel,Root,2
Schwund,Root,2
Schadstoffemissi,Root,2
Sturz,Root,2
Wolk,Root,2
Begr,Root,2
Nahm,Root,2
Kapaz,Root,2
Natür,Root,2
Ambi,Root,2
Dimensio,Root,2
Hin,Root,2
Horizo,Root,2
Äth,Root,2
Ball,Root,2
Dhalbkugel,Root,2
Firma,Root,2
Galaxi,Root,2
Stir,Root,2
Hemisphär,Root,2
Makrokoso,Root,2
Nord,Root,2
Sternhimmel,Root,2
Süd,Root,2
Umlauf,Root,2
Bah,Root,2
Viel,Root,2
Iversum,Root,2
Wel,Root,2
Bäud,Root,2
Welttall,Root,2
Atmosphär,Root,2
Klei,Root,2
Hüll,Root,2
Mikro,Root,2
Ozonschich,Root,2
Sommer,Root,2
Uv,Root,2
Strahl,Root,2
Ölkatastroph,Root,2
Ölp,Root,2
Sektor,Root,2
Situa,Root,2
Gsenergi,Root,2
Bio,Root,2
Kennzei,Root,2
Elektro,Root,2
Innova,Root,2
Ker,Root,2
Meng,Root,2
Geg,Root,2
Verb,Root,2
Potenzi,Root,2
Mark,Root,2
Umsatz,Root,2
Konzep,Root,2
Tat,Root,2
Widerstand,Root,2
Alterna,Root,2
Mobil,Root,2
Gab,Root,2
Serv,Root,2
Cyc,Root,2
Land,Root,2
Prüf,Root,2
Mes,Root,2
Schaff,Root,2
Folg,Root,2
Müd,Root,2
Mei,Root,2
Ternehm,Root,2
Bär,Root,2
Körp,Root,2
Rie,Root,2
Teil,Root,2
Durchh,Root,2
Kul,Root,2
Kämpf,Root,2
Steh,Root,2
Treu,Root,2
Woh,Root,2
Schema,Root,2
Stell,Root,2
Charak,Root,2
Fühl,Root,2
Hör,Root,2
Ord,Root,2
Sünd,Root,2
Bera,Root,2
Bürg,Root,2
Gut,Root,2
Min,Root,2
Ref,Root,2
Tag,Root,2
Letz,Root,2
Band,Root,2
Organisa,Root,2
Institu,Root,2
Partei,Root,2
Rich,Root,2
Klär,Root,2
Prei,Root,2
Kill,Root,2
Konv,Root,2
Beug,Root,2
Schü,Root,2
Verlä,Root,2
Gieb,Root,2
Vielf,Root,1
Faktor,Root,1
Sträng,Root,1
Posi,Root,1
Atom,Root,1
Feu,Root,1
Fin,Root,1
Leuch,Root,1
Photovoltaik,Root,1
Solar,Root,1
Int,Root,1
Kalib,Root,1
Kla,Root,1
Zerr,Root,1
Sach,Root,1
Struk,Root,1
Globalisi,Root,1
Mega,Root,1
Fusio,Root,1
Natio,Root,1
Schäf,Root,1
Prozess,Root,1
Norma,Root,1
Schlüssel,Root,1
Ökonom,Root,1
Duktionskapi,Root,1
Stitui,Root,1
Pioni,Root,1
Dring,Root,1
Ten,Root,1
Ion,Root,1
Derb,Root,1
Dich,Root,1
Robu,Root,1
Streng,Root,1
Pro,Root,1
Tech,Root,1
Kopfeinkomm,Root,1
Lag,Root,1
Führ,Root,1
Dynamik,Root,1
Roll,Root,1
Kollabora,Root,1
Pla,Root,1
Koopera,Root,1
Die,Root,1
Circular,Root,1
Economy,Root,1
Downcyc,Root,1
Flä,Root,1
Landsachaftsentwickl,Root,1
Raumentwickl,Root,1
Risiko,Root,1
Bew,Root,1
Schadstoffausschoß,Root,1
Missio,Root,1
Duzi,Root,1
Sonderabfallsamml,Root,1
Sondermüllabgab,Root,1
Investi,Root,1
Technik,Root,1
Technologie,Root,1
Wie,Root,1
Der,Root,1
Tificierungsverfahr,Root,1
Basi,Root,1
Flu,Root,1
Funk,Root,1
Krea,Root,1
Neb,Root,1
Reak,Root,1
Alisi,Root,1
Schließ,Root,1
Vollzieh,Root,1
Bank,Root,1
Fleiß,Root,1
Lus,Root,1
Quell,Root,1
Motiva,Root,1
Qualifizi,Root,1
Bal,Root,1
Präg,Root,1
Hem,Root,1
Käl,Root,1
Satzteilerhäl,Root,1
Füg,Root,1
Lang,Root,1
Uner,Root,1
Atla,Root,1
Gig,Root,1
Goliath,Root,1
Hün,Root,1
Kraftmensch,Root,1
Muskel,Root,1
Wet,Root,1
Phönix,Root,1
Asch,Root,1
Inkarna,Root,1
Seel,Root,1
Wand,Root,1
Bes,Root,1
Hen,Root,1
Weitergeh,Root,1
Hef,Root,1
Bieg,Root,1
Zäh,Root,1
Lis,Root,1
Exi,Root,1
Unt,Root,1
Stütz,Root,1
Routi,Root,1
Konsum,Root,1
Wohnhei,Root,1
Agr,Root,1
Domi,Root,1
Kön,Root,1
Kunstf,Root,1
Perfek,Root,1
Ssio,Root,1
Sad,Root,1
Verdi,Root,1
Virtuo,Root,1
Vollkomm,Root,1
Herr,Root,1
Pflicht,Root,1
Stehevermög,Root,1
Trau,Root,1
Dogma,Root,1
Radik,Root,1
Starr,Root,1
Kömm,Root,1
Allem,Root,1
Heim,Root,1
Nomm,Root,1
Inklu,Root,1
Kind,Root,1
Klo,Root,1
Lok,Root,1
Fahr,Root,1
Nachtfahri,Root,1
Gio,Root,1
Spröß,Root,1
Züg,Root,1
Gif,Root,1
Müll,Root,1
Skand,Root,1
Akt,Root,1
Dez,Root,1
Umweltdezernenti,Root,1
Engel,Root,1
Umweltexp,Root,1
Frevel,Root,1
Medizi,Root,1
Ministeri,Root,1
Umweltschütz,Root,1
Senator,Root,1
Staa,Root,1
Sekretär,Root,1
Umweltverschmutz,Root,1
Assimila,Root,1
Wandlungsprozess,Root,1
Huma,Root,1
Quantita,Root,1
Ford,Root,1
Rückdräng,Root,1
Men,Root,1
Championa,Root,1
Kampf,Root,1
Schlech,Root,1
Gang,Root,1
Leu,Root,1
Millieu,Root,1
Glied,Root,1
Publikum,Root,1
Umfeld,Root,1
Volk,Root,1
Zug,Root,1
Zwe,Root,1
Bund,Root,1
Lärm,Root,1
Logie,Root,1
Schu,Root,1
Hörd,Root,1
Bibliothek,Root,1
Büro,Root,1
Umweltdezerna,Root,1
Kussio,Root,1
Engag,Root,1
Ministerium,Root,1
Pak,Root,1
Gramm,Root,1
Jek,Root,1
Umweltra,Root,1
Ort,Root,1
Siegel,Root,1
Stadtra,Root,1
Sta,Root,1
Stif,Root,1
Umweltverträglichkeitsprüf,Root,1
Umweltverträglichkeitsstudi,Root,1
Zei,Root,1
Werfg,Root,1
Wertstoffcontai,Root,1
Samml,Root,1
Aktionsbünd,Root,1
Aktio,Root,1
Paraturcaf,Root,1
Thropog,Root,1
Bünd,Root,1
Deba,Root,1
Klimafolgenforsch,Root,1
Luftreinhalteplan,Root,1
Assimili,Root,1
Evolu,Root,1
For,Root,1
Schri,Root,1
Nesi,Root,1
Konsensfind,Root,1
Forma,Root,1
Norm,Root,1
Linie,Root,1
Übereinstimm,Root,1
Sozialproduktgröß,Root,1
Merk,Root,1
Ent,Root,1
Woll,Root,1
Zun,Root,1
Zuw,Root,1
Betä,Root,1
Drang,Root,1
Mun,Root,1
Reg,Root,1
Gela,Root,1
Radli,Root,1
Loy,Root,1
Hal,Root,1
Schied,Root,1
Hei,Root,1
Zeug,Root,1
Irr,Root,1
Zielstreb,Root,1
Beso,Root,1
Stolz,Root,1
Nehm,Root,1
Würd,Root,1
Halsstarr,Root,1
Störr,Root,1
Widersp,Root,1
Wog,Root,1
Erb,Root,1
Geb,Root,1
Säul,Root,1
Laß,Root,1
Lik,Root,1
Liqui,Root,1
Naissanc,Root,1
Puta,Root,1
Überbleibsel,Root,1
Pack,Root,1
Materi,Root,1
Pos,Root,1
Frei,Root,1
Wil,Root,1
Lig,Root,1
Brauch,Root,1
Devi,Root,1
Folgsrezep,Root,1
Famili,Root,1
Kano,Root,1
Maxim,Root,1
Prinzip,Root,1
Schablo,Root,1
Organisi,Root,1
Sit,Root,1
ung,Suffix,234
t,Suffix,219
e,Suffix,176
s,Suffix,138
n,Suffix,125
keit,Suffix,124
ig,Suffix,112
er,Suffix,103
en,Suffix,90
lich,Suffix,49
ur,Suffix,41
tion,Suffix,39
al,Suffix,31
te,Suffix,29
heit,Suffix,27
st,Suffix,25
enz,Suffix,22
ität,Suffix,18
iv,Suffix,17
schaft,Suffix,17
isch,Suffix,15
ens,Suffix,14
es,Suffix,13
