Morpheme,Type,Count
be,Prefix,46
ge,Prefix,31
re,Prefix,26
un,Prefix,21
ver,Prefix,21
ent,Prefix,18
er,Prefix,16
nach,Prefix,14
zu,Prefix,12
pro,Prefix,8
ab,Prefix,6
an,Prefix,4
auf,Prefix,3
ein,Prefix,2
weg,Prefix,1
sub,Prefix,1
zer,Prefix,1
her,Prefix,1
pre,Prefix,1
Umwelt,Root,57
Energi,Root,28
Klima,Root,21
Halt,Root,20
Kraft,Root,20
Wickl,Root,16
Schutz,Root,15
Last,Root,15
Fäh,Root,14
Welt,Root,13
Ständ,Root,12
Kon,Root,11
Nat,Root,10
Ressource,Root,9
Aus,Root,9
Leb,Root,9
Kunf,Root,8
Auf,Root,8
Stand,Root,8
Erd,Root,8
Ozo,Root,8
Tanz,Root,7
Stoff,Root,7
Gew,Root,7
Wirk,Root,7
Dauer,Root,6
End,Root,6
Gel,Root,6
Wärm,Root,6
Schad,Root,6
Wasser,Root,6
Trieb,Root,6
Druck,Root,6
Ein,Root,6
Manag,Root,6
Ökolog,Root,5
Änd,Root,5
Staub,Root,5
Tempera,Root,5
Wei,Root,5
Schw,Root,5
Öko,Root,5
Wir,Root,5
Arbeit,Root,5
Fes,Root,5
Mög,Root,5
Selb,Root,5
Kosmos,Root,4
Sich,Root,4
Gleich,Root,4
Wich,Root,4
Maß,Root,4
Ganz,Root,4
Träg,Root,4
Luf,Root,4
Wer,Root,4
Zer,Root,4
System,Root,4
All,Root,4
Ich,Root,4
Kugel,Root,4
Harr,Root,4
Güt,Root,4
Lei,Root,4
Strom,Root,4
Steu,Root,4
Här,Root,4
Stärk,Root,4
Eig,Root,4
Neu,Root,4
Vor,Root,4
Ste,Root,3
Schöpf,Root,3
Rech,Root,3
Pfleg,Root,3
Trag,Root,3
Qualita,Root,3
Wach,Root,3
Stabil,Root,3
Gleichmäß,Root,3
Bil,Root,3
Qualität,Root,3
Katastroph,Root,3
Wind,Root,3
Abl,Root,3
Ver,Root,3
Wiederkehr,Root,3
Fall,Root,3
Scho,Root,3
Stör,Root,3
Krei,Root,3
Lauf,Root,3
Schmutz,Root,3
Heiz,Root,3
Bild,Root,3
Über,Root,3
Raum,Root,3
Plan,Root,3
Son,Root,3
Sequ,Root,3
Niveau,Root,3
Hoch,Root,3
Spa,Root,3
Wuch,Root,3
Kapi,Root,3
Duk,Root,3
Pot,Root,3
Schärf,Root,3
Para,Root,3
Satz,Root,3
Rück,Root,3
Gewi,Root,3
Effek,Root,3
Qualifika,Root,3
Kräf,Root,3
Denk,Root,3
Mal,Root,3
Mach,Root,3
Bewu,Root,3
Sei,Root,3
Kontinu,Root,2
Ewig,Root,2
Zeit,Root,2
Bis,Root,2
Zähl,Root,2
Enkel,Root,2
Rühr,Root,2
Wandel,Root,2
Mäß,Root,2
Schni,Root,2
Grund,Root,2
Nitra,Root,2
Nera,Root,2
Konzentra,Root,2
Blem,Root,2
Fei,Root,2
Durch,Root,2
Ökonomi,Root,2
Zykl,Root,2
Meid,Root,2
Spar,Root,2
Deh,Root,2
Nutz,Root,2
Wüs,Root,2
Wechsel,Root,2
Stieg,Root,2
Bau,Root,2
Höh,Root,2
Ding,Root,2
Glo,Root,2
Bus,Root,2
Setz,Root,2
Umgeb,Root,2
Heima,Root,2
Mut,Root,2
Halb,Root,2
Smog,Root,2
Rohstoff,Root,2
Kennzei,Root,2
Art,Root,2
Elektro,Root,2
Innova,Root,2
Ker,Root,2
Meng,Root,2
Verb,Root,2
Potenzi,Root,2
Strategi,Root,2
Mark,Root,2
Umsatz,Root,2
Komm,Root,2
Konzep,Root,2
Form,Root,2
Tat,Root,2
Widerstand,Root,2
Alterna,Root,2
Mobil,Root,2
Cyc,Root,2
Mes,Root,2
Schaff,Root,2
Wohl,Root,2
Sin,Root,2
Müd,Root,2
Mei,Root,2
Nach,Root,2
Mensch,Root,2
Durchh,Root,2
Stell,Root,2
Fühl,Root,2
Ach,Root,2
Sünd,Root,2
Ref,Root,2
Ad,Root,1
Infini,Root,1
Pupp,Root,1
Grenz,Root,1
Unb,Root,1
Gründ,Root,1
Erm,Root,1
Überschau,Root,1
Zahl,Root,1
Los,Root,1
Wahr,Root,1
Taug,Root,1
Rei,Root,1
Vorra,Root,1
Umweltbewu,Root,1
Perma,Root,1
Per,Root,1
Gäng,Root,1
Harmoni,Root,1
Balanc,Root,1
Allgemei,Root,1
Sam,Root,1
Komplex,Root,1
Tot,Root,1
Ebe,Root,1
Othermi,Root,1
Gleichar,Root,1
Gleichförm,Root,1
Gold,Root,1
Mus,Root,1
Mag,Root,1
Symmetri,Root,1
Klimafreund,Root,1
Klimaneutr,Root,1
Naturnah,Root,1
Kobil,Root,1
Effizi,Root,1
Umweltfreund,Root,1
Kos,Root,1
Blematik,Root,1
Umweltschäd,Root,1
Umweltscho,Root,1
Jahr,Root,1
Kri,Root,1
Treibhauseffek,Root,1
Häl,Root,1
Samtindikator,Root,1
Wechselsei,Root,1
Häng,Root,1
Sozi,Root,1
Rythmu,Root,1
Wied,Root,1
Hol,Root,1
Verw,Root,1
Wald,Root,1
Eutrophi,Root,1
Ölverschmutz,Root,1
Pcbbelast,Root,1
Quecksilb,Root,1
Neri,Root,1
Ssorcenverbrauch,Root,1
Metall,Root,1
Umweltgefärd,Root,1
Salz,Root,1
Eis,Root,1
Schmelz,Root,1
Scheh,Root,1
Schich,Root,1
Meer,Root,1
Spiegel,Root,1
Schwund,Root,1
Schadstoffemissi,Root,1
Sturz,Root,1
Wolk,Root,1
Begr,Root,1
Nahm,Root,1
Kapaz,Root,1
Natür,Root,1
Ambi,Root,1
Dimensio,Root,1
Hin,Root,1
Horizo,Root,1
Mit,Root,1
Äth,Root,1
Ball,Root,1
Dhalbkugel,Root,1
Firma,Root,1
Galaxi,Root,1
Stir,Root,1
Hemisphär,Root,1
Makrokoso,Root,1
Nord,Root,1
Sternhimmel,Root,1
Süd,Root,1
Umlauf,Root,1
Bah,Root,1
Groß,Root,1
Viel,Root,1
Iversum,Root,1
Wel,Root,1
Bäud,Root,1
Welttall,Root,1
Atmosphär,Root,1
Klei,Root,1
Hüll,Root,1
Mikro,Root,1
Ozonschich,Root,1
Sommer,Root,1
Uv,Root,1
Strahl,Root,1
Ölkatastroph,Root,1
Ölp,Root,1
Sektor,Root,1
Situa,Root,1
Gsenergi,Root,1
Bio,Root,1
Vielf,Root,1
Faktor,Root,1
Sträng,Root,1
Posi,Root,1
Atom,Root,1
Feu,Root,1
Fin,Root,1
Leuch,Root,1
Photovoltaik,Root,1
Solar,Root,1
Int,Root,1
Kalib,Root,1
Kla,Root,1
Geg,Root,1
Zerr,Root,1
Sach,Root,1
Struk,Root,1
Globalisi,Root,1
Mega,Root,1
Fusio,Root,1
Natio,Root,1
Schäf,Root,1
Prozess,Root,1
Norma,Root,1
Schlüssel,Root,1
Ökonom,Root,1
Duktionskapi,Root,1
Stitui,Root,1
Pioni,Root,1
Dring,Root,1
Ten,Root,1
Ion,Root,1
Derb,Root,1
Dich,Root,1
Robu,Root,1
Streng,Root,1
Pro,Root,1
Tech,Root,1
Kopfeinkomm,Root,1
Lag,Root,1
Führ,Root,1
Dynamik,Root,1
Gab,Root,1
Serv,Root,1
Roll,Root,1
Kollabora,Root,1
Pla,Root,1
Koopera,Root,1
Die,Root,1
Circular,Root,1
Economy,Root,1
Downcyc,Root,1
Flä,Root,1
Landsachaftsentwickl,Root,1
Land,Root,1
Raumentwickl,Root,1
Risiko,Root,1
Bew,Root,1
Schadstoffausschoß,Root,1
Missio,Root,1
Duzi,Root,1
Sonderabfallsamml,Root,1
Sondermüllabgab,Root,1
Prüf,Root,1
Investi,Root,1
Technik,Root,1
Technologie,Root,1
Wie,Root,1
Der,Root,1
Tificierungsverfahr,Root,1
Basi,Root,1
Flu,Root,1
Folg,Root,1
Funk,Root,1
Krea,Root,1
Neb,Root,1
Reak,Root,1
Alisi,Root,1
Schließ,Root,1
Vollzieh,Root,1
Bank,Root,1
Will,Root,1
Fleiß,Root,1
Duld,Root,1
Lus,Root,1
Ternehm,Root,1
Gei,Root,1
Quell,Root,1
Motiva,Root,1
Qualifizi,Root,1
Bal,Root,1
Bär,Root,1
Körp,Root,1
Präg,Root,1
Rie,Root,1
Hem,Root,1
Käl,Root,1
Res,Root,1
Teil,Root,1
Satzteilerhäl,Root,1
Füg,Root,1
Lang,Root,1
Uner,Root,1
Atla,Root,1
Gig,Root,1
Goliath,Root,1
Kul,Root,1
Hün,Root,1
Kraftmensch,Root,1
Muskel,Root,1
Wet,Root,1
Kämpf,Root,1
Steh,Root,1
Phönix,Root,1
Asch,Root,1
Inkarna,Root,1
Seel,Root,1
Wand,Root,1
Bes,Root,1
Hen,Root,1
Weitergeh,Root,1
Hef,Root,1
Bieg,Root,1
Zäh,Root,1
Treu,Root,1
Lis,Root,1
Exi,Root,1
Unt,Root,1
Stütz,Root,1
Woh,Root,1
Routi,Root,1
Schema,Root,1
Konsum,Root,1
Wohnhei,Root,1
Charak,Root,1
Agr,Root,1
Domi,Root,1
Kön,Root,1
Kunstf,Root,1
Perfek,Root,1
Ssio,Root,1
Sad,Root,1
Verdi,Root,1
Virtuo,Root,1
Vollkomm,Root,1
Herr,Root,1
Pflicht,Root,1
Stehevermög,Root,1
Ziel,Root,1
Trau,Root,1
Dogma,Root,1
Radik,Root,1
Starr,Root,1
Kömm,Root,1
Allem,Root,1
Heim,Root,1
Nomm,Root,1
Inklu,Root,1
Kind,Root,1
Klo,Root,1
Lok,Root,1
Fahr,Root,1
Nachtfahri,Root,1
Gio,Root,1
Spröß,Root,1
Hör,Root,1
Ord,Root,1
Züg,Root,1
Gif,Root,1
Müll,Root,1
Skand,Root,1
Akt,Root,1
Bera,Root,1
Bürg,Root,1
Dez,Root,1
Umweltdezernenti,Root,1
Engel,Root,1
Umweltexp,Root,1
Forsch,Root,1
Frevel,Root,1
Gut,Root,1
Medizi,Root,1
Min,Root,1
Ministeri,Root,1
Politik,Root,1
Umweltschütz,Root,1
Senator,Root,1
Staa,Root,1
Sekretär,Root,1
Umweltverschmutz,Root,1
Tag,Root,1
Assimila,Root,1
ung,Suffix,127
t,Suffix,125
e,Suffix,106
s,Suffix,79
n,Suffix,75
keit,Suffix,68
ig,Suffix,63
er,Suffix,63
en,Suffix,48
lich,Suffix,27
al,Suffix,23
tion,Suffix,23
st,Suffix,19
ur,Suffix,19
te,Suffix,19
enz,Suffix,14
ität,Suffix,11
heit,Suffix,11
iv,Suffix,10
isch,Suffix,9
bar,Suffix,8
schaft,Suffix,8
es,Suffix,7
anz,Suffix,7
end,Suffix,7
ens,Suffix,7
ment,Suffix,6
chen,Suffix,5
ist,Suffix,5
ismus,Suffix,5
sam,Suffix,5
ling,Suffix,5
ten,Suffix,4
los,Suffix,3
et,Suffix,3
haft,Suffix,2
tum,Suffix,2
nis,Suffix,1
est,Suffix,1
ant,Suffix,1
ern,Suffix,1
