Morpheme,Type,Count
un,Prefix,13
be,Prefix,10
ge,Prefix,10
re,Prefix,5
ver,Prefix,4
er,Prefix,3
pro,Prefix,3
zu,Prefix,2
ent,Prefix,2
nach,Prefix,1
Umwelt,Root,9
Halt,Root,8
Klima,Root,5
End,Root,4
Gel,Root,4
Last,Root,4
Ozo,Root,4
Ständ,Root,3
Gleich,Root,3
Maß,Root,3
Bil,Root,3
Kontinu,Root,2
Ste,Root,2
Kon,Root,2
Tanz,Root,2
Dauer,Root,2
Ewig,Root,2
Zeit,Root,2
Kosmos,Root,2
Bis,Root,2
Zähl,Root,2
Kunf,Root,2
Fäh,Root,2
Auf,Root,2
Stand,Root,2
Wickl,Root,2
Ökolog,Root,2
Stabil,Root,2
Wich,Root,2
Mäß,Root,2
Ganz,Root,2
Erd,Root,2
Energi,Root,2
Schni,Root,2
Schad,Root,2
Stoff,Root,2
Konzentra,Root,2
Blem,Root,2
Qualität,Root,2
Träg,Root,2
Luf,Root,2
Ad,Root,1
Infini,Root,1
Pupp,Root,1
Grenz,Root,1
Unb,Root,1
Gründ,Root,1
Erm,Root,1
Schöpf,Root,1
Überschau,Root,1
Zahl,Root,1
Los,Root,1
Wahr,Root,1
Rech,Root,1
Pfleg,Root,1
Sich,Root,1
Enkel,Root,1
Taug,Root,1
Rei,Root,1
Vorra,Root,1
Trag,Root,1
Qualita,Root,1
Wach,Root,1
Umweltbewu,Root,1
Perma,Root,1
Per,Root,1
Rühr,Root,1
Gäng,Root,1
Wandel,Root,1
Harmoni,Root,1
Balanc,Root,1
Gleichmäß,Root,1
Allgemei,Root,1
Sam,Root,1
Komplex,Root,1
Tot,Root,1
Ebe,Root,1
Wärm,Root,1
Othermi,Root,1
Gleichar,Root,1
Gleichförm,Root,1
Gold,Root,1
Grund,Root,1
Mus,Root,1
Mag,Root,1
Symmetri,Root,1
Schutz,Root,1
Klimafreund,Root,1
Klimaneutr,Root,1
Naturnah,Root,1
Nitra,Root,1
Kobil,Root,1
Nera,Root,1
Ressource,Root,1
Effizi,Root,1
Umweltfreund,Root,1
Kos,Root,1
Blematik,Root,1
Umweltschäd,Root,1
Umweltscho,Root,1
Änd,Root,1
Fei,Root,1
Staub,Root,1
Jahr,Root,1
Durch,Root,1
Tempera,Root,1
Katastroph,Root,1
Kri,Root,1
Wer,Root,1
Treibhauseffek,Root,1
Wind,Root,1
Häl,Root,1
t,Suffix,26
keit,Suffix,21
ig,Suffix,16
e,Suffix,15
s,Suffix,13
lich,Suffix,13
n,Suffix,12
ung,Suffix,11
ität,Suffix,5
er,Suffix,4
bar,Suffix,4
heit,Suffix,4
anz,Suffix,4
los,Suffix,3
enz,Suffix,3
tum,Suffix,2
en,Suffix,2
es,Suffix,2
isch,Suffix,2
iv,Suffix,2
al,Suffix,2
tion,Suffix,2
end,Suffix,2
haft,Suffix,1
chen,Suffix,1
st,Suffix,1
ist,Suffix,1
et,Suffix,1
ismus,Suffix,1
ten,Suffix,1
ur,Suffix,1
nis,Suffix,1
