Morpheme,Type,Count
be,Prefix,102
ge,Prefix,84
re,Prefix,74
un,Prefix,68
ver,Prefix,58
er,Prefix,48
ent,Prefix,26
ab,Prefix,26
nach,Prefix,24
zu,Prefix,22
pro,Prefix,20
an,Prefix,14
ein,Prefix,8
de,Prefix,8
auf,Prefix,6
aus,Prefix,6
weg,Prefix,4
her,Prefix,4
vor,Prefix,4
sub,Prefix,2
zer,Prefix,2
pre,Prefix,2
bei,Prefix,2
zusammen,Prefix,2
mit,Prefix,2
dis,Prefix,2
Umwelt,Root,172
Klima,Root,62
Energi,Root,42
Kraft,Root,40
Schutz,Root,34
Welt,Root,34
Nat,Root,30
Halt,Root,28
Last,Root,28
Aus,Root,20
Stand,Root,18
Ressource,Root,18
Ozo,Root,18
Leb,Root,18
Fäh,Root,18
Wickl,Root,16
Öko,Root,16
Gew,Root,14
Komm,Root,14
Arbeit,Root,14
Mög,Root,14
Dauer,Root,12
End,Root,12
Auf,Root,12
Sich,Root,12
Erd,Root,12
Lauf,Root,12
Wasser,Root,12
Trieb,Root,12
Druck,Root,12
Wirk,Root,12
Stärk,Root,12
Manag,Root,12
Kräf,Root,12
Rech,Root,10
Ökolog,Root,10
Ständ,Root,10
Wärm,Root,10
Staub,Root,10
Tempera,Root,10
Wer,Root,10
Wei,Root,10
Schw,Root,10
System,Root,10
Wir,Root,10
Steu,Root,10
Ein,Root,10
Fes,Root,10
Para,Root,10
Eig,Root,10
Selb,Root,10
Kunf,Root,8
Wach,Root,8
Gleich,Root,8
Wich,Root,8
Maß,Root,8
Gel,Root,8
Schadstoff,Root,8
Luf,Root,8
Zer,Root,8
Bild,Root,8
All,Root,8
Über,Root,8
Ich,Root,8
Kugel,Root,8
Lei,Root,8
Strom,Root,8
Kapi,Root,8
Här,Root,8
Satz,Root,8
Neu,Root,8
Vor,Root,8
Mach,Root,8
Wusstsei,Root,8
Politik,Root,8
Ges,Root,8
Initia,Root,8
Konf,Root,8
Ehr,Root,8
Ste,Root,6
Schöpf,Root,6
Pfleg,Root,6
Qualita,Root,6
Stabil,Root,6
Rühr,Root,6
