Morpheme,Type,Count
be,Prefix,1
an,Prefix,1
ge,Prefix,1
Energi,Root,10
Kraft,Root,8
Druck,Root,3
Strom,Root,3
Gew,Root,2
Heiz,Root,2
Wärm,Root,2
Ker,Root,2
Wasser,Root,2
Wind,Root,2
Vielf,Root,1
Entwickl,Root,1
Faktor,Root,1
Ständ,Root,1
Konsequ,Root,1
Sträng,Root,1
Aus,Root,1
Deh,Root,1
Fäh,Root,1
Kennzei,Root,1
Niveau,Root,1
Posi,Root,1
Stand,Root,1
Art,Root,1
Wer,Root,1
Trieb,Root,1
Atom,Root,1
Elektro,Root,1
Feu,Root,1
Fin,Root,1
Wich,Root,1
Hoch,Root,1
Innova,Root,1
Last,Root,1
Lei,Root,1
Leuch,Root,1
Meng,Root,1
Öko,Root,1
Photovoltaik,Root,1
Schw,Root,1
Solar,Root,1
Son,Root,1
Spa,Root,1
Wuch,Root,1
Int,Root,1
Kalib,Root,1
Kla,Root,1
Trag,Root,1
Wei,Root,1
Geg,Root,1
e,Suffix,16
t,Suffix,7
s,Suffix,6
n,Suffix,6
al,Suffix,3
ung,Suffix,3
en,Suffix,3
er,Suffix,3
ig,Suffix,2
keit,Suffix,2
tion,Suffix,2
enz,Suffix,1
chen,Suffix,1
anz,Suffix,1
st,Suffix,1
ens,Suffix,1
ität,Suffix,1
te,Suffix,1
