Morpheme,Type,Count
ver,Prefix,8
ge,Prefix,6
ab,Prefix,5
er,Prefix,5
re,Prefix,3
ent,Prefix,2
an,Prefix,2
be,Prefix,1
ein,Prefix,1
de,Prefix,1
Klima,Root,8
Belast,Root,7
Umwelt,Root,5
Entwickl,Root,5
Ressource,Root,4
Staub,Root,4
Tempera,Root,4
Lauf,Root,3
Zer,Root,3
Schmutz,Root,3
Ozo,Root,3
Bild,Root,3
Rech,Root,2
Zykl,Root,2
Fall,Root,2
Scho,Root,2
Aus,Root,2
Energi,Root,2
Schw,Root,2
Stör,Root,2
Schutz,Root,2
Wasser,Root,2
Wärm,Root,2
Änd,Root,2
Wechsel,Root,2
Stieg,Root,2
Samtindikator,Root,1
Dauer,Root,1
Wechselsei,Root,1
Häng,Root,1
Ökonomi,Root,1
Sozi,Root,1
Ökolog,Root,1
Gleichmäß,Root,1
Halt,Root,1
Rythmu,Root,1
Maß,Root,1
Wied,Root,1
Hol,Root,1
Wiederkehr,Root,1
Meid,Root,1
Nera,Root,1
Spar,Root,1
Wei,Root,1
Verw,Root,1
Deh,Root,1
Schöpf,Root,1
Nutz,Root,1
Wald,Root,1
Eutrophi,Root,1
Fei,Root,1
Nat,Root,1
Nitra,Root,1
Ölverschmutz,Root,1
Pcbbelast,Root,1
Quecksilb,Root,1
Neri,Root,1
Ssorcenverbrauch,Root,1
Schadstoff,Root,1
Metall,Root,1
Stoff,Root,1
Krei,Root,1
Last,Root,1
Umweltgefärd,Root,1
Salz,Root,1
Verwü,Root,1
Auf,Root,1
Heiz,Root,1
Eis,Root,1
Schmelz,Root,1
Rwärm,Root,1
Scheh,Root,1
Schich,Root,1
Wandel,Root,1
Luf,Root,1
Meer,Root,1
Spiegel,Root,1
Bau,Root,1
Schwund,Root,1
Schadstoffemissi,Root,1
Höh,Root,1
Sturz,Root,1
Wolk,Root,1
Wüs,Root,1
ung,Suffix,48
n,Suffix,13
t,Suffix,9
er,Suffix,7
ur,Suffix,5
s,Suffix,4
en,Suffix,4
ig,Suffix,3
isch,Suffix,3
e,Suffix,3
end,Suffix,2
haft,Suffix,1
keit,Suffix,1
chen,Suffix,1
al,Suffix,1
tion,Suffix,1
st,Suffix,1
te,Suffix,1
es,Suffix,1
ten,Suffix,1
