Morpheme,Type,Count
re,Prefix,26
be,Prefix,18
un,Prefix,17
ge,Prefix,17
ent,Prefix,12
er,Prefix,11
zu,Prefix,7
auf,Prefix,6
ab,Prefix,6
aus,Prefix,6
ver,Prefix,5
ein,Prefix,5
pro,Prefix,4
zer,Prefix,2
nach,Prefix,2
an,Prefix,2
vor,Prefix,1
de,Prefix,1
hin,Prefix,1
mit,Prefix,1
heim,Prefix,1
weg,Prefix,1
bio,Prefix,1
sub,Prefix,1
Umwelt,Root,32
Klima,Root,21
Wickl,Root,20
Ständ,Root,16
Nachh,Root,16
Kraf,Root,15
End,Root,12
Bela,Root,12
Wirk,Root,11
Kon,Root,10
Energi,Root,10
Dau,Root,9
Fäh,Root,9
Öko,Root,9
Schutz,Root,9
Kosmo,Root,8
Sch,Root,8
Natur,Root,8
Ssourcen,Root,8
Ozon,Root,8
Welt,Root,8
Gleich,Root,7
Ene,Root,7
Rgi,Root,7
Wel,Root,7
Gew,Root,7
Hal,Root,6
Bil,Root,6
Ganz,Root,6
Erd,Root,6
Lauf,Root,6
Wasser,Root,6
Nat,Root,6
Druck,Root,6
Schw,Root,6
All,Root,5
Schadstoff,Root,5
Effek,Root,5
Entwickl,Root,5
Här,Root,5
Strom,Root,5
Wir,Root,5
Cyc,Root,5
Manag,Root,5
Ste,Root,4
Ewig,Root,4
Bis,Root,4
Zähl,Root,4
Kunf,Root,4
Kunfts,Root,4
Log,Root,4
Wach,Root,4
Lmäß,Root,4
Maß,Root,4
Energie,Root,4
Nera,Root,4
Scho,Root,4
Änd,Root,4
Zykl,Root,4
Wieder,Root,4
Fall,Root,4
Deh,Root,4
Heiz,Root,4
Temperatur,Root,4
Stand,Root,4
Globu,Root,4
Raum,Root,4
Harr,Root,4
Wich,Root,4
Meng,Root,4
Wuch,Root,4
Kapi,Root,4
Umwel,Root,4
Fes,Root,4
Stärk,Root,4
Satz,Root,4
Öpf,Root,3
Zei,Root,3
Sta,Root,3
Mäß,Root,3
Gel,Root,3
Geh,Root,3
Umw,Root,3
Katastroph,Root,3
Luft,Root,3
Wind,Root,3
Wechsel,Root,3
Staub,Root,3
Kreislauf,Root,3
Verschmutz,Root,3
Wärm,Root,3
Bild,Root,3
Lebens,Root,3
System,Root,3
Umgeb,Root,3
Son,Root,3
Str,Root,3
Hoch,Root,3
Steu,Root,3
Rück,Root,3
Kont,Root,2
Inu,Root,2
Ad,Root,2
Pupp,Root,2
Grenz,Root,2
Unb,Root,2
Gründ,Root,2
Erm,Root,2
Über,Root,2
Zahl,Root,2
Wahr,Root,2
Stands,Root,2
Inh,Root,2
Ratsh,Root,2
Trag,Root,2
Qua,Root,2
Lita,Root,2
Perma,Root,2
Per,Root,2
Rühr,Root,2
Gäng,Root,2
Gewich,Root,2
Lmaß,Root,2
Sam,Root,2
Tot,Root,2
Dwärm,Root,2
Gold,Root,2
Schni,Root,2
Mag,Root,2
Freund,Root,2
Nitrat,Root,2
Kobil,Root,2
Konzentra,Root,2
Problem,Root,2
Verträg,Root,2
Feinstaub,Root,2
Ozonw,Root,2
Rech,Root,2
Häng,Root,2
Sozi,Root,2
Kehr,Root,2
Vermeid,Root,2
Einspar,Root,2
Wald,Root,2
Zerstör,Root,2
Neri,Root,2
Stoff,Root,2
Salz,Root,2
Verwü,Root,2
Rwärm,Root,2
Anstieg,Root,2
Schadstoffe,Root,2
Begr,Root,2
Natür,Root,2
Ambi,Root,2
Ding,Root,2
Bereich,Root,2
Ich,Root,2
Wei,Root,2
Äth,Root,2
Dball,Root,2
Kugel,Root,2
Firma,Root,2
Stir,Root,2
Atpla,Root,2
Mut,Root,2
Halbkugel,Root,2
Sonnen,Root,2
Groß,Root,2
Viel,Root,2
Smog,Root,2
Uv,Root,2
Ölp,Root,2
Umweltschutz,Root,2
Vielf,Root,2
Sequ,Root,2
Güt,Root,2
Posi,Root,2
Wer,Root,2
Elektro,Root,2
Inn,Root,2
Ova,Root,2
Kern,Root,2
Leistungs,Root,2
Spann,Root,2
Int,Root,2
Kalib,Root,2
Kla,Root,2
Zerr,Root,2
Durch,Root,2
Bau,Root,2
Verb,Root,2
Duktions,Root,2
Struk,Root,2
Strategi,Root,2
Produk,Root,2
Umsatz,Root,2
Norma,Root,2
Pioni,Root,2
Arbei,Root,2
Pot,Root,2
Ärf,Root,2
Dring,Root,2
Las,Root,2
Derb,Root,2
Dich,Root,2
Robu,Root,2
Tei,Root,2
Mobil,Root,2
Paratur,Root,2
Tech,Root,2
Höh,Root,2
Trieb,Root,2
Lag,Root,2
Führ,Root,2
Abgab,Root,2
Serv,Root,2
Roll,Root,2
Die,Root,2
Pla,Root,2
Gewi,Root,2
Flu,Root,2
Aff,Root,2
Folg,Root,2
Funk,Root,2
Krea,Root,2
Reak,Root,2
Alisi,Root,2
Zeit,Root,1
Inf,Root,1
Ini,Root,1
Schau,Root,1
Cht,Root,1
Erh,Root,1
Pfleg,Root,1
Sich,Root,1
Enkel,Root,1
Taug,Root,1
Bewu,Root,1
Wan,Root,1
Del,Root,1
Har,Root,1
Moni,Root,1
Bal,Root,1
Anc,Root,1
Gemei,Root,1
Kom,Root,1
Plex,Root,1
Eben,Root,1
Oth,Root,1
Ermi,Root,1
Glei,Root,1
Char,Root,1
Förm,Root,1
Gru,Root,1
Ndmu,Root,1
Sym,Root,1
Metri,Root,1
Neutr,Root,1
Nah,Root,1
Effizi,Root,1
Eltko,Root,1
Problematik,Root,1
Eltqu,Root,1
Schäd,Root,1
Jahres,Root,1
Durchschnittstempera,Root,1
Kri,Root,1
Luf,Root,1
Tqu,Root,1
Treibhaus,Root,1
Verhäl,Root,1
Samt,Root,1
Indikator,Root,1
Gerech,Root,1
Sei,Root,1
Nomi,Root,1
Ryt,Root,1
Hmu,Root,1
Hol,Root,1
Weiter,Root,1
Verw,Root,1
Ausnutz,Root,1
Verschw,Root,1
Eutro,Root,1
Phi,Root,1
Ölver,Root,1
Schmutz,Root,1
Pcb,Root,1
Quecksilber,Root,1
Ssorcenverbr,Root,1
Auch,Root,1
Schwermetall,Root,1
Entla,Root,1
Gefärd,Root,1
Eis,Root,1
Schmelz,Root,1
Erwärm,Root,1
Gescheh,Root,1
Geschich,Root,1
Veränd,Root,1
Wandel,Root,1
Meeresspiegel,Root,1
Abbau,Root,1
Schwund,Root,1
Missi,Root,1
Erhöh,Root,1
Sturz,Root,1
Wolken,Root,1
Wüsten,Root,1
Nahme,Root,1
Kapaz,Root,1
Sso,Root,1
Urc,Root,1
Sys,Root,1
Tem,Root,1
Dim,Root,1
Ensio,Root,1
Ter,Root,1
Grund,Root,1
Hor,Root,1
Izo,Root,1
Gesetz,Root,1
Reich,Root,1
Dhalb,Root,1
Dku,Root,1
Gal,Root,1
Axi,Root,1
Hemisp,Root,1
Makro,Root,1
Koso,Root,1
Nord,Root,1
Stern,Root,1
Himmel,Root,1
Süd,Root,1
Umlauf,Root,1
Bah,Root,1
Iver,Root,1
Sum,Root,1
Welten,Root,1
Gebäud,Root,1
Tall,Root,1
Atmos,Root,1
Phär,Root,1
Dkl,Root,1
Ima,Root,1
Klein,Root,1
Hüll,Root,1
Mikro,Root,1
Schich,Root,1
Sommer,Root,1
Ahl,Root,1
Roh,Root,1
Ölkat,Root,1
Astroph,Root,1
Sektor,Root,1
Situa,Root,1
Gsen,Root,1
Ergi,Root,1
Wicklungs,Root,1
Faktor,Root,1
Äng,Root,1
Kenn,Root,1
Niv,Root,1
Eau,Root,1
Stan,Root,1
Dar,Root,1
Triebs,Root,1
Atom,Root,1
Feuer,Root,1
Finanz,Root,1
Last,Root,1
Leucht,Root,1
Photo,Root,1
Voltaik,Root,1
Solar,Root,1
Wärme,Root,1
Ndr,Root,1
Uck,Root,1
Gle,Root,1
Sach,Root,1
Potenzi,Root,1
Globalisierungs,Root,1
Mega,Root,1
Fusio,Root,1
Weltmarkt,Root,1
Niveau,Root,1
Wirtschaft,Root,1
Sna,Root,1
Kommen,Root,1
Schäfts,Root,1
Proz,Root,1
Haltigkeits,Root,1
Schlüssel,Root,1
Konzep,Root,1
Nom,Root,1
Ökosteuer,Root,1
Reform,Root,1
Sti,Root,1
Tui,Root,1
Talar,Root,1
Tat,Root,1
Ten,Root,1
Sio,Root,1
Eng,Root,1
Widerstands,Root,1
Alt,Root,1
Erna,Root,1
Befäh,Root,1
Kopf,Root,1
Einkomm,Root,1
Arbeits,Root,1
Dyna,Root,1
Mik,Root,1
Betrieb,Root,1
Kollaborations,Root,1
Plattform,Root,1
Koop,Root,1
Era,Root,1
Setz,Root,1
Circu,Root,1
Lar,Root,1
Eco,Root,1
Nomy,Root,1
Down,Root,1
Eigen,Root,1
Repara,Root,1
Flächen,Root,1
Landsachafts,Root,1
Landschafts,Root,1
Risiko,Root,1
Bew,Root,1
Schadstoffaus,Root,1
Schoß,Root,1
Missio,Root,1
Reduzi,Root,1
Derabfallsamml,Root,1
Sondermüll,Root,1
Betriebsprüf,Root,1
Investi,Root,1
Mark,Root,1
Eltm,Root,1
Ökonomi,Root,1
Technik,Root,1
Techno,Root,1
Nutz,Root,1
Tificierungs,Root,1
Verfahr,Root,1
Basis,Root,1
Neben,Root,1
Ließ,Root,1
Voll,Root,1
Zieh,Root,1
ung,Suffix,103
t,Suffix,94
e,Suffix,73
keit,Suffix,42
ig,Suffix,41
er,Suffix,30
n,Suffix,29
al,Suffix,28
s,Suffix,27
st,Suffix,22
lich,Suffix,20
tion,Suffix,15
en,Suffix,12
ität,Suffix,11
anz,Suffix,8
isch,Suffix,8
enz,Suffix,7
heit,Suffix,7
te,Suffix,7
bar,Suffix,6
end,Suffix,6
ur,Suffix,6
ment,Suffix,6
iv,Suffix,5
los,Suffix,4
es,Suffix,4
schaft,Suffix,4
chen,Suffix,3
ling,Suffix,3
haft,Suffix,2
tum,Suffix,2
et,Suffix,2
ten,Suffix,2
ens,Suffix,2
ist,Suffix,1
ismus,Suffix,1
nis,Suffix,1
est,Suffix,1
sam,Suffix,1
logie,Suffix,1
