Morpheme,Type,Count
re,Prefix,135
be,Prefix,105
ge,Prefix,105
un,Prefix,102
nach,Prefix,72
er,Prefix,69
ent,Prefix,60
zu,Prefix,54
ver,Prefix,39
aus,Prefix,30
auf,Prefix,27
ab,Prefix,21
vor,Prefix,18
ein,Prefix,18
an,Prefix,15
de,Prefix,12
mit,Prefix,12
pro,Prefix,12
zer,Prefix,9
weg,Prefix,6
her,Prefix,6
hin,Prefix,3
heim,Prefix,3
sub,Prefix,3
ex,Prefix,3
pre,Prefix,3
bei,Prefix,3
zusammen,Prefix,3
fort,Prefix,3
Umwelt,Root,273
Klima,Root,84
Energi,Root,72
Kraft,Root,69
Halt,Root,45
Ständ,Root,42
Wickl,Root,42
Welt,Root,42
Schutz,Root,39
Belast,Root,33
Konst,Root,27
Ssourcen,Root,24
Ozon,Root,24
Wirk,Root,24
Kunftsfäh,Root,21
Gel,Root,21
Natur,Root,21
Dauer,Root,18
End,Root,18
Wasser,Root,18
Lebens,Root,18
Öko,Root,18
Gew,Root,18
Harr,Root,18
Güt,Root,18
Manag,Root,18
Ökolog,Root,15
System,Root,15
Druck,Root,15
Fes,Root,15
Stärk,Root,15
Kosmos,Root,12
Über,Root,12
Wach,Root,12
Gleich,Root,12
Ganz,Root,12
Energie,Root,12
Schadstoff,Root,12
Scho,Root,12
Klimaänd,Root,12
Entwickl,Root,12
Verschmutz,Root,12
Bild,Root,12
Temperatur,Root,12
Nat,Root,12
Stand,Root,12
Raum,Root,12
Umweltschutz,Root,12
Fäh,Root,12
Strom,Root,12
Kapi,Root,12
Wir,Root,12
Här,Root,12
Satz,Root,12
Neu,Root,12
Vermög,Root,12
Mensch,Root,12
Leb,Root,12
Bewusstsei,Root,12
Politik,Root,12
Initia,Root,12
Ste,Root,9
Schöpf,Root,9
Kunf,Root,9
Pfleg,Root,9
Qualita,Root,9
Stabil,Root,9
Rühr,Root,9
Gleichmäß,Root,9
Maß,Root,9
Erd,Root,9
Gehalt,Root,9
Nera,Root,9
Qualität,Root,9
Katastroph,Root,9
Luft,Root,9
Wind,Root,9
Wechsel,Root,9
Lauf,Root,9
Wiederkehr,Root,9
Fall,Root,9
Weiter,Root,9
Staub,Root,9
Kreislauf,Root,9
Heiz,Root,9
All,Root,9
Umgeb,Root,9
Konsequ,Root,9
Niveau,Root,9
Hoch,Root,9
Leistungs,Root,9
Schw,Root,9
Spann,Root,9
