Morpheme,Type,Count
un,Prefix,9
be,Prefix,4
er,Prefix,2
zu,Prefix,2
auf,Prefix,2
re,Prefix,2
ge,Prefix,1
vor,Prefix,1
End,Root,4
Kontinu,Root,2
Ste,Root,2
Dauer,Root,2
Ewig,Root,2
Zeit,Root,2
Bis,Root,2
Zähl,Root,2
Ständ,Root,1
Konst,Root,1
Kosmos,Root,1
Ad,Root,1
Infini,Root,1
Pupp,Root,1
Grenz,Root,1
Unb,Root,1
Gründ,Root,1
Erm,Root,1
Schöpf,Root,1
Über,Root,1
Schau,Root,1
Zahl,Root,1
Kunf,Root,1
Kunftsfäh,Root,1
Wahr,Root,1
Chterhalt,Root,1
Stands,Root,1
Pfleg,Root,1
Standssich,Root,1
Enkeltaug,Root,1
Inhalt,Root,1
Ratshalt,Root,1
keit,Suffix,10
ig,Suffix,7
lich,Suffix,7
ung,Suffix,5
t,Suffix,4
los,Suffix,4
e,Suffix,3
ität,Suffix,2
er,Suffix,2
bar,Suffix,2
anz,Suffix,1
haft,Suffix,1
tum,Suffix,1
en,Suffix,1
chen,Suffix,1
es,Suffix,1
s,Suffix,1
