Morpheme,Type,Count
re,Prefix,62
un,Prefix,51
be,Prefix,47
ge,Prefix,47
er,Prefix,32
nach,Prefix,28
ent,Prefix,27
zu,Prefix,22
ver,Prefix,16
auf,Prefix,13
ab,Prefix,11
aus,Prefix,11
vor,Prefix,7
ein,Prefix,6
de,Prefix,5
mit,Prefix,5
an,Prefix,5
zer,Prefix,4
pro,Prefix,4
weg,Prefix,3
hin,Prefix,2
heim,Prefix,2
her,Prefix,2
sub,Prefix,1
ex,Prefix,1
pre,Prefix,1
bei,Prefix,1
zusammen,Prefix,1
fort,Prefix,1
Umwelt,Root,112
Klima,Root,45
Energi,Root,27
Kraft,Root,23
Belast,Root,22
Welt,Root,22
Halt,Root,20
Wickl,Root,20
Schutz,Root,19
Ständ,Root,18
Ozon,Root,15
Konst,Root,13
Ssourcen,Root,13
Natur,Root,13
End,Root,12
Kunftsfäh,Root,10
Dauer,Root,9
Ökolog,Root,9
System,Root,9
Lebens,Root,9
Kosmos,Root,8
Gel,Root,8
Klimaänd,Root,8
Wasser,Root,8
Temperatur,Root,8
Wirk,Root,8
Gleich,Root,7
Ganz,Root,7
Energie,Root,7
Schadstoff,Root,7
Scho,Root,7
Entwickl,Root,7
Verschmutz,Root,7
Bild,Root,7
Nat,Root,7
Raum,Root,7
Öko,Root,7
Gew,Root,7
Über,Root,6
Wach,Root,6
Maß,Root,6
Erd,Root,6
Gehalt,Root,6
Katastroph,Root,6
Luft,Root,6
Wechsel,Root,6
Staub,Root,6
Stand,Root,6
Harr,Root,6
Güt,Root,6
Manag,Root,6
Ste,Root,5
Schöpf,Root,5
Stabil,Root,5
Gleichmäß,Root,5
Nera,Root,5
Qualität,Root,5
Lauf,Root,5
Fall,Root,5
All,Root,5
Umgeb,Root,5
Umweltschutz,Root,5
Druck,Root,5
Fes,Root,5
Stärk,Root,5
Kontinu,Root,4
Ewig,Root,4
Zeit,Root,4
Bis,Root,4
Zähl,Root,4
Kunf,Root,4
Pfleg,Root,4
Qualita,Root,4
Rühr,Root,4
Wandel,Root,4
Gewich,Root,4
Lmäß,Root,4
Bil,Root,4
Freund,Root,4
Nitrat,Root,4
Konzentra,Root,4
Problem,Root,4
Verträg,Root,4
Feinstaub,Root,4
Wind,Root,4
Zykl,Root,4
Wiederkehr,Root,4
Weiter,Root,4
Zerstör,Root,4
Kreislauf,Root,4
Heiz,Root,4
Anstieg,Root,4
Globu,Root,4
Bereich,Root,4
Halbkugel,Root,4
Smog,Root,4
Fäh,Root,4
Strom,Root,4
Kapi,Root,4
Wir,Root,4
Här,Root,4
Satz,Root,4
Neu,Root,4
Vermög,Root,4
Mensch,Root,4
Leb,Root,4
Bewusstsei,Root,4
Politik,Root,4
Initia,Root,4
Gäng,Root,3
Balanc,Root,3
Häng,Root,3
Ökonomi,Root,3
Sozi,Root,3
Vermeid,Root,3
Einspar,Root,3
Deh,Root,3
Wärm,Root,3
Schadstoffe,Root,3
Grund,Root,3
Sonnen,Root,3
Groß,Root,3
Rohstoff,Root,3
Konsequ,Root,3
Niveau,Root,3
Hoch,Root,3
Leistungs,Root,3
Schw,Root,3
Spann,Root,3
Wuch,Root,3
Strategi,Root,3
Arbeit,Root,3
Pot,Root,3
Schärf,Root,3
Trieb,Root,3
Arbeits,Root,3
Gewi,Root,3
Effek,Root,3
Duld,Root,3
Qualifika,Root,3
Mach,Root,3
Selbst,Root,3
Tradi,Root,3
Naturschutz,Root,3
Beweg,Root,3
Abkomm,Root,3
Konf,Root,3
Kodex,Root,3
Hartnäck,Root,3
Ad,Root,2
Infini,Root,2
Pupp,Root,2
Grenz,Root,2
Unb,Root,2
Gründ,Root,2
Erm,Root,2
Schau,Root,2
Zahl,Root,2
Wahr,Root,2
Chterhalt,Root,2
Stands,Root,2
Standssich,Root,2
Enkeltaug,Root,2
Inhalt,Root,2
Ratshalt,Root,2
Tragfäh,Root,2
Bewu,Root,2
Perma,Root,2
Per,Root,2
Harmoni,Root,2
Lmaß,Root,2
Allgemei,Root,2
Sam,Root,2
Komplex,Root,2
Tot,Root,2
Eben,Root,2
Dwärm,Root,2
Othermi,Root,2
Gleichar,Root,2
Gleichförm,Root,2
Gold,Root,2
Schni,Root,2
Grundmu,Root,2
Mag,Root,2
Symmetri,Root,2
Neutr,Root,2
Naturnah,Root,2
Kobil,Root,2
Effizi,Root,2
Umweltbil,Root,2
Umweltko,Root,2
Problematik,Root,2
Schäd,Root,2
Jahres,Root,2
Durchschnittstempera,Root,2
Kri,Root,2
Ozonw,Root,2
Treibhauseffek,Root,2
Verhäl,Root,2
Rech,Root,2
Samt,Root,2
Indikator,Root,2
Gerech,Root,2
Sei,Root,2
Rythmu,Root,2
Wiederhol,Root,2
Verw,Root,2
Ausnutz,Root,2
Verschw,Root,2
Wald,Root,2
Eutrophi,Root,2
Ölverschmutz,Root,2
Pcbbelast,Root,2
Quecksilber,Root,2
Neri,Root,2
Ssorcenverbrauch,Root,2
Schwermetall,Root,2
Stoff,Root,2
Entlast,Root,2
Umweltgefärd,Root,2
Salz,Root,2
Verwü,Root,2
Eis,Root,2
Schmelz,Root,2
Rwärm,Root,2
Erwärm,Root,2
Gescheh,Root,2
Geschich,Root,2
Veränd,Root,2
Meeresspiegel,Root,2
Abbau,Root,2
Schwund,Root,2
Missi,Root,2
Erhöh,Root,2
Sturz,Root,2
Wolken,Root,2
Wüsten,Root,2
Begr,Root,2
Nahme,Root,2
Kapaz,Root,2
Natür,Root,2
Ssourc,Root,2
Ambi,Root,2
Ding,Root,2
Dimensio,Root,2
Ter,Root,2
Horizo,Root,2
Gesetz,Root,2
Reich,Root,2
Ichwei,Root,2
Äth,Root,2
Dball,Root,2
Dhalbkugel,Root,2
Dkugel,Root,2
Firma,Root,2
Galaxi,Root,2
Stir,Root,2
Atplan,Root,2
Hemisphär,Root,2
Makro,Root,2
Koso,Root,2
Mut,Root,2
Nord,Root,2
Son,Root,2
Stern,Root,2
Himmel,Root,2
Süd,Root,2
Umlaufbah,Root,2
Viel,Root,2
Iversum,Root,2
Welten,Root,2
Gebäud,Root,2
Kugel,Root,2
Welttall,Root,2
Atmosphär,Root,2
Dklima,Root,2
Klein,Root,2
Lufthüll,Root,2
Mikro,Root,2
Ozonschich,Root,2
Sommer,Root,2
Uv,Root,2
Strahl,Root,2
Ölkatastroph,Root,2
Ölp,Root,2
Sektor,Root,2
Situa,Root,2
Gsenergi,Root,2
Bio,Root,2
Kennzei,Root,2
Standar,Root,2
Wich,Root,2
Innova,Root,2
Kern,Root,2
Last,Root,2
Meng,Root,2
Verb,Root,2
Duktions,Root,2
Potenzi,Root,2
Produk,Root,2
Umsatz,Root,2
Steu,Root,2
Prozess,Root,2
Haltigkeits,Root,2
Konzep,Root,2
Tat,Root,2
Widerstandsfäh,Root,2
Alterna,Root,2
Paratur,Root,2
Serv,Root,2
Eigen,Root,2
Cyc,Root,2
Plan,Root,2
Schaff,Root,2
Eigensi,Root,2
Will,Root,2
Müd,Root,2
Ternehmungsg,Root,2
Mög,Root,2
Bärenkräf,Root,2
Körperkräf,Root,2
Riesenkräf,Root,2
Res,Root,2
Durchhalte,Root,2
Kul,Root,2
Treu,Root,2
Nkmal,Root,2
Sich,Root,2
Woh,Root,2
Schema,Root,2
Wohl,Root,2
Charak,Root,2
Gefühl,Root,2
Ziel,Root,2
Komm,Root,2
Hör,Root,2
Ord,Root,2
Sünd,Root,2
Umweltbera,Root,2
Forsch,Root,2
Gutach,Root,2
Ref,Root,2
Ges,Root,2
Hilf,Root,2
Organisa,Root,2
Zentrum,Root,2
Institu,Root,2
Partei,Root,2
Gipfel,Root,2
Prei,Root,2
Aktions,Root,2
Bünd,Root,2
Kill,Root,2
Konv,Root,2
Klimaschutz,Root,2
Sch,Root,2
Beug,Root,2
Schü,Root,2
Verlä,Root,2
Gieb,Root,2
Vielf,Root,1
Wicklungs,Root,1
Faktor,Root,1
Sträng,Root,1
Posi,Root,1
Wer,Root,1
Triebs,Root,1
Atom,Root,1
Elektro,Root,1
Feuer,Root,1
Finanz,Root,1
Leucht,Root,1
Photovoltaik,Root,1
Solar,Root,1
Wärme,Root,1
Int,Root,1
Kalib,Root,1
Kla,Root,1
Tragwei,Root,1
Ndruck,Root,1
Zerr,Root,1
Durch,Root,1
Bau,Root,1
Sach,Root,1
Struk,Root,1
Globalisierungs,Root,1
