Morpheme,Type,Count
re,Prefix,71
be,Prefix,58
un,Prefix,54
ge,Prefix,54
er,Prefix,38
nach,Prefix,37
ent,Prefix,33
zu,Prefix,26
ver,Prefix,21
aus,Prefix,16
auf,Prefix,15
ab,Prefix,13
ein,Prefix,11
pro,Prefix,8
vor,Prefix,7
an,Prefix,7
zer,Prefix,5
de,Prefix,5
mit,Prefix,5
weg,Prefix,3
hin,Prefix,2
heim,Prefix,2
sub,Prefix,2
her,Prefix,2
ex,Prefix,1
pre,Prefix,1
bei,Prefix,1
zusammen,Prefix,1
fort,Prefix,1
Umwelt,Root,123
Klima,Root,45
Energi,Root,44
Kraft,Root,39
Halt,Root,27
Welt,Root,26
Wickl,Root,25
Ständ,Root,23
Schutz,Root,22
Belast,Root,22
Ssourcen,Root,16
Ozon,Root,15
Natur,Root,14
Konst,Root,13
Wirk,Root,13
End,Root,12
Kunftsfäh,Root,12
Wasser,Root,12
Dauer,Root,11
Gew,Root,11
Manag,Root,11
Druck,Root,10
Ökolog,Root,9
System,Root,9
Lebens,Root,9
Harr,Root,9
Kosmos,Root,8
Gleich,Root,8
Gel,Root,8
Energie,Root,8
Schadstoff,Root,8
Scho,Root,8
Klimaänd,Root,8
Entwickl,Root,8
Temperatur,Root,8
Raum,Root,8
Öko,Root,8
Güt,Root,8
Strom,Root,8
Wir,Root,8
Fes,Root,8
Stärk,Root,8
Wach,Root,7
Ganz,Root,7
Verschmutz,Root,7
Bild,Root,7
Nat,Root,7
Stand,Root,7
Kapi,Root,7
Här,Root,7
Satz,Root,7
Ste,Root,6
Schöpf,Root,6
Über,Root,6
Stabil,Root,6
Gleichmäß,Root,6
Maß,Root,6
Erd,Root,6
Gehalt,Root,6
Katastroph,Root,6
Luft,Root,6
Wind,Root,6
Wechsel,Root,6
Lauf,Root,6
Fall,Root,6
Staub,Root,6
Kreislauf,Root,6
Heiz,Root,6
Umweltschutz,Root,6
Fäh,Root,6
Hoch,Root,6
Leistungs,Root,6
Schw,Root,6
Spann,Root,6
