Morpheme,Type,Count
re,Prefix,31
be,Prefix,28
ge,Prefix,24
un,Prefix,23
er,Prefix,17
nach,Prefix,16
ent,Prefix,14
zu,Prefix,12
ver,Prefix,8
auf,Prefix,7
ab,Prefix,7
aus,Prefix,7
ein,Prefix,5
vor,Prefix,4
de,Prefix,4
pro,Prefix,4
zer,Prefix,3
an,Prefix,2
hin,Prefix,1
mit,Prefix,1
heim,Prefix,1
weg,Prefix,1
sub,Prefix,1
her,Prefix,1
ex,Prefix,1
pre,Prefix,1
Umwelt,Root,53
Energi,Root,22
Kraft,Root,20
Klima,Root,18
Halt,Root,13
Ständ,Root,12
Wickl,Root,12
Welt,Root,12
Schutz,Root,11
Belast,Root,11
Ssourcen,Root,8
Konst,Root,7
Ozon,Root,7
Natur,Root,7
Dauer,Root,6
End,Root,6
Wasser,Root,6
Gew,Root,6
Wirk,Root,6
Manag,Root,6
Kunftsfäh,Root,5
Ökolog,Root,5
Lebens,Root,5
Druck,Root,5
Fes,Root,5
Kosmos,Root,4
Über,Root,4
Gleich,Root,4
Ganz,Root,4
Energie,Root,4
Schadstoff,Root,4
Scho,Root,4
Klimaänd,Root,4
Entwickl,Root,4
Verschmutz,Root,4
Temperatur,Root,4
System,Root,4
Stand,Root,4
Raum,Root,4
Harr,Root,4
Güt,Root,4
Fäh,Root,4
Strom,Root,4
Wir,Root,4
Här,Root,4
Stärk,Root,4
Neu,Root,4
Vermög,Root,4
Leb,Root,4
Ste,Root,3
Schöpf,Root,3
Pfleg,Root,3
Qualita,Root,3
Wach,Root,3
Stabil,Root,3
Gleichmäß,Root,3
Maß,Root,3
Erd,Root,3
Gel,Root,3
Gehalt,Root,3
Qualität,Root,3
Katastroph,Root,3
Luft,Root,3
Wind,Root,3
Wechsel,Root,3
Lauf,Root,3
Wiederkehr,Root,3
Fall,Root,3
Weiter,Root,3
Staub,Root,3
Kreislauf,Root,3
Heiz,Root,3
Bild,Root,3
Nat,Root,3
All,Root,3
Öko,Root,3
Umweltschutz,Root,3
Konsequ,Root,3
Niveau,Root,3
Hoch,Root,3
Leistungs,Root,3
Schw,Root,3
Spann,Root,3
Wuch,Root,3
Kapi,Root,3
Pot,Root,3
Schärf,Root,3
Trieb,Root,3
Arbeits,Root,3
Satz,Root,3
Effek,Root,3
Qualifika,Root,3
Mensch,Root,3
Mach,Root,3
Bewusstsei,Root,3
Kontinu,Root,2
Ewig,Root,2
Zeit,Root,2
Bis,Root,2
Zähl,Root,2
Kunf,Root,2
Rühr,Root,2
Wandel,Root,2
Gewich,Root,2
Lmäß,Root,2
Bil,Root,2
Freund,Root,2
Nitrat,Root,2
Nera,Root,2
Konzentra,Root,2
Problem,Root,2
Verträg,Root,2
Feinstaub,Root,2
Ökonomi,Root,2
Zykl,Root,2
Vermeid,Root,2
Einspar,Root,2
Deh,Root,2
Zerstör,Root,2
Wärm,Root,2
Anstieg,Root,2
Schadstoffe,Root,2
Globu,Root,2
Bereich,Root,2
Umgeb,Root,2
Halbkugel,Root,2
Sonnen,Root,2
Smog,Root,2
Rohstoff,Root,2
Kennzei,Root,2
Wich,Root,2
Innova,Root,2
Kern,Root,2
Last,Root,2
Meng,Root,2
Verb,Root,2
Duktions,Root,2
Potenzi,Root,2
Strategi,Root,2
Produk,Root,2
Umsatz,Root,2
Steu,Root,2
Konzep,Root,2
Tat,Root,2
Widerstandsfäh,Root,2
Alterna,Root,2
Eigen,Root,2
Cyc,Root,2
Plan,Root,2
Gewi,Root,2
Schaff,Root,2
Müd,Root,2
Durchhalte,Root,2
Nkmal,Root,2
Gefühl,Root,2
Selbst,Root,2
Sünd,Root,2
Ref,Root,2
Ad,Root,1
Infini,Root,1
Pupp,Root,1
Grenz,Root,1
Unb,Root,1
Gründ,Root,1
Erm,Root,1
Schau,Root,1
Zahl,Root,1
Wahr,Root,1
Chterhalt,Root,1
Stands,Root,1
Standssich,Root,1
Enkeltaug,Root,1
Inhalt,Root,1
Ratshalt,Root,1
Tragfäh,Root,1
Bewu,Root,1
Perma,Root,1
Per,Root,1
Gäng,Root,1
Harmoni,Root,1
Balanc,Root,1
Lmaß,Root,1
Allgemei,Root,1
Sam,Root,1
Komplex,Root,1
Tot,Root,1
Eben,Root,1
Dwärm,Root,1
Othermi,Root,1
Gleichar,Root,1
Gleichförm,Root,1
Gold,Root,1
Schni,Root,1
Grundmu,Root,1
Mag,Root,1
Symmetri,Root,1
Neutr,Root,1
Naturnah,Root,1
Kobil,Root,1
Effizi,Root,1
Umweltbil,Root,1
Umweltko,Root,1
Problematik,Root,1
Schäd,Root,1
Jahres,Root,1
Durchschnittstempera,Root,1
Kri,Root,1
Ozonw,Root,1
Treibhauseffek,Root,1
Verhäl,Root,1
Rech,Root,1
Samt,Root,1
Indikator,Root,1
Gerech,Root,1
Sei,Root,1
Häng,Root,1
Sozi,Root,1
Rythmu,Root,1
Wiederhol,Root,1
Verw,Root,1
Ausnutz,Root,1
Verschw,Root,1
Wald,Root,1
Eutrophi,Root,1
Ölverschmutz,Root,1
Pcbbelast,Root,1
Quecksilber,Root,1
Neri,Root,1
Ssorcenverbrauch,Root,1
Schwermetall,Root,1
Stoff,Root,1
Entlast,Root,1
Umweltgefärd,Root,1
Salz,Root,1
Verwü,Root,1
Eis,Root,1
Schmelz,Root,1
Rwärm,Root,1
Erwärm,Root,1
Gescheh,Root,1
Geschich,Root,1
Veränd,Root,1
Meeresspiegel,Root,1
Abbau,Root,1
Schwund,Root,1
Missi,Root,1
Erhöh,Root,1
Sturz,Root,1
Wolken,Root,1
Wüsten,Root,1
Begr,Root,1
Nahme,Root,1
Kapaz,Root,1
Natür,Root,1
Ssourc,Root,1
Ambi,Root,1
Ding,Root,1
Dimensio,Root,1
Ter,Root,1
Grund,Root,1
Horizo,Root,1
Gesetz,Root,1
