Morpheme,Type,Count
un,Prefix,9
be,Prefix,4
er,Prefix,3
zu,Prefix,2
ge,Prefix,1
End,Root,4
Halt,Root,3
Kontinu,Root,2
Ste,Root,2
Dauer,Root,2
Ewig,Root,2
Zeit,Root,2
Bis,Root,2
Zähl,Root,2
Kunf,Root,2
Auf,Root,2
Stand,Root,2
Ständ,Root,1
Kon,Root,1
Tanz,Root,1
Kosmos,Root,1
Ad,Root,1
Infini,Root,1
Pupp,Root,1
Grenz,Root,1
Unb,Root,1
Gründ,Root,1
Erm,Root,1
Schöpf,Root,1
Überschau,Root,1
Zahl,Root,1
Los,Root,1
Fäh,Root,1
Wahr,Root,1
Rech,Root,1
Pfleg,Root,1
Sich,Root,1
Enkel,Root,1
Taug,Root,1
Rei,Root,1
Vorra,Root,1
keit,Suffix,10
ig,Suffix,7
t,Suffix,7
lich,Suffix,7
s,Suffix,6
ung,Suffix,5
e,Suffix,3
los,Suffix,3
ität,Suffix,2
er,Suffix,2
bar,Suffix,2
haft,Suffix,1
tum,Suffix,1
en,Suffix,1
chen,Suffix,1
es,Suffix,1
n,Suffix,1
