Morpheme,Type,Count
be,Prefix,100
ge,Prefix,63
re,Prefix,61
un,Prefix,52
ver,Prefix,45
ent,Prefix,40
er,Prefix,37
nach,Prefix,33
zu,Prefix,25
pro,Prefix,18
ab,Prefix,15
an,Prefix,11
ein,Prefix,5
auf,Prefix,5
weg,Prefix,3
aus,Prefix,3
sub,Prefix,2
zer,Prefix,2
her,Prefix,2
vor,Prefix,2
pre,Prefix,1
bei,Prefix,1
zusammen,Prefix,1
mit,Prefix,1
dis,Prefix,1
Umwelt,Root,137
Energi,Root,56
Klima,Root,55
Halt,Root,43
Kraft,Root,40
Schutz,Root,37
Wickl,Root,33
Last,Root,30
Welt,Root,30
Fäh,Root,27
Nat,Root,25
Ständ,Root,23
Kon,Root,20
Kunf,Root,18
Ressource,Root,18
Auf,Root,17
Stand,Root,17
Erd,Root,17
Ozo,Root,17
Aus,Root,17
Stoff,Root,15
Wirk,Root,15
Gel,Root,14
Leb,Root,14
Tanz,Root,13
Öko,Root,13
Ein,Root,13
End,Root,12
Wärm,Root,12
Schad,Root,12
Wasser,Root,12
Gew,Root,12
Druck,Root,12
Dauer,Root,11
Trieb,Root,11
Arbeit,Root,11
Manag,Root,11
Änd,Root,10
Staub,Root,10
Tempera,Root,10
Ver,Root,10
Schw,Root,10
Harr,Root,10
Wir,Root,10
Mög,Root,10
Ökolog,Root,9
System,Root,9
Steu,Root,9
Stärk,Root,9
Kräf,Root,9
Kosmos,Root,8
Rech,Root,8
Gleich,Root,8
Wich,Root,8
Maß,Root,8
Luf,Root,8
Wei,Root,8
Ich,Root,8
Kugel,Root,8
Güt,Root,8
Strom,Root,8
Komm,Root,8
Fes,Root,8
Para,Root,8
Eig,Root,8
Sich,Root,7
Wach,Root,7
Ganz,Root,7
Träg,Root,7
Wer,Root,7
Zer,Root,7
Bild,Root,7
Lei,Root,7
Kapi,Root,7
Här,Root,7
Satz,Root,7
Rück,Root,7
Ste,Root,6
Schöpf,Root,6
Trag,Root,6
Stabil,Root,6
Gleichmäß,Root,6
Bil,Root,6
Katastroph,Root,6
Wind,Root,6
Abl,Root,6
Fall,Root,6
Scho,Root,6
Krei,Root,6
Lauf,Root,6
Schmutz,Root,6
Heiz,Root,6
All,Root,6
Über,Root,6
Raum,Root,6
Plan,Root,6
Son,Root,6
Hoch,Root,6
Spa,Root,6
Duk,Root,6
Schärf,Root,6
Gewi,Root,6
Effek,Root,6
Neu,Root,6
Selb,Root,6
Qualita,Root,5
Rühr,Root,5
Grund,Root,5
Nera,Root,5
Qualität,Root,5
Fei,Root,5
Durch,Root,5
Wiederkehr,Root,5
Stör,Root,5
Stieg,Root,5
Setz,Root,5
Umgeb,Root,5
Sequ,Root,5
Niveau,Root,5
Art,Root,5
Wuch,Root,5
Strategi,Root,5
Form,Root,5
Pot,Root,5
Qualifika,Root,5
Kontinu,Root,4
Ewig,Root,4
Zeit,Root,4
Bis,Root,4
Zähl,Root,4
Pfleg,Root,4
Wandel,Root,4
Mäß,Root,4
Schni,Root,4
Nitra,Root,4
Konzentra,Root,4
Blem,Root,4
Ökonomi,Root,4
Zykl,Root,4
Meid,Root,4
Spar,Root,4
Deh,Root,4
Nutz,Root,4
Wüs,Root,4
Wechsel,Root,4
Bau,Root,4
Höh,Root,4
Glo,Root,4
Bus,Root,4
Mit,Root,4
Halb,Root,4
Smog,Root,4
Rohstoff,Root,4
Elektro,Root,4
Innova,Root,4
Ker,Root,4
Meng,Root,4
Mark,Root,4
