Morpheme,Type,Count
be,Prefix,30
ge,Prefix,22
un,Prefix,17
re,Prefix,15
ent,Prefix,14
ver,Prefix,11
er,Prefix,9
nach,Prefix,9
pro,Prefix,6
zu,Prefix,5
ab,Prefix,3
an,Prefix,3
ein,Prefix,1
auf,Prefix,1
weg,Prefix,1
sub,Prefix,1
Umwelt,Root,23
Klima,Root,20
Energi,Root,18
Halt,Root,17
Last,Root,14
Wickl,Root,12
Welt,Root,12
Kraft,Root,11
Nat,Root,10
Schutz,Root,9
Fäh,Root,8
Erd,Root,8
Ozo,Root,8
Ständ,Root,7
End,Root,6
Auf,Root,6
Wärm,Root,6
Ressource,Root,6
Kon,Root,5
Kunf,Root,5
Stand,Root,5
Änd,Root,5
Staub,Root,5
Tempera,Root,5
Druck,Root,5
Tanz,Root,4
Kosmos,Root,4
Ökolog,Root,4
Gleich,Root,4
Wich,Root,4
Gel,Root,4
Maß,Root,4
Stoff,Root,4
Luf,Root,4
Aus,Root,4
Schw,Root,4
Wasser,Root,4
System,Root,4
Ich,Root,4
Öko,Root,4
Kugel,Root,4
Gew,Root,4
Steu,Root,4
Dauer,Root,3
Rech,Root,3
Stabil,Root,3
Ganz,Root,3
Bil,Root,3
Schad,Root,3
Katastroph,Root,3
Wind,Root,3
Ver,Root,3
Wei,Root,3
Zer,Root,3
Schmutz,Root,3
Heiz,Root,3
Bild,Root,3
Leb,Root,3
Raum,Root,3
Son,Root,3
Strom,Root,3
Kapi,Root,3
Ein,Root,3
Kontinu,Root,2
Ste,Root,2
Ewig,Root,2
Zeit,Root,2
Bis,Root,2
Schöpf,Root,2
Zähl,Root,2
Trag,Root,2
Qualita,Root,2
Wach,Root,2
Wandel,Root,2
Mäß,Root,2
Gleichmäß,Root,2
Schni,Root,2
Grund,Root,2
Nitra,Root,2
Nera,Root,2
Konzentra,Root,2
Blem,Root,2
Qualität,Root,2
Träg,Root,2
Fei,Root,2
Durch,Root,2
Wer,Root,2
Abl,Root,2
Zykl,Root,2
Fall,Root,2
Scho,Root,2
Deh,Root,2
Stör,Root,2
Wüs,Root,2
Wechsel,Root,2
Stieg,Root,2
Bau,Root,2
All,Root,2
Glo,Root,2
Bus,Root,2
Umgeb,Root,2
Halb,Root,2
Smog,Root,2
Niveau,Root,2
Art,Root,2
Elektro,Root,2
Hoch,Root,2
Innova,Root,2
Ker,Root,2
Meng,Root,2
Spa,Root,2
Wuch,Root,2
Wirk,Root,2
Duk,Root,2
Strategi,Root,2
Umsatz,Root,2
Wir,Root,2
Schärf,Root,2
Fes,Root,2
Här,Root,2
Stärk,Root,2
Para,Root,2
Ad,Root,1
Infini,Root,1
Pupp,Root,1
Grenz,Root,1
Unb,Root,1
Gründ,Root,1
Erm,Root,1
Überschau,Root,1
Zahl,Root,1
Los,Root,1
Wahr,Root,1
Pfleg,Root,1
Sich,Root,1
Enkel,Root,1
Taug,Root,1
Rei,Root,1
Vorra,Root,1
Umweltbewu,Root,1
Perma,Root,1
Per,Root,1
Rühr,Root,1
Gäng,Root,1
Harmoni,Root,1
Balanc,Root,1
Allgemei,Root,1
Sam,Root,1
Komplex,Root,1
Tot,Root,1
Ebe,Root,1
Othermi,Root,1
Gleichar,Root,1
Gleichförm,Root,1
Gold,Root,1
Mus,Root,1
Mag,Root,1
Symmetri,Root,1
Klimafreund,Root,1
Klimaneutr,Root,1
Naturnah,Root,1
Kobil,Root,1
Effizi,Root,1
Umweltfreund,Root,1
Kos,Root,1
Blematik,Root,1
Umweltschäd,Root,1
Umweltscho,Root,1
Jahr,Root,1
Kri,Root,1
Treibhauseffek,Root,1
Häl,Root,1
Samtindikator,Root,1
Wechselsei,Root,1
Häng,Root,1
Ökonomi,Root,1
Sozi,Root,1
Rythmu,Root,1
Wied,Root,1
Hol,Root,1
Wiederkehr,Root,1
Meid,Root,1
Spar,Root,1
Verw,Root,1
Nutz,Root,1
Wald,Root,1
Eutrophi,Root,1
Ölverschmutz,Root,1
Pcbbelast,Root,1
Quecksilb,Root,1
Neri,Root,1
Ssorcenverbrauch,Root,1
Metall,Root,1
Krei,Root,1
Lauf,Root,1
Umweltgefärd,Root,1
Salz,Root,1
Eis,Root,1
Schmelz,Root,1
Scheh,Root,1
Schich,Root,1
Meer,Root,1
Spiegel,Root,1
Schwund,Root,1
Schadstoffemissi,Root,1
Höh,Root,1
Sturz,Root,1
Wolk,Root,1
Begr,Root,1
Nahm,Root,1
Kapaz,Root,1
Natür,Root,1
Über,Root,1
Ambi,Root,1
Ding,Root,1
Dimensio,Root,1
Hin,Root,1
Horizo,Root,1
Mit,Root,1
Setz,Root,1
Äth,Root,1
Ball,Root,1
Dhalbkugel,Root,1
Firma,Root,1
Galaxi,Root,1
Stir,Root,1
Heima,Root,1
Plan,Root,1
Hemisphär,Root,1
Makrokoso,Root,1
Mut,Root,1
Nord,Root,1
Sternhimmel,Root,1
Süd,Root,1
Umlauf,Root,1
Bah,Root,1
Groß,Root,1
Viel,Root,1
Iversum,Root,1
Wel,Root,1
Bäud,Root,1
Welttall,Root,1
Atmosphär,Root,1
Klei,Root,1
Hüll,Root,1
Mikro,Root,1
Ozonschich,Root,1
Sommer,Root,1
Uv,Root,1
Strahl,Root,1
Rohstoff,Root,1
Ölkatastroph,Root,1
Ölp,Root,1
Sektor,Root,1
Situa,Root,1
Gsenergi,Root,1
Bio,Root,1
Vielf,Root,1
Faktor,Root,1
Harr,Root,1
Sequ,Root,1
Sträng,Root,1
Güt,Root,1
Kennzei,Root,1
Posi,Root,1
Trieb,Root,1
Atom,Root,1
Feu,Root,1
Fin,Root,1
Lei,Root,1
Leuch,Root,1
Photovoltaik,Root,1
Solar,Root,1
Int,Root,1
Kalib,Root,1
Kla,Root,1
Geg,Root,1
Zerr,Root,1
Sach,Root,1
Verb,Root,1
Potenzi,Root,1
Struk,Root,1
Globalisi,Root,1
Mega,Root,1
Fusio,Root,1
Mark,Root,1
Natio,Root,1
Komm,Root,1
Schäf,Root,1
Prozess,Root,1
Norma,Root,1
Schlüssel,Root,1
Konzep,Root,1
Ökonom,Root,1
Form,Root,1
Duktionskapi,Root,1
Stitui,Root,1
Pioni,Root,1
Arbeit,Root,1
Pot,Root,1
Tat,Root,1
Dring,Root,1
Ten,Root,1
Ion,Root,1
Derb,Root,1
Dich,Root,1
Robu,Root,1
Streng,Root,1
Widerstand,Root,1
Alterna,Root,1
Pro,Root,1
Mobil,Root,1
Tech,Root,1
ung,Suffix,76
t,Suffix,75
e,Suffix,65
n,Suffix,45
keit,Suffix,40
ig,Suffix,38
s,Suffix,38
er,Suffix,28
lich,Suffix,18
ur,Suffix,18
en,Suffix,14
al,Suffix,13
ität,Suffix,9
tion,Suffix,9
isch,Suffix,8
heit,Suffix,7
te,Suffix,7
bar,Suffix,6
enz,Suffix,6
iv,Suffix,5
anz,Suffix,5
end,Suffix,5
es,Suffix,4
ens,Suffix,4
los,Suffix,3
chen,Suffix,3
st,Suffix,3
ten,Suffix,3
haft,Suffix,2
tum,Suffix,2
et,Suffix,2
schaft,Suffix,2
ist,Suffix,1
ismus,Suffix,1
nis,Suffix,1
ment,Suffix,1
est,Suffix,1
sam,Suffix,1
