Morpheme,Type,Count
be,Prefix,55
ge,Prefix,36
re,Prefix,35
ver,Prefix,23
un,Prefix,21
ent,Prefix,19
er,Prefix,18
nach,Prefix,17
zu,Prefix,14
pro,Prefix,10
ab,Prefix,10
an,Prefix,6
ein,Prefix,3
auf,Prefix,3
weg,Prefix,2
her,Prefix,2
aus,Prefix,2
sub,Prefix,1
zer,Prefix,1
pre,Prefix,1
bei,Prefix,1
zusammen,Prefix,1
mit,Prefix,1
dis,Prefix,1
vor,Prefix,1
Umwelt,Root,102
Klima,Root,35
Energi,Root,29
Schutz,Root,26
Halt,Root,23
Kraft,Root,20
Wickl,Root,17
Welt,Root,17
Fäh,Root,15
Last,Root,15
Nat,Root,14
Ständ,Root,12
Kon,Root,12
Kunf,Root,10
Aus,Root,10
Auf,Root,9
Gel,Root,9
Erd,Root,9
Ressource,Root,9
Ozo,Root,9
Leb,Root,9
Öko,Root,9
Wirk,Root,9
Tanz,Root,8
Stand,Root,8
Stoff,Root,8
Ver,Root,7
Gew,Root,7
Ein,Root,7
Dauer,Root,6
End,Root,6
Wärm,Root,6
Schad,Root,6
Wasser,Root,6
Trieb,Root,6
Druck,Root,6
Komm,Root,6
Arbeit,Root,6
Manag,Root,6
Rech,Root,5
Ökolog,Root,5
Änd,Root,5
Staub,Root,5
Tempera,Root,5
Wer,Root,5
Wei,Root,5
Schw,Root,5
System,Root,5
Harr,Root,5
Güt,Root,5
Wir,Root,5
Steu,Root,5
Fes,Root,5
Para,Root,5
Mög,Root,5
Selb,Root,5
Kosmos,Root,4
Sich,Root,4
Trag,Root,4
Wach,Root,4
Gleich,Root,4
Wich,Root,4
Maß,Root,4
Ganz,Root,4
Träg,Root,4
Luf,Root,4
Zer,Root,4
Bild,Root,4
All,Root,4
Ich,Root,4
Kugel,Root,4
Lei,Root,4
Strom,Root,4
Kapi,Root,4
Här,Root,4
Stärk,Root,4
Eig,Root,4
Neu,Root,4
Vor,Root,4
Politik,Root,4
Ges,Root,4
Initia,Root,4
Konf,Root,4
Ste,Root,3
Schöpf,Root,3
Pfleg,Root,3
Qualita,Root,3
Stabil,Root,3
Gleichmäß,Root,3
Bil,Root,3
Nera,Root,3
Qualität,Root,3
Katastroph,Root,3
Wind,Root,3
Abl,Root,3
Wiederkehr,Root,3
Fall,Root,3
Scho,Root,3
Stör,Root,3
Krei,Root,3
Lauf,Root,3
Schmutz,Root,3
Heiz,Root,3
Über,Root,3
Raum,Root,3
Mit,Root,3
Setz,Root,3
Umgeb,Root,3
Plan,Root,3
Son,Root,3
Sequ,Root,3
Niveau,Root,3
Hoch,Root,3
Spa,Root,3
Wuch,Root,3
Duk,Root,3
Strategi,Root,3
Form,Root,3
Pot,Root,3
Schärf,Root,3
Satz,Root,3
Rück,Root,3
Gewi,Root,3
Effek,Root,3
Qualifika,Root,3
Mensch,Root,3
Kräf,Root,3
Denk,Root,3
Mal,Root,3
Mach,Root,3
Bewu,Root,3
Sei,Root,3
Ach,Root,3
Forsch,Root,3
Völk,Root,3
Zentrum,Root,3
Weg,Root,3
Gipfel,Root,3
Grupp,Root,3
Kodex,Root,3
Kontinu,Root,2
