Morpheme,Type,Count
ge,Prefix,42
be,Prefix,40
re,Prefix,37
un,Prefix,34
ver,Prefix,29
er,Prefix,24
ab,Prefix,13
nach,Prefix,12
zu,Prefix,11
pro,Prefix,10
an,Prefix,7
ein,Prefix,5
ent,Prefix,5
über,Prefix,4
de,Prefix,4
auf,Prefix,3
aus,Prefix,3
weg,Prefix,2
her,Prefix,2
vor,Prefix,2
sub,Prefix,1
zer,Prefix,1
pre,Prefix,1
bei,Prefix,1
zusammen,Prefix,1
mit,Prefix,1
dis,Prefix,1
Umwelt,Root,86
Klima,Root,31
Energi,Root,21
Kraft,Root,20
Schutz,Root,17
Welt,Root,17
Nat,Root,15
Halt,Root,14
Belast,Root,11
Aus,Root,10
Stand,Root,9
Ressource,Root,9
Ozo,Root,9
Leb,Root,9
Fäh,Root,9
Entwickl,Root,8
Öko,Root,8
Gew,Root,7
Komm,Root,7
Arbeit,Root,7
Mög,Root,7
Dauer,Root,6
End,Root,6
Auf,Root,6
Sich,Root,6
Erd,Root,6
Lauf,Root,6
Wasser,Root,6
Trieb,Root,6
Druck,Root,6
Wirk,Root,6
Stärk,Root,6
Manag,Root,6
Kräf,Root,6
Rech,Root,5
Ökolog,Root,5
Ständ,Root,5
Wärm,Root,5
Staub,Root,5
Tempera,Root,5
Wer,Root,5
Wei,Root,5
Schw,Root,5
System,Root,5
Wir,Root,5
Steu,Root,5
Ein,Root,5
Fes,Root,5
Para,Root,5
Eig,Root,5
Selb,Root,5
Kunf,Root,4
Wach,Root,4
Gleich,Root,4
Wich,Root,4
Maß,Root,4
Gel,Root,4
Schadstoff,Root,4
Luf,Root,4
Zer,Root,4
Bild,Root,4
All,Root,4
Über,Root,4
Ich,Root,4
Kugel,Root,4
Lei,Root,4
Strom,Root,4
Kapi,Root,4
Här,Root,4
Satz,Root,4
Neu,Root,4
Vor,Root,4
Mach,Root,4
Wusstsei,Root,4
Politik,Root,4
Ges,Root,4
Initia,Root,4
Konf,Root,4
Ehr,Root,4
Ste,Root,3
Schöpf,Root,3
Pfleg,Root,3
Qualita,Root,3
Stabil,Root,3
Rühr,Root,3
Gleichmäß,Root,3
Grund,Root,3
Bil,Root,3
Nera,Root,3
Qualität,Root,3
Träg,Root,3
Fei,Root,3
Katastroph,Root,3
Wind,Root,3
Wiederkehr,Root,3
Fall,Root,3
Scho,Root,3
Stör,Root,3
Stoff,Root,3
Krei,Root,3
Last,Root,3
Schmutz,Root,3
Heiz,Root,3
Stieg,Root,3
Raum,Root,3
Mit,Root,3
Umgeb,Root,3
Plan,Root,3
Son,Root,3
Konsequ,Root,3
Niveau,Root,3
Art,Root,3
Hoch,Root,3
Spa,Root,3
Wuch,Root,3
Duk,Root,3
Strategi,Root,3
Form,Root,3
Pot,Root,3
Schärf,Root,3
Gewi,Root,3
Effek,Root,3
Wohl,Root,3
Sin,Root,3
Will,Root,3
Duld,Root,3
Qualifika,Root,3
Mensch,Root,3
Gei,Root,3
Durchh,Root,3
Steh,Root,3
Nkm,Root,3
Ziel,Root,3
Forsch,Root,3
Hilf,Root,3
Tradi,Root,3
Völk,Root,3
Amt,Root,3
Zentrum,Root,3
Weg,Root,3
Gipfel,Root,3
Grupp,Root,3
Kodex,Root,3
Hartnäck,Root,3
Kontinu,Root,2
Ewig,Root,2
Zeit,Root,2
Bis,Root,2
Zähl,Root,2
Enkel,Root,2
Rei,Root,2
Gäng,Root,2
Wandel,Root,2
Lmäß,Root,2
Balanc,Root,2
Ganz,Root,2
Schni,Root,2
Nitra,Root,2
Konzentra,Root,2
Blem,Root,2
Durch,Root,2
Häng,Root,2
Ökonomi,Root,2
Sozi,Root,2
Zykl,Root,2
Meid,Root,2
Spar,Root,2
Deh,Root,2
Nutz,Root,2
Änd,Root,2
Schich,Root,2
Wechsel,Root,2
Bau,Root,2
Höh,Root,2
Ding,Root,2
Globu,Root,2
Setz,Root,2
Heima,Root,2
Mut,Root,2
Halb,Root,2
Groß,Root,2
Smog,Root,2
Rohstoff,Root,2
Kennzei,Root,2
Innova,Root,2
Ker,Root,2
Meng,Root,2
Trag,Root,2
