Morpheme,Type,Count
un,Prefix,3
de,Prefix,3
ver,Prefix,2
er,Prefix,2
be,Prefix,2
her,Prefix,1
auf,Prefix,1
re,Prefix,1
zu,Prefix,1
ge,Prefix,1
Nkm,Root,3
Aus,Root,2
Durchh,Root,2
Mög,Root,2
Steh,Root,2
Wei,Root,2
Pfleg,Root,2
Sich,Root,2
Dauer,Root,1
Lang,Root,1
Mut,Root,1
Müd,Root,1
Atla,Root,1
Gig,Root,1
Goliath,Root,1
Kul,Root,1
Hün,Root,1
Kraftmensch,Root,1
Muskel,Root,1
Kraft,Root,1
Stärk,Root,1
Über,Root,1
Mensch,Root,1
Wettkämpf,Root,1
Widerstand,Root,1
Fäh,Root,1
Phönix,Root,1
Asch,Root,1
Inkarna,Root,1
Seel,Root,1
Wand,Root,1
Weitergeh,Root,1
Leb,Root,1
Fes,Root,1
Här,Root,1
Hef,Root,1
Bieg,Root,1
Zäh,Root,1
Treu,Root,1
Lis,Root,1
Schutz,Root,1
Exi,Root,1
Terstütz,Root,1
Kunf,Root,1
Woh,Root,1
Routi,Root,1
Schema,Root,1
Wiederkehr,Root,1
en,Suffix,6
keit,Suffix,6
e,Suffix,6
er,Suffix,6
ung,Suffix,6
t,Suffix,6
al,Suffix,5
ig,Suffix,5
te,Suffix,4
s,Suffix,3
n,Suffix,2
ant,Suffix,1
es,Suffix,1
tion,Suffix,1
sam,Suffix,1
st,Suffix,1
enz,Suffix,1
heit,Suffix,1
ismus,Suffix,1
