Morpheme,Type,Count
re,Prefix,6
ab,Prefix,3
er,Prefix,2
pro,Prefix,2
be,Prefix,2
ver,Prefix,2
an,Prefix,1
zu,Prefix,1
ein,Prefix,1
zer,Prefix,1
Umwelt,Root,9
Manag,Root,5
Aus,Root,3
Trieb,Root,3
Ein,Root,3
Wir,Root,3
Lauf,Root,3
Ressource,Root,3
Wirk,Root,3
Effek,Root,3
Dauer,Root,2
Energi,Root,2
Satz,Root,2
Krei,Root,2
Cyc,Root,2
Plan,Root,2
Wasser,Root,2
Schaff,Root,2
Höh,Root,1
Kopfeinkomm,Root,1
Arbeit,Root,1
Kraft,Root,1
Auf,Root,1
Lag,Root,1
Führ,Root,1
Dynamik,Root,1
Entwickl,Root,1
Hoch,Root,1
Lei,Root,1
Gab,Root,1
Serv,Root,1
Roll,Root,1
Schw,Root,1
Strom,Root,1
Duk,Root,1
Kollabora,Root,1
Pla,Root,1
Form,Root,1
Koopera,Root,1
Gleichmäß,Root,1
Die,Root,1
Wiederkehr,Root,1
Rücksetz,Root,1
Fall,Root,1
Meid,Root,1
Circular,Root,1
Economy,Root,1
Downcyc,Root,1
Eig,Root,1
Para,Root,1
Spar,Root,1
Scho,Root,1
Flä,Root,1
Landsachaftsentwickl,Root,1
Land,Root,1
Raumentwickl,Root,1
Risiko,Root,1
Bew,Root,1
Rückgewi,Root,1
Schadstoffausschoß,Root,1
Schad,Root,1
Stoff,Root,1
Missio,Root,1
Schadstoffmobil,Root,1
Schadstoff,Root,1
Duzi,Root,1
Sonderabfallsamml,Root,1
Sondermüllabgab,Root,1
Prüf,Root,1
Investi,Root,1
Mark,Root,1
Mes,Root,1
Ökonomi,Root,1
Schutz,Root,1
Technik,Root,1
Technologie,Root,1
Nutz,Root,1
Wie,Root,1
Der,Root,1
Gewi,Root,1
Tificierungsverfahr,Root,1
Basi,Root,1
Flu,Root,1
Folg,Root,1
Funk,Root,1
Konsequ,Root,1
Krea,Root,1
Neb,Root,1
Reak,Root,1
Alisi,Root,1
Rück,Root,1
Schließ,Root,1
Schöpf,Root,1
Vollzieh,Root,1
ung,Suffix,29
e,Suffix,14
s,Suffix,11
t,Suffix,11
n,Suffix,10
tion,Suffix,7
en,Suffix,5
ment,Suffix,5
schaft,Suffix,4
ling,Suffix,3
er,Suffix,3
st,Suffix,2
ens,Suffix,1
end,Suffix,1
ig,Suffix,1
ur,Suffix,1
chen,Suffix,1
enz,Suffix,1
lich,Suffix,1
