Morpheme,Type,Count
ge,Prefix,21
un,Prefix,17
re,Prefix,12
be,Prefix,11
ver,Prefix,11
er,Prefix,10
ab,Prefix,5
pro,Prefix,3
ent,Prefix,2
an,Prefix,2
über,Prefix,1
zu,Prefix,1
ein,Prefix,1
de,Prefix,1
auf,Prefix,1
nach,Prefix,1
weg,Prefix,1
Klima,Root,17
Umwelt,Root,16
Belast,Root,11
Nat,Root,9
Halt,Root,8
Ozo,Root,8
Welt,Root,8
End,Root,6
Entwickl,Root,6
Ressource,Root,6
Energi,Root,5
Erd,Root,5
Staub,Root,5
Tempera,Root,5
Stand,Root,4
Ökolog,Root,4
Maß,Root,4
Luf,Root,4
Schutz,Root,4
System,Root,4
Ich,Root,4
Kugel,Root,4
Dauer,Root,3
Auf,Root,3
Rech,Root,3
Gleich,Root,3
Wärm,Root,3
Bil,Root,3
Schadstoff,Root,3
Katastroph,Root,3
Lauf,Root,3
Zer,Root,3
Schmutz,Root,3
Bild,Root,3
Leb,Root,3
Raum,Root,3
Kontinu,Root,2
Ste,Root,2
Ewig,Root,2
Zeit,Root,2
Bis,Root,2
Schöpf,Root,2
Zähl,Root,2
Wach,Root,2
Stabil,Root,2
Wandel,Root,2
Wich,Root,2
Lmäß,Root,2
Gleichmäß,Root,2
Gel,Root,2
Schni,Root,2
Grund,Root,2
Nitra,Root,2
Nera,Root,2
Konzentra,Root,2
Blem,Root,2
Qualität,Root,2
Fei,Root,2
Zykl,Root,2
Fall,Root,2
Scho,Root,2
Wei,Root,2
Aus,Root,2
Schw,Root,2
Stör,Root,2
Wasser,Root,2
Änd,Root,2
Wechsel,Root,2
Stieg,Root,2
All,Root,2
Globu,Root,2
Umgeb,Root,2
Halb,Root,2
Son,Root,2
Smog,Root,2
Ad,Root,1
Infini,Root,1
Pupp,Root,1
Grenz,Root,1
Unb,Root,1
Gründ,Root,1
Erm,Root,1
Schau,Root,1
Zahl,Root,1
Kunf,Root,1
Wahr,Root,1
Pfleg,Root,1
Sich,Root,1
Enkel,Root,1
Taug,Root,1
Rei,Root,1
Vorra,Root,1
Tragfäh,Root,1
Qualita,Root,1
Umweltbewu,Root,1
Perma,Root,1
Per,Root,1
Rühr,Root,1
Gäng,Root,1
Ständ,Root,1
Harmoni,Root,1
Balanc,Root,1
Allgemei,Root,1
Ganz,Root,1
Sam,Root,1
Komplex,Root,1
Tot,Root,1
Ebe,Root,1
Othermi,Root,1
Gleichar,Root,1
Gleichförm,Root,1
Gold,Root,1
Mus,Root,1
Mag,Root,1
Symmetri,Root,1
Klimafreund,Root,1
Klimaneutr,Root,1
Naturnah,Root,1
Kobil,Root,1
Effizi,Root,1
Umweltfreund,Root,1
Kos,Root,1
Blematik,Root,1
Umweltschäd,Root,1
Umweltscho,Root,1
Umweltverträg,Root,1
Träg,Root,1
Jahr,Root,1
Durch,Root,1
Kri,Root,1
Wer,Root,1
Treibhauseffek,Root,1
Wind,Root,1
Häl,Root,1
Samtindikator,Root,1
Wechselsei,Root,1
Häng,Root,1
Ökonomi,Root,1
Sozi,Root,1
Rythmu,Root,1
Wied,Root,1
Hol,Root,1
Wiederkehr,Root,1
Meid,Root,1
Spar,Root,1
Verw,Root,1
Deh,Root,1
Nutz,Root,1
Wald,Root,1
Eutrophi,Root,1
Ölverschmutz,Root,1
Pcbbelast,Root,1
Quecksilb,Root,1
Neri,Root,1
Ssorcenverbrauch,Root,1
Metall,Root,1
Stoff,Root,1
Krei,Root,1
Last,Root,1
Umweltgefärd,Root,1
Salz,Root,1
Verwü,Root,1
Heiz,Root,1
Eis,Root,1
Schmelz,Root,1
Rwärm,Root,1
Scheh,Root,1
Schich,Root,1
Meer,Root,1
Spiegel,Root,1
Bau,Root,1
Schwund,Root,1
Schadstoffemissi,Root,1
Höh,Root,1
Sturz,Root,1
Wolk,Root,1
Wüs,Root,1
Begr,Root,1
Nahm,Root,1
Kapaz,Root,1
Natür,Root,1
Über,Root,1
Ambi,Root,1
Ding,Root,1
Dimensio,Root,1
Hin,Root,1
Horizo,Root,1
Mit,Root,1
Setz,Root,1
Öko,Root,1
Äth,Root,1
Dball,Root,1
Dhalbkugel,Root,1
Firma,Root,1
Galaxi,Root,1
Stir,Root,1
Heima,Root,1
Plan,Root,1
Hemisphär,Root,1
Makrokoso,Root,1
Mut,Root,1
Nord,Root,1
Sternhimmel,Root,1
Süd,Root,1
Umlauf,Root,1
Bah,Root,1
Groß,Root,1
Viel,Root,1
Iversum,Root,1
Wel,Root,1
Bäud,Root,1
Welttall,Root,1
Atmosphär,Root,1
Klei,Root,1
Hüll,Root,1
Mikro,Root,1
Ozonschich,Root,1
Sommer,Root,1
Uvstrahl,Root,1
Rohstoff,Root,1
Ölkatastroph,Root,1
Ölp,Root,1
Sektor,Root,1
Situa,Root,1
Gsenergi,Root,1
Bio,Root,1
Gew,Root,1
ung,Suffix,61
t,Suffix,42
n,Suffix,34
e,Suffix,32
keit,Suffix,19
s,Suffix,18
lich,Suffix,16
ig,Suffix,15
ur,Suffix,14
er,Suffix,13
en,Suffix,8
ität,Suffix,6
isch,Suffix,6
end,Suffix,5
los,Suffix,4
bar,Suffix,4
enz,Suffix,4
al,Suffix,4
anz,Suffix,4
tion,Suffix,4
es,Suffix,3
heit,Suffix,3
ten,Suffix,3
te,Suffix,3
ens,Suffix,3
haft,Suffix,2
tum,Suffix,2
chen,Suffix,2
iv,Suffix,2
st,Suffix,2
et,Suffix,2
ist,Suffix,1
ismus,Suffix,1
nis,Suffix,1
ment,Suffix,1
est,Suffix,1
