Morpheme,Type,Count
ge,Prefix,6
be,Prefix,5
zu,Prefix,3
re,Prefix,2
nach,Prefix,2
pre,Prefix,1
ver,Prefix,1
ab,Prefix,1
Umwelt,Root,19
Vor,Root,4
Selb,Root,4
Leb,Root,3
Mach,Root,3
Wusstsei,Root,3
Neu,Root,2
Wer,Root,2
Fäh,Root,2
Kraft,Root,2
Gew,Root,2
Fühl,Root,2
All,Root,2
Sünd,Root,2
Ref,Root,2
Mes,Root,1
Qualität,Root,1
Wohl,Root,1
Stand,Root,1
Konsum,Root,1
Wohnhei,Root,1
Qualita,Root,1
Verb,Root,1
Ding,Root,1
Charak,Root,1
Kennzei,Root,1
Fes,Root,1
Konsequ,Root,1
Konst,Root,1
Niveau,Root,1
Agr,Root,1
Arbeit,Root,1
Domi,Root,1
Träg,Root,1
Kön,Root,1
Kunstf,Root,1
Perfek,Root,1
Pot,Root,1
Potenzi,Root,1
Qualifika,Root,1
Ssio,Root,1
Sad,Root,1
Trieb,Root,1
Über,Root,1
Verdi,Root,1
Lei,Root,1
Virtuo,Root,1
Vollkomm,Root,1
Herr,Root,1
Stell,Root,1
Wirk,Root,1
Wuch,Root,1
Zer,Root,1
Stör,Root,1
Pflicht,Root,1
Stehevermög,Root,1
Ziel,Root,1
Selbstach,Root,1
Sich,Root,1
Trau,Root,1
Dogma,Root,1
Radik,Root,1
Starr,Root,1
Sin,Root,1
Kömm,Root,1
Allem,Root,1
Eig,Root,1
Enkel,Root,1
Heima,Root,1
Heim,Root,1
Ganz,Root,1
Nomm,Root,1
Inklu,Root,1
Kind,Root,1
Klo,Root,1
Lok,Root,1
Fahr,Root,1
Nachtfahri,Root,1
Komm,Root,1
Gio,Root,1
Spröß,Root,1
Hör,Root,1
Ord,Root,1
Züg,Root,1
Gif,Root,1
Müll,Root,1
Skand,Root,1
Klima,Root,1
Ökolog,Root,1
Öko,Root,1
Manag,Root,1
Akt,Root,1
Bera,Root,1
Bürg,Root,1
Mei,Root,1
Dez,Root,1
Umweltdezernenti,Root,1
Engel,Root,1
Umweltexp,Root,1
Forsch,Root,1
Frevel,Root,1
Gewi,Root,1
Gutach,Root,1
Medizi,Root,1
Min,Root,1
Ministeri,Root,1
Politik,Root,1
Umweltschutzbeauftrag,Root,1
Umweltschütz,Root,1
Schutz,Root,1
Senator,Root,1
Staa,Root,1
Sekretär,Root,1
Umweltverschmutz,Root,1
Tag,Root,1
Assimila,Root,1
Ständ,Root,1
t,Suffix,22
er,Suffix,21
en,Suffix,15
n,Suffix,14
s,Suffix,11
ung,Suffix,8
st,Suffix,8
ig,Suffix,7
al,Suffix,7
e,Suffix,6
keit,Suffix,6
iv,Suffix,4
tion,Suffix,3
ismus,Suffix,3
lich,Suffix,3
ens,Suffix,2
es,Suffix,2
schaft,Suffix,2
enz,Suffix,2
anz,Suffix,2
ität,Suffix,2
heit,Suffix,2
ling,Suffix,2
ist,Suffix,2
te,Suffix,2
ten,Suffix,1
ell,Suffix,1
chen,Suffix,1
sam,Suffix,1
isch,Suffix,1
et,Suffix,1
ern,Suffix,1
