Morpheme,Type,Count
un,Prefix,11
be,Prefix,5
er,Prefix,4
ver,Prefix,4
re,Prefix,4
ge,Prefix,3
ent,Prefix,3
zu,Prefix,3
nach,Prefix,3
über,Prefix,2
an,Prefix,1
auf,Prefix,1
vor,Prefix,1
aus,Prefix,1
Kräf,Root,3
Kraft,Root,3
Hartnäck,Root,3
Ehr,Root,3
Duld,Root,2
Sch,Root,2
Leb,Root,2
Gei,Root,2
Beug,Root,2
Schü,Root,2
Verlä,Root,2
Mög,Root,2
Gieb,Root,2
Will,Root,2
Stärk,Root,2
Ziel,Root,2
Sich,Root,2
Tradi,Root,2
Stieg,Root,1
Sozialproduktgröß,Root,1
Merk,Root,1
Ent,Root,1
Geg,Root,1
Komm,Root,1
Hilf,Root,1
Rei,Root,1
Wohl,Root,1
Woll,Root,1
Zun,Root,1
Zuw,Root,1
Bär,Root,1
Betä,Root,1
Drang,Root,1
Körp,Root,1
Mun,Root,1
Reg,Root,1
Rie,Root,1
Rühr,Root,1
Ternehm,Root,1
Ständ,Root,1
Gela,Root,1
Radli,Root,1
Gewi,Root,1
Loy,Root,1
Treu,Root,1
Über,Root,1
Steh,Root,1
Durchh,Root,1
Harr,Root,1
Charak,Root,1
Eig,Root,1
Sin,Root,1
Schied,Root,1
Hei,Root,1
Zeug,Root,1
Irr,Root,1
Wusstsei,Root,1
Zielstreb,Root,1
Beso,Root,1
Fei,Root,1
Stolz,Root,1
Gäng,Root,1
Nehm,Root,1
Würd,Root,1
Halsstarr,Root,1
Störr,Root,1
Widersp,Root,1
Wog,Root,1
Erb,Root,1
Geb,Root,1
Letz,Root,1
Säul,Root,1
Mach,Root,1
Balanc,Root,1
Nach,Root,1
Laß,Root,1
Lik,Root,1
Liqui,Root,1
Naissanc,Root,1
Puta,Root,1
Res,Root,1
Rückstand,Root,1
Bleibsel,Root,1
Pack,Root,1
Materi,Root,1
Kunf,Root,1
Fäh,Root,1
Amt,Root,1
Pos,Root,1
Freiwill,Root,1
Arbeit,Root,1
Brauch,Root,1
Devi,Root,1
Folgsrezep,Root,1
Famili,Root,1
Grund,Root,1
Satz,Root,1
Kano,Root,1
Kul,Root,1
Maxim,Root,1
Nat,Root,1
Prinzip,Root,1
Schablo,Root,1
Schema,Root,1
Selb,Root,1
Organisi,Root,1
Sit,Root,1
Stand,Root,1
Art,Root,1
keit,Suffix,25
en,Suffix,20
s,Suffix,19
ig,Suffix,19
t,Suffix,18
e,Suffix,16
heit,Suffix,10
ung,Suffix,8
er,Suffix,8
n,Suffix,8
sam,Suffix,5
te,Suffix,4
st,Suffix,4
ens,Suffix,3
al,Suffix,3
lich,Suffix,3
tion,Suffix,3
los,Suffix,2
ten,Suffix,2
ur,Suffix,2
schaft,Suffix,1
end,Suffix,1
ität,Suffix,1
nis,Suffix,1
