Morpheme,Type,Count
pro,Prefix,3
nach,Prefix,3
re,Prefix,3
ge,Prefix,2
be,Prefix,2
ver,Prefix,1
ein,Prefix,1
sub,Prefix,1
Welt,Root,4
Steu,Root,4
Halt,Root,4
Kapi,Root,3
Fäh,Root,3
Duk,Root,2
Strategi,Root,2
Umsatz,Root,2
Wir,Root,2
Öko,Root,2
Schärf,Root,2
Kraft,Root,2
Druck,Root,2
Ein,Root,2
Fes,Root,2
Här,Root,2
Stärk,Root,2
Para,Root,2
Aus,Root,1
Gleich,Root,1
Zerr,Root,1
Nat,Root,1
Durch,Root,1
Auf,Root,1
Bau,Root,1
Sach,Root,1
Qualita,Root,1
Verb,Root,1
Potenzi,Root,1
Struk,Root,1
Globalisi,Root,1
Mega,Root,1
Fusio,Root,1
Mark,Root,1
Niveau,Root,1
Natio,Root,1
Komm,Root,1
Schäf,Root,1
Prozess,Root,1
Norma,Root,1
Schlüssel,Root,1
Konzep,Root,1
Ökonom,Root,1
Form,Root,1
Duktionskapi,Root,1
Stitui,Root,1
Art,Root,1
Pioni,Root,1
Arbeit,Root,1
Pot,Root,1
Spa,Root,1
Tat,Root,1
Wirk,Root,1
Dring,Root,1
Gew,Root,1
Wich,Root,1
Hoch,Root,1
Last,Root,1
Meng,Root,1
Schw,Root,1
Tensio,Root,1
Wuch,Root,1
Ständ,Root,1
Derb,Root,1
Dich,Root,1
Robu,Root,1
Stabil,Root,1
Streng,Root,1
Widerstand,Root,1
Alterna,Root,1
Pro,Root,1
Elektromobil,Root,1
Tech,Root,1
Innova,Root,1
t,Suffix,21
e,Suffix,11
keit,Suffix,11
er,Suffix,9
ig,Suffix,9
s,Suffix,8
al,Suffix,6
n,Suffix,6
ur,Suffix,4
iv,Suffix,3
ung,Suffix,3
tion,Suffix,3
en,Suffix,3
te,Suffix,3
schaft,Suffix,2
isch,Suffix,2
bar,Suffix,2
heit,Suffix,2
ität,Suffix,2
es,Suffix,1
enz,Suffix,1
sam,Suffix,1
lich,Suffix,1
st,Suffix,1
