Morpheme,Type,Count
ver,Prefix,5
er,Prefix,4
un,Prefix,3
be,Prefix,3
ge,Prefix,2
nach,Prefix,1
Energi,Root,4
Mög,Root,3
Kraft,Root,3
Kräf,Root,3
Neu,Root,2
Stand,Root,2
Eig,Root,2
Arbeit,Root,2
Qualifika,Root,2
Wohl,Root,1
Konzep,Root,1
Welt,Root,1
Bank,Root,1
Sin,Root,1
Will,Root,1
Fes,Root,1
Fleiß,Root,1
Duld,Root,1
Ste,Root,1
Müd,Root,1
Lus,Root,1
Fäh,Root,1
Trieb,Root,1
Här,Root,1
Mei,Root,1
Lei,Root,1
Nach,Root,1
Druck,Root,1
Pot,Root,1
Spa,Root,1
Tat,Root,1
Mensch,Root,1
Ternehm,Root,1
Gei,Root,1
Quell,Root,1
Träg,Root,1
Motiva,Root,1
Qualifizi,Root,1
Stärk,Root,1
Ballast,Root,1
Bär,Root,1
Körp,Root,1
Präg,Root,1
Rie,Root,1
Hem,Root,1
Gew,Root,1
Käl,Root,1
Kon,Root,1
Res,Root,1
Schärf,Root,1
Rühr,Root,1
Alterna,Root,1
Satz,Root,1
Teil,Root,1
Satzteilerhäl,Root,1
Wach,Root,1
Rohstoff,Root,1
Füg,Root,1
s,Suffix,8
t,Suffix,8
e,Suffix,8
en,Suffix,7
keit,Suffix,7
te,Suffix,5
n,Suffix,4
ung,Suffix,4
er,Suffix,4
enz,Suffix,4
ig,Suffix,3
tion,Suffix,3
lich,Suffix,2
sam,Suffix,2
st,Suffix,2
ist,Suffix,2
bar,Suffix,2
anz,Suffix,1
al,Suffix,1
heit,Suffix,1
iv,Suffix,1
end,Suffix,1
