Morpheme,Type,Count
ge,Prefix,11
re,Prefix,5
un,Prefix,4
ver,Prefix,3
pro,Prefix,3
be,Prefix,1
Umwelt,Root,7
Halt,Root,4
Klima,Root,4
Belast,Root,4
Ozo,Root,4
Gleich,Root,3
Maß,Root,3
Bil,Root,3
Ökolog,Root,2
Stabil,Root,2
Wich,Root,2
Lmäß,Root,2
Gel,Root,2
Energi,Root,2
Schni,Root,2
Schadstoff,Root,2
Konzentra,Root,2
Blem,Root,2
Qualität,Root,2
Luf,Root,2
Tragfäh,Root,1
Entwickl,Root,1
Qualita,Root,1
Wach,Root,1
Umweltbewu,Root,1
Perma,Root,1
Per,Root,1
Rühr,Root,1
Gäng,Root,1
Wandel,Root,1
Ständ,Root,1
Harmoni,Root,1
Balanc,Root,1
Gleichmäß,Root,1
Allgemei,Root,1
Ganz,Root,1
Sam,Root,1
Komplex,Root,1
Tot,Root,1
Ebe,Root,1
Erd,Root,1
Wärm,Root,1
Othermi,Root,1
Gleichar,Root,1
Gleichförm,Root,1
Gold,Root,1
Grund,Root,1
Mus,Root,1
Mag,Root,1
Symmetri,Root,1
Klimafreund,Root,1
Klimaneutr,Root,1
Naturnah,Root,1
Nitra,Root,1
Kobil,Root,1
Nera,Root,1
Ressource,Root,1
Effizi,Root,1
Umweltfreund,Root,1
Kos,Root,1
Blematik,Root,1
Umweltschäd,Root,1
Umweltscho,Root,1
Umweltverträg,Root,1
Träg,Root,1
Fei,Root,1
Staub,Root,1
Jahr,Root,1
Durch,Root,1
Tempera,Root,1
Katastroph,Root,1
Kri,Root,1
Wer,Root,1
Treibhauseffek,Root,1
Wind,Root,1
Häl,Root,1
t,Suffix,19
n,Suffix,11
e,Suffix,11
keit,Suffix,10
ig,Suffix,7
s,Suffix,6
lich,Suffix,6
ung,Suffix,4
anz,Suffix,4
enz,Suffix,3
ität,Suffix,3
heit,Suffix,3
isch,Suffix,2
iv,Suffix,2
bar,Suffix,2
al,Suffix,2
tion,Suffix,2
end,Suffix,2
tum,Suffix,1
st,Suffix,1
ist,Suffix,1
en,Suffix,1
er,Suffix,1
et,Suffix,1
ismus,Suffix,1
ten,Suffix,1
es,Suffix,1
ur,Suffix,1
nis,Suffix,1
