Morpheme,Type,Count
re,Prefix,9
be,Prefix,9
ge,Prefix,6
ab,Prefix,4
ver,Prefix,3
aus,Prefix,2
zu,Prefix,2
an,Prefix,2
ein,Prefix,2
nach,Prefix,2
er,Prefix,2
pro,Prefix,2
her,Prefix,1
bei,Prefix,1
zusammen,Prefix,1
mit,Prefix,1
dis,Prefix,1
weg,Prefix,1
über,Prefix,1
vor,Prefix,1
Umwelt,Root,42
Klima,Root,13
Schutz,Root,10
Ges,Root,4
Initia,Root,4
Komm,Root,4
Welt,Root,4
Nat,Root,4
Konf,Root,4
Völk,Root,3
Zentrum,Root,3
Öko,Root,3
Weg,Root,3
Gipfel,Root,3
Politik,Root,3
Grupp,Root,3
Kodex,Root,3
Rech,Root,2
Hilf,Root,2
Mit,Root,2
Amt,Root,2
Ver,Root,2
Band,Root,2
Halt,Root,2
Organisa,Root,2
Institu,Root,2
Partei,Root,2
Rich,Root,2
Klär,Root,2
Forsch,Root,2
Prei,Root,2
Para,Root,2
Kill,Root,2
Konv,Root,2
Gel,Root,2
Wandlungsprozess,Root,1
Huma,Root,1
Kapi,Root,1
Quantita,Root,1
Wach,Root,1
Sozi,Root,1
Ford,Root,1
Rückdräng,Root,1
Men,Root,1
Letz,Root,1
Trag,Root,1
Arbeit,Root,1
Wirk,Root,1
Kunf,Root,1
Championa,Root,1
Groß,Root,1
Kampf,Root,1
Tag,Root,1
Serv,Root,1
Häng,Root,1
Harr,Root,1
Tradi,Root,1
Woh,Root,1
Erd,Root,1
Nera,Root,1
Schlech,Root,1
System,Root,1
Jahrgang,Root,1
Leu,Root,1
Mensch,Root,1
Millieu,Root,1
Glied,Root,1
Publikum,Root,1
Umfeld,Root,1
Umgeb,Root,1
Volk,Root,1
Hör,Root,1
Zwe,Root,1
Bund,Root,1
Land,Root,1
Lärm,Root,1
Kämpf,Root,1
Strategi,Root,1
Ökologie,Root,1
Teil,Root,1
Aus,Root,1
Schu,Root,1
Hörd,Root,1
Bera,Root,1
Bibliothek,Root,1
Büro,Root,1
Umweltdezerna,Root,1
Kussio,Root,1
Umweltengag,Root,1
Gut,Root,1
Ach,Root,1
Ministerium,Root,1
Min,Root,1
Pak,Root,1
Gramm,Root,1
Jek,Root,1
Prüf,Root,1
Umweltra,Root,1
Ssor,Root,1
Siegel,Root,1
Stadtra,Root,1
Sta,Root,1
Steu,Root,1
Stif,Root,1
Umweltverträglichkeitsprüf,Root,1
Umweltverträglichkeitsstudi,Root,1
Zei,Root,1
Werfg,Root,1
Wertstoffcontai,Root,1
Wer,Root,1
Stoff,Root,1
Samml,Root,1
Aktionsbünd,Root,1
Aktio,Root,1
Bürg,Root,1
Paraturcaf,Root,1
Verei,Root,1
Thropog,Root,1
Bünd,Root,1
Deba,Root,1
Klimafolgenforsch,Root,1
Luftreinhalteplan,Root,1
Ozo,Root,1
Assimili,Root,1
Auf,Root,1
Folg,Root,1
Schich,Root,1
Evolu,Root,1
For,Root,1
Schri,Root,1
Nesi,Root,1
Bild,Root,1
Konsensfind,Root,1
Form,Root,1
Forma,Root,1
Ehr,Root,1
Setz,Root,1
Norm,Root,1
Linie,Root,1
Stimm,Root,1
Ord,Root,1
Gab,Root,1
t,Suffix,30
ung,Suffix,29
er,Suffix,16
e,Suffix,14
s,Suffix,13
en,Suffix,13
n,Suffix,9
tion,Suffix,9
schaft,Suffix,8
ur,Suffix,6
ell,Suffix,5
iv,Suffix,5
enz,Suffix,4
keit,Suffix,3
te,Suffix,3
ig,Suffix,3
es,Suffix,3
lich,Suffix,2
al,Suffix,2
chen,Suffix,2
nis,Suffix,2
tum,Suffix,1
heit,Suffix,1
ment,Suffix,1
ten,Suffix,1
ist,Suffix,1
ens,Suffix,1
