Morpheme,Type,Count
re,Prefix,50
un,Prefix,45
be,Prefix,41
ge,Prefix,40
er,Prefix,27
ent,Prefix,25
zu,Prefix,21
nach,Prefix,17
ver,Prefix,16
aus,Prefix,11
auf,Prefix,10
vor,Prefix,7
ab,Prefix,7
an,Prefix,6
ein,Prefix,6
de,Prefix,4
mit,Prefix,4
pro,Prefix,4
zer,Prefix,3
weg,Prefix,2
her,Prefix,2
hin,Prefix,1
heim,Prefix,1
bio,Prefix,1
sub,Prefix,1
ex,Prefix,1
pre,Prefix,1
bei,Prefix,1
zusammen,Prefix,1
fort,Prefix,1
Umwelt,Root,96
Klima,Root,34
Ständ,Root,32
Kraf,Root,31
Wickl,Root,30
Nachh,Root,26
Kon,Root,25
Sch,Root,24
Fäh,Root,20
Gel,Root,17
Wirk,Root,17
Ene,Root,16
Rgi,Root,15
Umwel,Root,15
Öko,Root,14
Harr,Root,14
Güt,Root,14
Stärk,Root,14
Schutz,Root,13
End,Root,12
Bela,Root,12
Dau,Root,11
Welt,Root,11
Gew,Root,11
Sich,Root,10
Nat,Root,10
Energi,Root,10
Fes,Root,10
Duld,Root,10
Über,Root,9
Kunfts,Root,9
Ozon,Root,9
Stand,Root,9
Här,Root,9
Kräf,Root,9
Kosmo,Root,8
Wach,Root,8
Rühr,Root,8
Ganz,Root,8
Natur,Root,8
Ssourcen,Root,8
Druck,Root,8
Neu,Root,8
Leb,Root,8
Tradi,Root,8
Beug,Root,8
Schü,Root,8
Verlä,Root,8
Gieb,Root,8
Gleich,Root,7
All,Root,7
Wel,Root,7
Pot,Root,7
Satz,Root,7
Gewi,Root,7
Vermög,Root,7
Ziel,Root,7
Ste,Root,6
Kunf,Root,6
Hal,Root,6
Bil,Root,6
Gäng,Root,6
Erd,Root,6
Nera,Root,6
Lauf,Root,6
Wasser,Root,6
Lebens,Root,6
Schw,Root,6
Wuch,Root,6
Arbei,Root,6
Trieb,Root,6
Rück,Root,6
Manag,Root,6
Mög,Root,6
Res,Root,6
Kul,Root,6
Treu,Root,6
Hart,Root,6
Näck,Root,6
Zei,Root,5
Log,Root,5
Energie,Root,5
Schadstoff,Root,5
Umw,Root,5
Effek,Root,5
Wieder,Root,5
Entwickl,Root,5
Umgeb,Root,5
Umweltschutz,Root,5
Strom,Root,5
Kapi,Root,5
Wir,Root,5
Cyc,Root,5
Eig,Root,5
Will,Root,5
Mach,Root,5
Komm,Root,5
Bewusstsei,Root,5
Selbst,Root,5
Ewig,Root,4
Bis,Root,4
Zähl,Root,4
Pfleg,Root,4
Trag,Root,4
Qua,Root,4
Sta,Root,4
Lmäß,Root,4
Maß,Root,4
Geh,Root,4
Scho,Root,4
Änd,Root,4
Luft,Root,4
Häng,Root,4
Sozi,Root,4
Zykl,Root,4
Fall,Root,4
Weiter,Root,4
Deh,Root,4
Verschmutz,Root,4
Heiz,Root,4
Bild,Root,4
Temperatur,Root,4
Globu,Root,4
Raum,Root,4
System,Root,4
Wich,Root,4
Meng,Root,4
Verb,Root,4
Steu,Root,4
Paratur,Root,4
Serv,Root,4
Müd,Root,4
Steh,Root,4
Woh,Root,4
Hör,Root,4
Ord,Root,4
Politik,Root,4
Ges,Root,4
Konf,Root,4
Kodex,Root,4
Stieg,Root,4
Merk,Root,4
Nkomm,Root,4
Zun,Root,4
Zuw,Root,4
Mun,Root,4
Reg,Root,4
Gela,Root,4
Radli,Root,4
Loy,Root,4
Irr,Root,4
Beso,Root,4
Ehr,Root,4
Fei,Root,4
Stolz,Root,4
Nehm,Root,4
Würd,Root,4
Störr,Root,4
Wog,Root,4
Erb,Root,4
Geb,Root,4
Letz,Root,4
Säul,Root,4
Laß,Root,4
Lik,Root,4
Liqui,Root,4
Puta,Root,4
Ehre,Root,4
Devi,Root,4
Kano,Root,4
Maxim,Root,4
Sit,Root,4
Öpf,Root,3
Enkel,Root,3
Lita,Root,3
Per,Root,3
Mäß,Root,3
Katastroph,Root,3
Wind,Root,3
Rech,Root,3
Wechsel,Root,3
Kehr,Root,3
Staub,Root,3
Stoff,Root,3
Kreislauf,Root,3
Wärm,Root,3
Grund,Root,3
Son,Root,3
Groß,Root,3
Str,Root,3
Sequ,Root,3
Stan,Root,3
Dar,Root,3
Hoch,Root,3
Leistungs,Root,3
Spann,Root,3
Strategi,Root,3
Ärf,Root,3
Arbeits,Root,3
Setz,Root,3
Ensi,Root,3
Qualif,Root,3
Ika,Root,3
Mensch,Root,3
Tern,Root,3
Ehmungsg,Root,3
Bären,Root,3
Körper,Root,3
Riesen,Root,3
Ema,Root,3
Wohl,Root,3
Cha,Root,3
Rak,Root,3
Hilf,Root,3
Völk,Root,3
Naturschutz,Root,3
Beweg,Root,3
Abkomm,Root,3
Initia,Root,3
Konv,Root,3
Folgs,Root,3
Kont,Root,2
Inu,Root,2
Ad,Root,2
Ini,Root,2
Pupp,Root,2
Grenz,Root,2
Unb,Root,2
Gründ,Root,2
Erm,Root,2
Zahl,Root,2
Wahr,Root,2
Stands,Root,2
Inh,Root,2
Ratsh,Root,2
Perma,Root,2
Gewich,Root,2
Lmaß,Root,2
Sam,Root,2
Tot,Root,2
Dwärm,Root,2
Gold,Root,2
Schni,Root,2
Mag,Root,2
Freund,Root,2
Nitrat,Root,2
Kobil,Root,2
