Morpheme,Type,Count
re,Prefix,28
be,Prefix,25
un,Prefix,23
ge,Prefix,20
er,Prefix,17
ent,Prefix,13
zu,Prefix,9
ver,Prefix,8
auf,Prefix,7
aus,Prefix,7
ab,Prefix,6
ein,Prefix,5
de,Prefix,4
nach,Prefix,4
pro,Prefix,4
zer,Prefix,2
an,Prefix,2
vor,Prefix,1
hin,Prefix,1
mit,Prefix,1
heim,Prefix,1
weg,Prefix,1
bio,Prefix,1
sub,Prefix,1
her,Prefix,1
ex,Prefix,1
Umwelt,Root,32
Wickl,Root,22
Klima,Root,21
Kraf,Root,21
Ständ,Root,20
Nachh,Root,18
Kon,Root,14
Fäh,Root,13
End,Root,12
Ene,Root,12
Bela,Root,12
Dau,Root,11
Rgi,Root,11
Wirk,Root,11
Sch,Root,10
Schutz,Root,10
Energi,Root,10
Öko,Root,9
Här,Root,9
Welt,Root,9
Gew,Root,9
Kosmo,Root,8
Natur,Root,8
Ssourcen,Root,8
Ozon,Root,8
Druck,Root,8
Fes,Root,8
Stärk,Root,8
Gleich,Root,7
Wel,Root,7
Ste,Root,6
Kunfts,Root,6
Wach,Root,6
Hal,Root,6
Bil,Root,6
Ganz,Root,6
Erd,Root,6
Lauf,Root,6
Wasser,Root,6
Nat,Root,6
Stand,Root,6
Harr,Root,6
Güt,Root,6
Schw,Root,6
Umwel,Root,6
All,Root,5
Gel,Root,5
Energie,Root,5
Schadstoff,Root,5
Effek,Root,5
Wieder,Root,5
Entwickl,Root,5
Strom,Root,5
Wir,Root,5
Satz,Root,5
Cyc,Root,5
Manag,Root,5
Ewig,Root,4
Bis,Root,4
Zähl,Root,4
Kunf,Root,4
Pfleg,Root,4
Log,Root,4
Rühr,Root,4
Lmäß,Root,4
Maß,Root,4
Geh,Root,4
Nera,Root,4
Scho,Root,4
Änd,Root,4
Zykl,Root,4
Fall,Root,4
Weiter,Root,4
Deh,Root,4
Heiz,Root,4
Temperatur,Root,4
Globu,Root,4
Raum,Root,4
Wich,Root,4
Meng,Root,4
Wuch,Root,4
Kapi,Root,4
Pot,Root,4
Trieb,Root,4
Neu,Root,4
Müd,Root,4
Vermög,Root,4
Öpf,Root,3
Über,Root,3
Zei,Root,3
