Morpheme,Type,Count
un,Prefix,9
be,Prefix,4
er,Prefix,2
zu,Prefix,2
auf,Prefix,2
re,Prefix,2
ge,Prefix,1
vor,Prefix,1
End,Root,8
Ste,Root,4
Ewig,Root,4
Bis,Root,4
Zähl,Root,4
Dau,Root,3
Ständ,Root,2
Kont,Root,2
Inu,Root,2
Kon,Root,2
Kosmo,Root,2
Ad,Root,2
Pupp,Root,2
Grenz,Root,2
Unb,Root,2
Gründ,Root,2
Erm,Root,2
Zahl,Root,2
Zei,Root,2
Kunf,Root,2
Wahr,Root,2
Stands,Root,2
Inh,Root,2
Ratsh,Root,2
Zeit,Root,1
Inf,Root,1
Ini,Root,1
Sch,Root,1
Öpf,Root,1
Über,Root,1
Schau,Root,1
Kunfts,Root,1
Fäh,Root,1
Cht,Root,1
Erh,Root,1
Pfleg,Root,1
Sich,Root,1
Enkel,Root,1
Taug,Root,1
keit,Suffix,10
t,Suffix,8
ig,Suffix,7
lich,Suffix,7
ung,Suffix,5
er,Suffix,4
los,Suffix,4
e,Suffix,3
al,Suffix,3
ität,Suffix,2
s,Suffix,2
bar,Suffix,2
st,Suffix,1
anz,Suffix,1
haft,Suffix,1
tum,Suffix,1
en,Suffix,1
chen,Suffix,1
es,Suffix,1
