Morpheme,Type,Count
re,Prefix,31
be,Prefix,28
ge,Prefix,24
un,Prefix,23
er,Prefix,17
ent,Prefix,14
zu,Prefix,12
ver,Prefix,8
auf,Prefix,7
ab,Prefix,7
aus,Prefix,7
nach,Prefix,7
ein,Prefix,5
vor,Prefix,4
de,Prefix,4
pro,Prefix,4
zer,Prefix,3
an,Prefix,2
hin,Prefix,1
mit,Prefix,1
heim,Prefix,1
weg,Prefix,1
bio,Prefix,1
sub,Prefix,1
her,Prefix,1
ex,Prefix,1
pre,Prefix,1
Umwelt,Root,53
Ständ,Root,24
Wickl,Root,24
Kraf,Root,23
Klima,Root,22
Nachh,Root,20
Kon,Root,19
Fäh,Root,17
Ene,Root,13
Wirk,Root,13
End,Root,12
Rgi,Root,12
Bela,Root,12
Dau,Root,11
Öko,Root,11
Schutz,Root,11
Gew,Root,11
Sch,Root,10
Energi,Root,10
Fes,Root,10
Här,Root,9
Welt,Root,9
Umwel,Root,9
Kosmo,Root,8
Ganz,Root,8
Natur,Root,8
Ssourcen,Root,8
Ozon,Root,8
Harr,Root,8
Güt,Root,8
Druck,Root,8
Stärk,Root,8
Neu,Root,8
Gleich,Root,7
All,Root,7
Gel,Root,7
Stand,Root,7
Wel,Root,7
Pot,Root,7
Ste,Root,6
Kunfts,Root,6
Wach,Root,6
Hal,Root,6
Bil,Root,6
Erd,Root,6
Lauf,Root,6
Wasser,Root,6
Nat,Root,6
Schw,Root,6
Wuch,Root,6
Trieb,Root,6
Manag,Root,6
Leb,Root,6
Log,Root,5
Energie,Root,5
Schadstoff,Root,5
Effek,Root,5
Wieder,Root,5
Entwickl,Root,5
Strom,Root,5
Wir,Root,5
Satz,Root,5
Cyc,Root,5
Vermög,Root,5
Mach,Root,5
Ewig,Root,4
Bis,Root,4
Zähl,Root,4
Über,Root,4
Zei,Root,4
Kunf,Root,4
Pfleg,Root,4
Sich,Root,4
Qua,Root,4
Rühr,Root,4
Lmäß,Root,4
Maß,Root,4
Geh,Root,4
Nera,Root,4
Umw,Root,4
Scho,Root,4
Änd,Root,4
Zykl,Root,4
Fall,Root,4
Weiter,Root,4
Deh,Root,4
Verschmutz,Root,4
Heiz,Root,4
Temperatur,Root,4
Globu,Root,4
Lebens,Root,4
Raum,Root,4
Umweltschutz,Root,4
Wich,Root,4
Meng,Root,4
Kapi,Root,4
Verb,Root,4
Müd,Root,4
Öpf,Root,3
Enkel,Root,3
Lita,Root,3
Per,Root,3
Sta,Root,3
Mäß,Root,3
Katastroph,Root,3
Luft,Root,3
Wind,Root,3
Wechsel,Root,3
Kehr,Root,3
Staub,Root,3
Stoff,Root,3
Kreislauf,Root,3
Wärm,Root,3
Bild,Root,3
System,Root,3
Umgeb,Root,3
Son,Root,3
Str,Root,3
Sequ,Root,3
Hoch,Root,3
Leistungs,Root,3
Spann,Root,3
Steu,Root,3
Ärf,Root,3
Arbeits,Root,3
Rück,Root,3
Gewi,Root,3
Eig,Root,3
Qualif,Root,3
Ika,Root,3
Mensch,Root,3
Kräf,Root,3
Komm,Root,3
Bewusstsei,Root,3
Selbst,Root,3
Kont,Root,2
Inu,Root,2
Ad,Root,2
Pupp,Root,2
Grenz,Root,2
Unb,Root,2
Gründ,Root,2
Erm,Root,2
Zahl,Root,2
Wahr,Root,2
Stands,Root,2
Inh,Root,2
Ratsh,Root,2
Trag,Root,2
Perma,Root,2
Gäng,Root,2
Gewich,Root,2
Lmaß,Root,2
Sam,Root,2
Tot,Root,2
Dwärm,Root,2
Gold,Root,2
Schni,Root,2
Mag,Root,2
Freund,Root,2
Nitrat,Root,2
Kobil,Root,2
Konzentra,Root,2
Problem,Root,2
Verträg,Root,2
Feinstaub,Root,2
Ozonw,Root,2
Rech,Root,2
Häng,Root,2
Sozi,Root,2
Vermeid,Root,2
Einspar,Root,2
Wald,Root,2
Zerstör,Root,2
Neri,Root,2
Salz,Root,2
Verwü,Root,2
Rwärm,Root,2
Anstieg,Root,2
Schadstoffe,Root,2
Begr,Root,2
Natür,Root,2
Ambi,Root,2
Ding,Root,2
Ter,Root,2
Bereich,Root,2
Ich,Root,2
Wei,Root,2
Äth,Root,2
Dball,Root,2
Kugel,Root,2
Firma,Root,2
Stir,Root,2
Atpla,Root,2
Mut,Root,2
Halbkugel,Root,2
Sonnen,Root,2
Groß,Root,2
Viel,Root,2
Smog,Root,2
Uv,Root,2
Roh,Root,2
Ölp,Root,2
Vielf,Root,2
Kenn,Root,2
Niv,Root,2
Eau,Root,2
Posi,Root,2
Wer,Root,2
Elektro,Root,2
Inn,Root,2
Ova,Root,2
Kern,Root,2
Int,Root,2
Kalib,Root,2
Kla,Root,2
Zerr,Root,2
Durch,Root,2
Bau,Root,2
Duktions,Root,2
Struk,Root,2
Strategi,Root,2
Produk,Root,2
Umsatz,Root,2
Norma,Root,2
Konzep,Root,2
Pioni,Root,2
Arbei,Root,2
Tat,Root,2
Dring,Root,2
Las,Root,2
Derb,Root,2
Dich,Root,2
Robu,Root,2
Widerstands,Root,2
Alt,Root,2
Erna,Root,2
Tei,Root,2
Mobil,Root,2
Paratur,Root,2
Tech,Root,2
Höh,Root,2
Lag,Root,2
Führ,Root,2
Abgab,Root,2
Serv,Root,2
Roll,Root,2
Die,Root,2
Eigen,Root,2
Pla,Root,2
Flu,Root,2
Aff,Root,2
Folg,Root,2
Funk,Root,2
Krea,Root,2
Reak,Root,2
Alisi,Root,2
Voll,Root,2
Fleiß,Root,2
Duld,Root,2
Kraft,Root,2
Mög,Root,2
Träg,Root,2
Balla,Root,2
Präg,Root,2
Hem,Root,2
Käl,Root,2
Res,Root,2
Füg,Root,2
Durchhalte,Root,2
Atla,Root,2
Gig,Root,2
Kul,Root,2
Hün,Root,2
Steh,Root,2
Aus,Root,2
Asch,Root,2
Hef,Root,2
Bieg,Root,2
