Morpheme,Type,Count
un,Prefix,17
re,Prefix,17
be,Prefix,12
ge,Prefix,12
er,Prefix,9
ent,Prefix,7
zu,Prefix,4
auf,Prefix,4
ab,Prefix,4
ver,Prefix,3
vor,Prefix,1
aus,Prefix,1
zer,Prefix,1
de,Prefix,1
hin,Prefix,1
mit,Prefix,1
heim,Prefix,1
nach,Prefix,1
weg,Prefix,1
bio,Prefix,1
Umwelt,Root,22
Klima,Root,21
End,Root,12
Wickl,Root,12
Bela,Root,12
Ständ,Root,8
Kon,Root,8
Kosmo,Root,8
Ozon,Root,8
Natur,Root,7
Wel,Root,7
Nachh,Root,6
Öko,Root,6
Gleich,Root,6
Ganz,Root,6
Erd,Root,6
Schutz,Root,6
Nat,Root,6
Dau,Root,5
Bil,Root,5
All,Root,5
Ssourcen,Root,5
Welt,Root,5
Ste,Root,4
Ewig,Root,4
Bis,Root,4
Zähl,Root,4
Fäh,Root,4
Log,Root,4
Wach,Root,4
Hal,Root,4
Lmäß,Root,4
Maß,Root,4
Nera,Root,4
Änd,Root,4
Lauf,Root,4
Zykl,Root,4
Temperatur,Root,4
Stand,Root,4
Globu,Root,4
Kunfts,Root,3
Ene,Root,3
Rgi,Root,3
Gel,Root,3
Energie,Root,3
Geh,Root,3
Schadstoff,Root,3
Scho,Root,3
Katastroph,Root,3
Luft,Root,3
Wechsel,Root,3
Fall,Root,3
Staub,Root,3
Entwickl,Root,3
Verschmutz,Root,3
Bild,Root,3
Lebens,Root,3
Raum,Root,3
System,Root,3
Umgeb,Root,3
Kont,Root,2
Inu,Root,2
Ad,Root,2
Pupp,Root,2
Grenz,Root,2
Unb,Root,2
Gründ,Root,2
Erm,Root,2
Sch,Root,2
Öpf,Root,2
Über,Root,2
Zahl,Root,2
Zei,Root,2
Kunf,Root,2
Wahr,Root,2
Stands,Root,2
Inh,Root,2
Ratsh,Root,2
Perma,Root,2
Per,Root,2
Sta,Root,2
Rühr,Root,2
Gäng,Root,2
Gewich,Root,2
Mäß,Root,2
Lmaß,Root,2
Sam,Root,2
Tot,Root,2
Dwärm,Root,2
Gold,Root,2
Schni,Root,2
Mag,Root,2
Freund,Root,2
Nitrat,Root,2
Kobil,Root,2
Konzentra,Root,2
Umw,Root,2
Problem,Root,2
Verträg,Root,2
Feinstaub,Root,2
Ozonw,Root,2
Rech,Root,2
Häng,Root,2
Sozi,Root,2
Wieder,Root,2
Deh,Root,2
Wald,Root,2
Zerstör,Root,2
Neri,Root,2
Stoff,Root,2
Salz,Root,2
Verwü,Root,2
Wasser,Root,2
Heiz,Root,2
Rwärm,Root,2
Wärm,Root,2
Anstieg,Root,2
Begr,Root,2
Natür,Root,2
Ambi,Root,2
Ding,Root,2
Bereich,Root,2
Äth,Root,2
Dball,Root,2
Kugel,Root,2
Firma,Root,2
Stir,Root,2
Atpla,Root,2
Mut,Root,2
Halbkugel,Root,2
Son,Root,2
Groß,Root,2
Viel,Root,2
Smog,Root,2
Uv,Root,2
Ölp,Root,2
Zeit,Root,1
Inf,Root,1
Ini,Root,1
Schau,Root,1
Cht,Root,1
Erh,Root,1
Pfleg,Root,1
Sich,Root,1
Enkel,Root,1
Taug,Root,1
Trag,Root,1
Qua,Root,1
Lita,Root,1
Bewu,Root,1
Wan,Root,1
Del,Root,1
Har,Root,1
Moni,Root,1
Bal,Root,1
Anc,Root,1
Gemei,Root,1
Kom,Root,1
Plex,Root,1
Eben,Root,1
Oth,Root,1
Ermi,Root,1
Glei,Root,1
Char,Root,1
Förm,Root,1
Gru,Root,1
Ndmu,Root,1
Sym,Root,1
Metri,Root,1
Neutr,Root,1
Nah,Root,1
Effizi,Root,1
Eltko,Root,1
Problematik,Root,1
Eltqu,Root,1
Schäd,Root,1
Jahres,Root,1
Durchschnittstempera,Root,1
Kri,Root,1
Luf,Root,1
Tqu,Root,1
Treibhaus,Root,1
Effek,Root,1
Wind,Root,1
Verhäl,Root,1
Samt,Root,1
Indikator,Root,1
Gerech,Root,1
Sei,Root,1
Nomi,Root,1
Ryt,Root,1
Hmu,Root,1
Hol,Root,1
Kehr,Root,1
Vermeid,Root,1
Einspar,Root,1
Weiter,Root,1
Verw,Root,1
Ausnutz,Root,1
Verschw,Root,1
Eutro,Root,1
Phi,Root,1
Ölver,Root,1
Schmutz,Root,1
Pcb,Root,1
Quecksilber,Root,1
Ssorcenverbr,Root,1
Auch,Root,1
Schwermetall,Root,1
Kreislauf,Root,1
Entla,Root,1
Gefärd,Root,1
Eis,Root,1
Schmelz,Root,1
Erwärm,Root,1
Gescheh,Root,1
Geschich,Root,1
Veränd,Root,1
Wandel,Root,1
Meeresspiegel,Root,1
Abbau,Root,1
Schwund,Root,1
Schadstoffe,Root,1
Missi,Root,1
Erhöh,Root,1
Sturz,Root,1
Wolken,Root,1
Wüsten,Root,1
Nahme,Root,1
Kapaz,Root,1
Sso,Root,1
Urc,Root,1
Sys,Root,1
Tem,Root,1
Dim,Root,1
Ensio,Root,1
Ter,Root,1
Grund,Root,1
Hor,Root,1
Izo,Root,1
Gesetz,Root,1
Reich,Root,1
Ich,Root,1
Wei,Root,1
Dhalb,Root,1
Dku,Root,1
Gal,Root,1
Axi,Root,1
Hemisp,Root,1
Här,Root,1
Makro,Root,1
Koso,Root,1
Nord,Root,1
Sonnen,Root,1
Stern,Root,1
Himmel,Root,1
Süd,Root,1
Umlauf,Root,1
Bah,Root,1
Iver,Root,1
Sum,Root,1
Welten,Root,1
Gebäud,Root,1
Tall,Root,1
Atmos,Root,1
Phär,Root,1
Dkl,Root,1
Ima,Root,1
Klein,Root,1
Hüll,Root,1
Mikro,Root,1
Schich,Root,1
Sommer,Root,1
Str,Root,1
Ahl,Root,1
Roh,Root,1
Ölkat,Root,1
Astroph,Root,1
Umweltschutz,Root,1
Sektor,Root,1
Situa,Root,1
Gsen,Root,1
Ergi,Root,1
Gew,Root,1
ung,Suffix,67
t,Suffix,40
e,Suffix,31
keit,Suffix,25
ig,Suffix,24
st,Suffix,20
s,Suffix,18
er,Suffix,16
lich,Suffix,16
al,Suffix,15
n,Suffix,15
ität,Suffix,8
anz,Suffix,8
en,Suffix,7
isch,Suffix,6
heit,Suffix,5
end,Suffix,5
los,Suffix,4
bar,Suffix,4
enz,Suffix,4
tion,Suffix,4
ur,Suffix,4
te,Suffix,3
haft,Suffix,2
tum,Suffix,2
chen,Suffix,2
iv,Suffix,2
et,Suffix,2
es,Suffix,1
ist,Suffix,1
ismus,Suffix,1
ten,Suffix,1
nis,Suffix,1
ment,Suffix,1
est,Suffix,1
