Morpheme,Type,Count
re,Prefix,19
un,Prefix,17
ge,Prefix,17
be,Prefix,16
ent,Prefix,10
er,Prefix,9
nach,Prefix,9
zu,Prefix,5
auf,Prefix,5
ver,Prefix,4
ab,Prefix,4
aus,Prefix,3
pro,Prefix,3
ein,Prefix,2
vor,Prefix,1
zer,Prefix,1
de,Prefix,1
hin,Prefix,1
mit,Prefix,1
heim,Prefix,1
weg,Prefix,1
an,Prefix,1
sub,Prefix,1
Umwelt,Root,24
Klima,Root,17
Energi,Root,15
Belast,Root,11
Welt,Root,11
Kraft,Root,11
Halt,Root,10
Wickl,Root,8
Schutz,Root,8
Ständ,Root,7
Ozon,Root,7
Natur,Root,7
End,Root,6
Ssourcen,Root,5
Konst,Root,4
Kosmos,Root,4
Ökolog,Root,4
Gleich,Root,4
Klimaänd,Root,4
Wasser,Root,4
Temperatur,Root,4
System,Root,4
Gew,Root,4
Druck,Root,4
Dauer,Root,3
Kunftsfäh,Root,3
Stabil,Root,3
Maß,Root,3
Ganz,Root,3
Erd,Root,3
Energie,Root,3
Gehalt,Root,3
Schadstoff,Root,3
Scho,Root,3
Katastroph,Root,3
Luft,Root,3
Wind,Root,3
Wechsel,Root,3
Staub,Root,3
Entwickl,Root,3
Verschmutz,Root,3
Heiz,Root,3
Bild,Root,3
Nat,Root,3
Lebens,Root,3
Raum,Root,3
Strom,Root,3
Kapi,Root,3
Kontinu,Root,2
Ste,Root,2
Ewig,Root,2
Zeit,Root,2
Bis,Root,2
Schöpf,Root,2
Zähl,Root,2
Über,Root,2
Kunf,Root,2
Qualita,Root,2
Wach,Root,2
Wandel,Root,2
Gewich,Root,2
Lmäß,Root,2
Gleichmäß,Root,2
Bil,Root,2
Freund,Root,2
Nitrat,Root,2
Nera,Root,2
Konzentra,Root,2
Problem,Root,2
Qualität,Root,2
Verträg,Root,2
Feinstaub,Root,2
Lauf,Root,2
Zykl,Root,2
Fall,Root,2
Deh,Root,2
Zerstör,Root,2
Wärm,Root,2
Anstieg,Root,2
All,Root,2
Stand,Root,2
Globu,Root,2
Bereich,Root,2
Öko,Root,2
Umgeb,Root,2
Halbkugel,Root,2
Sonnen,Root,2
Smog,Root,2
Niveau,Root,2
Wich,Root,2
Hoch,Root,2
Innova,Root,2
Kern,Root,2
Last,Root,2
Meng,Root,2
Schw,Root,2
Spann,Root,2
Wuch,Root,2
Wirk,Root,2
Duktions,Root,2
Strategi,Root,2
Umsatz,Root,2
Steu,Root,2
Schärf,Root,2
Fes,Root,2
Här,Root,2
Stärk,Root,2
Ad,Root,1
Infini,Root,1
Pupp,Root,1
Grenz,Root,1
Unb,Root,1
Gründ,Root,1
Erm,Root,1
Schau,Root,1
Zahl,Root,1
Wahr,Root,1
Chterhalt,Root,1
Stands,Root,1
Pfleg,Root,1
Standssich,Root,1
Enkeltaug,Root,1
Inhalt,Root,1
Ratshalt,Root,1
Tragfäh,Root,1
Bewu,Root,1
Perma,Root,1
Per,Root,1
Rühr,Root,1
Gäng,Root,1
Harmoni,Root,1
Balanc,Root,1
Lmaß,Root,1
Allgemei,Root,1
Sam,Root,1
Komplex,Root,1
Tot,Root,1
Eben,Root,1
Dwärm,Root,1
Othermi,Root,1
Gleichar,Root,1
Gleichförm,Root,1
Gold,Root,1
Schni,Root,1
Grundmu,Root,1
Mag,Root,1
Gel,Root,1
Symmetri,Root,1
Neutr,Root,1
Naturnah,Root,1
Kobil,Root,1
Effizi,Root,1
Umweltbil,Root,1
Umweltko,Root,1
Problematik,Root,1
Schäd,Root,1
Jahres,Root,1
Durchschnittstempera,Root,1
Kri,Root,1
Ozonw,Root,1
Treibhauseffek,Root,1
Verhäl,Root,1
Rech,Root,1
Samt,Root,1
Indikator,Root,1
Gerech,Root,1
Sei,Root,1
Häng,Root,1
Ökonomi,Root,1
Sozi,Root,1
Rythmu,Root,1
Wiederhol,Root,1
Wiederkehr,Root,1
Vermeid,Root,1
Einspar,Root,1
Weiter,Root,1
Verw,Root,1
Ausnutz,Root,1
Verschw,Root,1
Wald,Root,1
Eutrophi,Root,1
Ölverschmutz,Root,1
Pcbbelast,Root,1
Quecksilber,Root,1
Neri,Root,1
Ssorcenverbrauch,Root,1
Schwermetall,Root,1
Stoff,Root,1
Kreislauf,Root,1
Entlast,Root,1
Umweltgefärd,Root,1
Salz,Root,1
Verwü,Root,1
Eis,Root,1
Schmelz,Root,1
Rwärm,Root,1
Erwärm,Root,1
Gescheh,Root,1
Geschich,Root,1
Veränd,Root,1
Meeresspiegel,Root,1
Abbau,Root,1
Schwund,Root,1
Schadstoffe,Root,1
Missi,Root,1
Erhöh,Root,1
Sturz,Root,1
Wolken,Root,1
Wüsten,Root,1
Begr,Root,1
Nahme,Root,1
Kapaz,Root,1
Natür,Root,1
Ssourc,Root,1
Ambi,Root,1
Ding,Root,1
Dimensio,Root,1
Ter,Root,1
Grund,Root,1
Horizo,Root,1
Gesetz,Root,1
Reich,Root,1
Ichwei,Root,1
Äth,Root,1
Dball,Root,1
Dhalbkugel,Root,1
Dkugel,Root,1
Firma,Root,1
Galaxi,Root,1
Stir,Root,1
Atplan,Root,1
Hemisphär,Root,1
Makro,Root,1
Koso,Root,1
Mut,Root,1
Nord,Root,1
Son,Root,1
Stern,Root,1
Himmel,Root,1
Süd,Root,1
Umlaufbah,Root,1
Groß,Root,1
Viel,Root,1
Iversum,Root,1
Welten,Root,1
Gebäud,Root,1
Kugel,Root,1
Welttall,Root,1
Atmosphär,Root,1
Dklima,Root,1
Klein,Root,1
Lufthüll,Root,1
Mikro,Root,1
Ozonschich,Root,1
Sommer,Root,1
Uv,Root,1
Strahl,Root,1
Rohstoff,Root,1
Ölkatastroph,Root,1
Ölp,Root,1
Umweltschutz,Root,1
Sektor,Root,1
Situa,Root,1
Gsenergi,Root,1
Bio,Root,1
Vielf,Root,1
Wicklungs,Root,1
Faktor,Root,1
Harr,Root,1
Konsequ,Root,1
Sträng,Root,1
Güt,Root,1
Fäh,Root,1
Kennzei,Root,1
Posi,Root,1
Standar,Root,1
Wer,Root,1
Triebs,Root,1
Atom,Root,1
Elektro,Root,1
Feuer,Root,1
Finanz,Root,1
Leistungs,Root,1
Leucht,Root,1
Photovoltaik,Root,1
Solar,Root,1
Wärme,Root,1
Int,Root,1
Kalib,Root,1
Kla,Root,1
Tragwei,Root,1
Ndruck,Root,1
Zerr,Root,1
Durch,Root,1
Bau,Root,1
Sach,Root,1
Verb,Root,1
Potenzi,Root,1
Struk,Root,1
Globalisierungs,Root,1
Megafusio,Root,1
Weltmarkt,Root,1
Produk,Root,1
