Morpheme,Type,Count
re,Prefix,15
un,Prefix,13
ge,Prefix,11
be,Prefix,7
ent,Prefix,6
er,Prefix,5
ab,Prefix,4
zu,Prefix,3
auf,Prefix,3
ver,Prefix,3
nach,Prefix,2
vor,Prefix,1
aus,Prefix,1
zer,Prefix,1
de,Prefix,1
Umwelt,Root,17
Klima,Root,13
Belast,Root,11
Ozon,Root,6
Wickl,Root,5
Ssourcen,Root,5
End,Root,4
Halt,Root,4
Schutz,Root,4
Temperatur,Root,4
Ständ,Root,3
Konst,Root,3
Dauer,Root,3
Kosmos,Root,3
Ökolog,Root,3
Gleich,Root,3
Maß,Root,3
Energie,Root,3
Gehalt,Root,3
Schadstoff,Root,3
Scho,Root,3
Klimaänd,Root,3
Luft,Root,3
Wechsel,Root,3
Staub,Root,3
Entwickl,Root,3
Verschmutz,Root,3
Bild,Root,3
Kontinu,Root,2
Ste,Root,2
Ewig,Root,2
Zeit,Root,2
Bis,Root,2
Schöpf,Root,2
Zähl,Root,2
Kunftsfäh,Root,2
Stabil,Root,2
Wandel,Root,2
Gewich,Root,2
Lmäß,Root,2
Gleichmäß,Root,2
Ganz,Root,2
Bil,Root,2
Freund,Root,2
Nitrat,Root,2
Nera,Root,2
Konzentra,Root,2
Problem,Root,2
Qualität,Root,2
Verträg,Root,2
Feinstaub,Root,2
Lauf,Root,2
Zykl,Root,2
Fall,Root,2
Zerstör,Root,2
Wasser,Root,2
Anstieg,Root,2
Ad,Root,1
Infini,Root,1
Pupp,Root,1
Grenz,Root,1
Unb,Root,1
Gründ,Root,1
Erm,Root,1
Über,Root,1
Schau,Root,1
Zahl,Root,1
Kunf,Root,1
Wahr,Root,1
Chterhalt,Root,1
Stands,Root,1
Pfleg,Root,1
Standssich,Root,1
Enkeltaug,Root,1
Inhalt,Root,1
Ratshalt,Root,1
Tragfäh,Root,1
Qualita,Root,1
Wach,Root,1
Bewu,Root,1
Perma,Root,1
Per,Root,1
Rühr,Root,1
Gäng,Root,1
Harmoni,Root,1
Balanc,Root,1
Lmaß,Root,1
Allgemei,Root,1
Sam,Root,1
Komplex,Root,1
Tot,Root,1
Erd,Root,1
Eben,Root,1
Energi,Root,1
Dwärm,Root,1
Othermi,Root,1
Gleichar,Root,1
Gleichförm,Root,1
Gold,Root,1
Schni,Root,1
Grundmu,Root,1
Mag,Root,1
Gel,Root,1
Symmetri,Root,1
Neutr,Root,1
Naturnah,Root,1
Kobil,Root,1
Effizi,Root,1
Umweltbil,Root,1
Umweltko,Root,1
Problematik,Root,1
Schäd,Root,1
Jahres,Root,1
Durchschnittstempera,Root,1
Katastroph,Root,1
Kri,Root,1
Ozonw,Root,1
Treibhauseffek,Root,1
Wind,Root,1
Verhäl,Root,1
Rech,Root,1
Samt,Root,1
Indikator,Root,1
Gerech,Root,1
Sei,Root,1
Häng,Root,1
Ökonomi,Root,1
Sozi,Root,1
Rythmu,Root,1
Wiederhol,Root,1
Wiederkehr,Root,1
Vermeid,Root,1
Einspar,Root,1
Weiter,Root,1
Verw,Root,1
Deh,Root,1
Ausnutz,Root,1
Verschw,Root,1
Wald,Root,1
Eutrophi,Root,1
Natur,Root,1
Ölverschmutz,Root,1
Pcbbelast,Root,1
Quecksilber,Root,1
Neri,Root,1
Ssorcenverbrauch,Root,1
Schwermetall,Root,1
Stoff,Root,1
Kreislauf,Root,1
Entlast,Root,1
Umweltgefärd,Root,1
Salz,Root,1
Verwü,Root,1
Heiz,Root,1
Eis,Root,1
Schmelz,Root,1
Rwärm,Root,1
Wärm,Root,1
Erwärm,Root,1
Gescheh,Root,1
Geschich,Root,1
Veränd,Root,1
Meeresspiegel,Root,1
Abbau,Root,1
Schwund,Root,1
Schadstoffe,Root,1
Missi,Root,1
Erhöh,Root,1
Sturz,Root,1
Wolken,Root,1
Wüsten,Root,1
ung,Suffix,61
keit,Suffix,23
ig,Suffix,21
t,Suffix,19
e,Suffix,16
lich,Suffix,13
er,Suffix,10
s,Suffix,10
n,Suffix,9
anz,Suffix,7
ität,Suffix,5
en,Suffix,5
isch,Suffix,5
los,Suffix,4
bar,Suffix,4
heit,Suffix,4
end,Suffix,4
st,Suffix,3
enz,Suffix,3
al,Suffix,3
tion,Suffix,3
haft,Suffix,2
tum,Suffix,2
chen,Suffix,2
iv,Suffix,2
es,Suffix,1
ist,Suffix,1
et,Suffix,1
ismus,Suffix,1
ten,Suffix,1
ur,Suffix,1
nis,Suffix,1
te,Suffix,1
