Morpheme,Type,Count
un,Prefix,13
ge,Prefix,8
re,Prefix,8
be,Prefix,6
er,Prefix,3
zu,Prefix,2
auf,Prefix,2
ent,Prefix,2
vor,Prefix,1
nach,Prefix,1
ver,Prefix,1
Umwelt,Root,11
Klima,Root,6
End,Root,4
Belast,Root,4
Ständ,Root,3
Gleich,Root,3
Gehalt,Root,3
Ozon,Root,3
Kontinu,Root,2
Ste,Root,2
Konst,Root,2
Dauer,Root,2
Ewig,Root,2
Zeit,Root,2
Kosmos,Root,2
Bis,Root,2
Zähl,Root,2
Halt,Root,2
Wickl,Root,2
Ökolog,Root,2
Stabil,Root,2
Gewich,Root,2
Lmäß,Root,2
Maß,Root,2
Ganz,Root,2
Bil,Root,2
Freund,Root,2
Schadstoff,Root,2
Konzentra,Root,2
Problem,Root,2
Qualität,Root,2
Verträg,Root,2
Luft,Root,2
Ad,Root,1
Infini,Root,1
Pupp,Root,1
Grenz,Root,1
Unb,Root,1
Gründ,Root,1
Erm,Root,1
Schöpf,Root,1
Über,Root,1
Schau,Root,1
Zahl,Root,1
Kunf,Root,1
Kunftsfäh,Root,1
Wahr,Root,1
Chterhalt,Root,1
Stands,Root,1
Pfleg,Root,1
Standssich,Root,1
Enkeltaug,Root,1
Inhalt,Root,1
Ratshalt,Root,1
Tragfäh,Root,1
Qualita,Root,1
Wach,Root,1
Bewu,Root,1
Perma,Root,1
Per,Root,1
Rühr,Root,1
Gäng,Root,1
Wandel,Root,1
Harmoni,Root,1
Balanc,Root,1
Gleichmäß,Root,1
Lmaß,Root,1
Allgemei,Root,1
Sam,Root,1
Komplex,Root,1
Tot,Root,1
Erd,Root,1
Eben,Root,1
Energi,Root,1
Dwärm,Root,1
Othermi,Root,1
Gleichar,Root,1
Gleichförm,Root,1
Gold,Root,1
Schni,Root,1
Grundmu,Root,1
Mag,Root,1
Gel,Root,1
Symmetri,Root,1
Schutz,Root,1
Energie,Root,1
Neutr,Root,1
Naturnah,Root,1
Nitrat,Root,1
Kobil,Root,1
Nera,Root,1
Ssourcen,Root,1
Effizi,Root,1
Umweltbil,Root,1
Umweltko,Root,1
Problematik,Root,1
Schäd,Root,1
Scho,Root,1
Klimaänd,Root,1
Feinstaub,Root,1
Jahres,Root,1
Durchschnittstempera,Root,1
Katastroph,Root,1
Kri,Root,1
Ozonw,Root,1
Treibhauseffek,Root,1
Wind,Root,1
Verhäl,Root,1
keit,Suffix,21
t,Suffix,17
ig,Suffix,16
e,Suffix,14
lich,Suffix,13
ung,Suffix,11
s,Suffix,7
anz,Suffix,6
ität,Suffix,5
er,Suffix,5
los,Suffix,4
bar,Suffix,4
n,Suffix,4
heit,Suffix,4
enz,Suffix,3
tum,Suffix,2
en,Suffix,2
isch,Suffix,2
iv,Suffix,2
st,Suffix,2
al,Suffix,2
tion,Suffix,2
end,Suffix,2
haft,Suffix,1
chen,Suffix,1
es,Suffix,1
ist,Suffix,1
et,Suffix,1
ismus,Suffix,1
ten,Suffix,1
ur,Suffix,1
nis,Suffix,1
