Morpheme,Type,Count
re,Prefix,90
be,Prefix,70
ge,Prefix,70
un,Prefix,68
nach,Prefix,48
er,Prefix,46
ent,Prefix,40
zu,Prefix,36
ver,Prefix,26
aus,Prefix,20
auf,Prefix,18
ab,Prefix,14
vor,Prefix,12
ein,Prefix,12
an,Prefix,10
de,Prefix,8
mit,Prefix,8
pro,Prefix,8
zer,Prefix,6
weg,Prefix,4
her,Prefix,4
hin,Prefix,2
heim,Prefix,2
sub,Prefix,2
ex,Prefix,2
pre,Prefix,2
bei,Prefix,2
zusammen,Prefix,2
fort,Prefix,2
Umwelt,Root,182
Klima,Root,56
Energi,Root,48
Kraft,Root,46
Halt,Root,30
Ständ,Root,28
Wickl,Root,28
Welt,Root,28
Schutz,Root,26
Belast,Root,22
Konst,Root,18
Ssourcen,Root,16
Ozon,Root,16
Wirk,Root,16
Kunftsfäh,Root,14
Gel,Root,14
Natur,Root,14
Dauer,Root,12
End,Root,12
Wasser,Root,12
Lebens,Root,12
Öko,Root,12
Gew,Root,12
Harr,Root,12
Güt,Root,12
Manag,Root,12
Ökolog,Root,10
System,Root,10
Druck,Root,10
Fes,Root,10
Stärk,Root,10
Kosmos,Root,8
Über,Root,8
Wach,Root,8
Gleich,Root,8
Ganz,Root,8
Energie,Root,8
Schadstoff,Root,8
Scho,Root,8
Klimaänd,Root,8
Entwickl,Root,8
Verschmutz,Root,8
Bild,Root,8
Temperatur,Root,8
Nat,Root,8
Stand,Root,8
Raum,Root,8
Umweltschutz,Root,8
Fäh,Root,8
Strom,Root,8
Kapi,Root,8
Wir,Root,8
Här,Root,8
Satz,Root,8
Neu,Root,8
Vermög,Root,8
Mensch,Root,8
Leb,Root,8
Bewusstsei,Root,8
Politik,Root,8
Initia,Root,8
Ste,Root,6
Schöpf,Root,6
Kunf,Root,6
Pfleg,Root,6
Qualita,Root,6
Stabil,Root,6
Rühr,Root,6
Gleichmäß,Root,6
Maß,Root,6
Erd,Root,6
Gehalt,Root,6
Nera,Root,6
Qualität,Root,6
Katastroph,Root,6
Luft,Root,6
Wind,Root,6
Wechsel,Root,6
Lauf,Root,6
Wiederkehr,Root,6
Fall,Root,6
Weiter,Root,6
Staub,Root,6
Kreislauf,Root,6
Heiz,Root,6
All,Root,6
Umgeb,Root,6
Konsequ,Root,6
Niveau,Root,6
Hoch,Root,6
Leistungs,Root,6
Schw,Root,6
Spann,Root,6
Wuch,Root,6
Strategi,Root,6
Arbeit,Root,6
Pot,Root,6
Schärf,Root,6
Trieb,Root,6
Arbeits,Root,6
Gewi,Root,6
Effek,Root,6
Duld,Root,6
Qualifika,Root,6
Mach,Root,6
Selbst,Root,6
Tradi,Root,6
Naturschutz,Root,6
Beweg,Root,6
Abkomm,Root,6
Konf,Root,6
Kodex,Root,6
Hartnäck,Root,6
Kontinu,Root,4
Ewig,Root,4
Zeit,Root,4
Bis,Root,4
Zähl,Root,4
Gäng,Root,4
Wandel,Root,4
Gewich,Root,4
Lmäß,Root,4
Balanc,Root,4
Bil,Root,4
Freund,Root,4
Nitrat,Root,4
Konzentra,Root,4
Problem,Root,4
Verträg,Root,4
Feinstaub,Root,4
Häng,Root,4
Ökonomi,Root,4
Sozi,Root,4
Zykl,Root,4
Vermeid,Root,4
Einspar,Root,4
Deh,Root,4
Zerstör,Root,4
Wärm,Root,4
Anstieg,Root,4
Schadstoffe,Root,4
Globu,Root,4
Grund,Root,4
Bereich,Root,4
Halbkugel,Root,4
Sonnen,Root,4
Groß,Root,4
Smog,Root,4
Rohstoff,Root,4
Kennzei,Root,4
Standar,Root,4
Wich,Root,4
Innova,Root,4
Kern,Root,4
