Morpheme,Type,Count
re,Prefix,40
ge,Prefix,30
be,Prefix,29
un,Prefix,23
er,Prefix,19
nach,Prefix,19
zu,Prefix,15
ent,Prefix,15
ver,Prefix,10
aus,Prefix,9
auf,Prefix,8
ab,Prefix,7
ein,Prefix,6
vor,Prefix,5
de,Prefix,4
mit,Prefix,4
an,Prefix,4
pro,Prefix,4
zer,Prefix,3
weg,Prefix,2
her,Prefix,2
hin,Prefix,1
heim,Prefix,1
sub,Prefix,1
ex,Prefix,1
pre,Prefix,1
bei,Prefix,1
zusammen,Prefix,1
fort,Prefix,1
Umwelt,Root,90
Klima,Root,28
Energi,Root,23
Kraft,Root,20
Halt,Root,14
Welt,Root,14
Wickl,Root,13
Schutz,Root,13
Ständ,Root,12
Belast,Root,11
Konst,Root,8
Ssourcen,Root,8
Ozon,Root,8
Wirk,Root,8
Natur,Root,7
Dauer,Root,6
End,Root,6
Kunftsfäh,Root,6
Gel,Root,6
Wasser,Root,6
Öko,Root,6
Gew,Root,6
Manag,Root,6
Ökolog,Root,5
System,Root,5
Lebens,Root,5
Harr,Root,5
Güt,Root,5
Druck,Root,5
Fes,Root,5
Kosmos,Root,4
Über,Root,4
Wach,Root,4
Gleich,Root,4
Ganz,Root,4
Energie,Root,4
Schadstoff,Root,4
Scho,Root,4
Klimaänd,Root,4
Entwickl,Root,4
Verschmutz,Root,4
Bild,Root,4
Temperatur,Root,4
Stand,Root,4
Raum,Root,4
Umweltschutz,Root,4
Fäh,Root,4
Strom,Root,4
Kapi,Root,4
Wir,Root,4
Här,Root,4
Stärk,Root,4
Neu,Root,4
Vermög,Root,4
Mensch,Root,4
Leb,Root,4
Politik,Root,4
Initia,Root,4
Ste,Root,3
Schöpf,Root,3
Kunf,Root,3
Pfleg,Root,3
Qualita,Root,3
Stabil,Root,3
Gleichmäß,Root,3
Maß,Root,3
Erd,Root,3
Gehalt,Root,3
Nera,Root,3
Qualität,Root,3
Katastroph,Root,3
Luft,Root,3
Wind,Root,3
Wechsel,Root,3
Lauf,Root,3
Wiederkehr,Root,3
Fall,Root,3
Weiter,Root,3
Staub,Root,3
Kreislauf,Root,3
Heiz,Root,3
Nat,Root,3
All,Root,3
Umgeb,Root,3
Konsequ,Root,3
Niveau,Root,3
Hoch,Root,3
Leistungs,Root,3
Schw,Root,3
Spann,Root,3
Wuch,Root,3
Strategi,Root,3
Pot,Root,3
Schärf,Root,3
Trieb,Root,3
Arbeits,Root,3
Satz,Root,3
Effek,Root,3
Qualifika,Root,3
Mach,Root,3
Bewusstsei,Root,3
Naturschutz,Root,3
Beweg,Root,3
Abkomm,Root,3
Konf,Root,3
Kodex,Root,3
Kontinu,Root,2
Ewig,Root,2
Zeit,Root,2
Bis,Root,2
Zähl,Root,2
Rühr,Root,2
Wandel,Root,2
Gewich,Root,2
Lmäß,Root,2
Bil,Root,2
Freund,Root,2
Nitrat,Root,2
Konzentra,Root,2
Problem,Root,2
Verträg,Root,2
Feinstaub,Root,2
Häng,Root,2
Ökonomi,Root,2
Sozi,Root,2
Zykl,Root,2
Vermeid,Root,2
Einspar,Root,2
Deh,Root,2
Zerstör,Root,2
Wärm,Root,2
Anstieg,Root,2
Schadstoffe,Root,2
Globu,Root,2
Bereich,Root,2
Halbkugel,Root,2
Sonnen,Root,2
Groß,Root,2
Smog,Root,2
Rohstoff,Root,2
Kennzei,Root,2
Wich,Root,2
Innova,Root,2
Kern,Root,2
Last,Root,2
Meng,Root,2
Verb,Root,2
Duktions,Root,2
Potenzi,Root,2
Produk,Root,2
Umsatz,Root,2
Steu,Root,2
Prozess,Root,2
Haltigkeits,Root,2
Konzep,Root,2
Arbeit,Root,2
Tat,Root,2
Widerstandsfäh,Root,2
Alterna,Root,2
Paratur,Root,2
