Morpheme,Type,Count
s,Interfix,16
n,Interfix,5
en,Interfix,4
er,Interfix,3
es,Interfix,2
ge,Prefix,44
be,Prefix,44
re,Prefix,34
un,Prefix,30
ver,Prefix,29
er,Prefix,16
aus,Prefix,13
nach,Prefix,12
ein,Prefix,11
zu,Prefix,10
auf,Prefix,9
ab,Prefix,9
über,Prefix,8
an,Prefix,6
vor,Prefix,6
ent,Prefix,5
weg,Prefix,5
pro,Prefix,5
zer,Prefix,4
mit,Prefix,4
ur,Prefix,3
unter,Prefix,3
de,Prefix,3
her,Prefix,2
f,Prefix,1
hin,Prefix,1
bio,Prefix,1
sub,Prefix,1
pre,Prefix,1
heim,Prefix,1
bei,Prefix,1
zusammen,Prefix,1
dis,Prefix,1
Umwelt,Root,97
Klima,Root,34
Energi,Root,21
Kraft,Root,21
Welt,Root,19
Schutz,Root,18
Natur,Root,16
Halt,Root,15
Rat,Root,14
Stoff,Root,13
Stand,Root,12
Belast,Root,12
Fäh,Root,10
Entwickl,Root,10
Ressource,Root,10
Ozon,Root,10
Gleich,Root,9
All,Root,9
Erd,Root,9
Schad,Root,8
Leb,Root,8
Öko,Root,8
Wert,Root,7
Gew,Root,7
Komm,Root,7
Arbeit,Root,7
Mög,Root,7
Dauer,Root,6
Sich,Root,6
Wärm,Root,6
Lauf,Root,6
Wasser,Root,6
Trieb,Root,6
Druck,Root,6
Wirk,Root,6
Stärk,Root,6
Manag,Root,6
Kräf,Root,6
Rech,Root,5
Ökolog,Root,5
Ständ,Root,5
Staub,Root,5
Luft,Root,5
Win,Root,5
Wei,Root,5
Öl,Root,5
Schmutz,Root,5
System,Root,5
Kugel,Root,5
Kapital,Root,5
Steu,Root,5
Fes,Root,5
Eig,Root,5
Selb,Root,5
Kunf,Root,4
Wach,Root,4
Wuss,Root,4
Wich,Root,4
Maß,Root,4
Gel,Root,4
Hart,Root,4
Schon,Root,4
Verträg,Root,4
Temperat,Root,4
Katastroph,Root,4
Effekt,Root,4
Wieder,Root,4
Schw,Root,4
Bild,Root,4
Raum,Root,4
Plan,Root,4
Art,Root,4
Lei,Root,4
Strom,Root,4
Produkt,Root,4
Här,Root,4
Rück,Root,4
Neu,Root,4
Will,Root,4
Mensch,Root,4
Mach,Root,4
Ziel,Root,4
Forsch,Root,4
Ges,Root,4
Initia,Root,4
Ehr,Root,4
Ste,Root,3
Schöpf,Root,3
Pfleg,Root,3
Trag,Root,3
Qualita,Root,3
Stabil,Root,3
Rühr,Root,3
Mäß,Root,3
Grund,Root,3
Bil,Root,3
Problem,Root,3
Qualität,Root,3
Fei,Root,3
Wechs,Root,3
Sozi,Root,3
Kehr,Root,3
Abfall,Root,3
Stör,Root,3
Kreis,Root,3
Last,Root,3
Heiz,Root,3
