Morpheme,Type,Count
n,Interfix,4
er,Interfix,3
en,Interfix,2
s,Interfix,1
ge,Prefix,19
un,Prefix,16
be,Prefix,11
ver,Prefix,10
re,Prefix,10
er,Prefix,6
auf,Prefix,4
ab,Prefix,4
zer,Prefix,3
über,Prefix,2
aus,Prefix,2
an,Prefix,2
zu,Prefix,1
ein,Prefix,1
ent,Prefix,1
f,Prefix,1
ur,Prefix,1
hin,Prefix,1
mit,Prefix,1
nach,Prefix,1
weg,Prefix,1
bio,Prefix,1
Umwelt,Root,22
Klima,Root,19
Belast,Root,12
Natur,Root,10
Welt,Root,10
Ozon,Root,9
Halt,Root,8
Erd,Root,8
Gleich,Root,7
All,Root,7
Ressource,Root,7
Rat,Root,6
Entwickl,Root,6
Stoff,Root,6
Energi,Root,5
Staub,Root,5
Kugel,Root,5
Stand,Root,4
Ökolog,Root,4
Maß,Root,4
Wärm,Root,4
Schad,Root,4
Temperat,Root,4
Katastroph,Root,4
Luft,Root,4
Schmutz,Root,4
Schutz,Root,4
System,Root,4
Dauer,Root,3
Rech,Root,3
Bil,Root,3
Problem,Root,3
Schon,Root,3
Wechs,Root,3
Lauf,Root,3
Öl,Root,3
Bild,Root,3
Leb,Root,3
Ich,Root,3
Raum,Root,3
Halb,Root,3
Kontinu,Root,2
Ste,Root,2
Ewig,Root,2
Zeit,Root,2
Bis,Root,2
Schöpf,Root,2
Zähl,Root,2
Wach,Root,2
Stabil,Root,2
Wandel,Root,2
Wich,Root,2
Lmäß,Root,2
Mäß,Root,2
Gel,Root,2
Gesamt,Root,2
Schni,Root,2
Grund,Root,2
Freund,Root,2
Qualität,Root,2
Verträg,Root,2
Fei,Root,2
Zykl,Root,2
Wei,Root,2
Stör,Root,2
Wasser,Root,2
Änd,Root,2
Schicht,Root,2
Stieg,Root,2
Globu,Root,2
Umgeb,Root,2
Sphär,Root,2
Son,Root,2
Smog,Root,2
Ad,Root,1
Infini,Root,1
Pupp,Root,1
Grenz,Root,1
Unb,Root,1
Gründ,Root,1
Erm,Root,1
Schau,Root,1
Zahl,Root,1
Kunf,Root,1
Wahr,Root,1
Pfleg,Root,1
Sich,Root,1
Enkel,Root,1
Taug,Root,1
Rei,Root,1
Trag,Root,1
Fäh,Root,1
Qualita,Root,1
Wuss,Root,1
Perma,Root,1
Per,Root,1
Rühr,Root,1
Gäng,Root,1
Ständ,Root,1
Harmoni,Root,1
Balanc,Root,1
Gemein,Root,1
Ganz,Root,1
Komplex,Root,1
Tot,Root,1
Ebe,Root,1
Othermi,Root,1
Hart,Root,1
Förm,Root,1
Gold,Root,1
Mus,Root,1
Mag,Root,1
Symmetri,Root,1
Neutr,Root,1
Nah,Root,1
Kobil,Root,1
Nerat,Root,1
Effizi,Root,1
Kos,Root,1
Schäd,Root,1
Jahr,Root,1
Durch,Root,1
Kri,Root,1
Wert,Root,1
Treib,Root,1
Haus,Root,1
Effekt,Root,1
Win,Root,1
Hält,Root,1
Indikat,Root,1
Seit,Root,1
Häng,Root,1
Ökonomi,Root,1
Sozi,Root,1
Rythmu,Root,1
Wied,Root,1
Hol,Root,1
Wieder,Root,1
Kehr,Root,1
Abfall,Root,1
Meid,Root,1
Nera,Root,1
Spar,Root,1
Verw,Root,1
Deh,Root,1
Nutz,Root,1
Schw,Root,1
Wald,Root,1
Eutrophi,Root,1
Pcb,Root,1
Silb,Root,1
Neri,Root,1
Verbrauch,Root,1
Kreis,Root,1
Last,Root,1
Gefärd,Root,1
Salz,Root,1
Verwü,Root,1
Heiz,Root,1
Eis,Root,1
Schmelz,Root,1
Scheh,Root,1
Meer,Root,1
Spiegel,Root,1
Bau,Root,1
Schwund,Root,1
Höh,Root,1
Sturz,Root,1
Wolk,Root,1
Wüs,Root,1
Begr,Root,1
Nahm,Root,1
Kapaz,Root,1
Natür,Root,1
Ambi,Root,1
Ding,Root,1
Dimensio,Root,1
Horizo,Root,1
Setz,Root,1
Öko,Root,1
Äth,Root,1
Firma,Root,1
Galaxi,Root,1
Stir,Root,1
Heima,Root,1
Plan,Root,1
Hemi,Root,1
Makro,Root,1
Kosmos,Root,1
Mut,Root,1
Stern,Root,1
Himmel,Root,1
Umlauf,Root,1
Bah,Root,1
Groß,Root,1
Viel,Root,1
Universum,Root,1
Bäud,Root,1
Atmo,Root,1
Klei,Root,1
Hüll,Root,1
Mikro,Root,1
Sommer,Root,1
Uv,Root,1
Strahl,Root,1
Roh,Root,1
Pest,Root,1
Sektor,Root,1
Situa,Root,1
Gsenergi,Root,1
Gew,Root,1
ung,Suffix,42
t,Suffix,24
e,Suffix,24
n,Suffix,18
keit,Suffix,15
s,Suffix,12
lich,Suffix,11
er,Suffix,11
ig,Suffix,9
end,Suffix,9
en,Suffix,7
ität,Suffix,6
isch,Suffix,6
los,Suffix,4
bar,Suffix,4
enz,Suffix,4
anz,Suffix,4
ur,Suffix,4
es,Suffix,3
al,Suffix,3
ens,Suffix,3
haft,Suffix,2
tum,Suffix,2
chen,Suffix,2
iv,Suffix,2
heit,Suffix,2
et,Suffix,2
ten,Suffix,2
tion,Suffix,2
te,Suffix,2
ist,Suffix,1
ismus,Suffix,1
st,Suffix,1
ment,Suffix,1
